Year	Region	Area	Commodity	Type	Revenue
2013	Gulf	Central Gulf of Mexico	Oil	Royalties	4643674024.32
2004	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	22221.06
2004	Gulf	Central Gulf of Mexico	Other	Royalties	20883.00
2005	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	10547.43
2005	Gulf	Central Gulf of Mexico	Other	Royalties	22007.88
2006	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	10838.00
2006	Gulf	Central Gulf of Mexico	Other	Royalties	13180.56
2007	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	11624.84
2007	Gulf	Central Gulf of Mexico	Other	Royalties	3708.41
2008	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	12709.04
2008	Gulf	Central Gulf of Mexico	Other	Royalties	65625.39
2009	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	12631.84
2009	Gulf	Central Gulf of Mexico	Other	Royalties	12425.40
2010	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	12551.32
2010	Gulf	Central Gulf of Mexico	Other	Royalties	-14280.90
2011	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	12670.72
2011	Gulf	Central Gulf of Mexico	Other	Royalties	3777.12
2012	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	12429.60
2012	Gulf	Central Gulf of Mexico	Other	Royalties	4267.84
2013	Gulf	Central Gulf of Mexico	Sulfur	Other Revenues	11186.00
2013	Gulf	Central Gulf of Mexico	Other	Royalties	4122.09
2004	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	-2190576.17
2004	Gulf	Western Gulf of Mexico	Gas	Royalties	952608852.07
2004	Gulf	Western Gulf of Mexico	NGL	Royalties	15122835.33
2004	Gulf	Western Gulf of Mexico	Oil	Royalties	132883698.24
2005	Gulf	Western Gulf of Mexico	Gas	Royalties	892181641.36
2005	Gulf	Western Gulf of Mexico	NGL	Royalties	24813971.54
2005	Gulf	Western Gulf of Mexico	Oil	Royalties	330915124.57
2006	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	-6347355.22
2006	Gulf	Western Gulf of Mexico	Gas	Royalties	785438099.95
2006	Gulf	Western Gulf of Mexico	NGL	Royalties	23139031.65
2006	Gulf	Western Gulf of Mexico	Oil	Royalties	559127105.27
2007	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	7989836.93
