Company	Revenue Type	Commodity	Revenue
ROSS EXPLORATIONS INC	ONRR - Royalties	Gas	$289,874.47
ROSS EXPLORATIONS INC	ONRR/BLM - Rents	Oil & Gas	$36,658.00
ROUND MOUNTAIN GOLD CORP	BLM - Permit Fees	Locatable Minerals	$558,800.00
ROUNDTREE AND ASSOCIATES INC	ONRR - Royalties	Oil	$644,590.52
ROXCOAL INC                                                 	OSMRE - AML Fees including Audits and Late Charges 	Coal	$117,409.62
ROYAL HOLDINGS	ONRR/BLM - Rents	Oil & Gas	$279,825.00
ROYAL PRODUCTION CO INC	ONRR - Inspection Fees	Oil & Gas	$34,000.00
ROYAL PRODUCTION CO INC	ONRR - Other Revenues	Oil & Gas	$27,015.20
ROYAL PRODUCTION CO INC	ONRR - Royalties	Gas	$936,828.71
ROYAL PRODUCTION CO INC	ONRR - Royalties	Oil	$430,154.89
ROYAL PRODUCTION CO INC	ONRR/BLM - Rents	Oil & Gas	$2,250.00
RR EXPLORATION LLC	BLM - Permit Fees	Locatable Minerals	$216,132.00
RYCKMAN CREEK RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	$150,918.77
RYCKMAN CREEK RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$2,320.00
RYE PATCH GOLD US INC	BLM - Permit Fees	Locatable Minerals	$154,310.00
SAGA PETROLEUM	BLM - Permit Fees	Oil & Gas	$1,870.00
SAGA PETROLEUM	ONRR - Other Revenues	Oil & Gas	$5,439.40
SAGA PETROLEUM	ONRR - Royalties	Gas	$502,936.20
SAGA PETROLEUM	ONRR - Royalties	Oil	$1,040,111.50
SAGA PETROLEUM	ONRR/BLM - Rents	Oil & Gas	$55,184.55
SAMSON RESOURCES CO	BLM - Permit Fees	Mineral Materials	$70,036.37
SAMSON RESOURCES CO	BLM - Permit Fees	Oil & Gas	$338,595.00
SAMSON RESOURCES CO	ONRR - Other Revenues	N/A	$428.00
SAMSON RESOURCES CO	ONRR - Other Revenues	Oil & Gas	$478,395.72
SAMSON RESOURCES CO	ONRR - Royalties	Gas	$14,193,792.73
SAMSON RESOURCES CO	ONRR - Royalties	Oil	$12,895,495.23
SAMSON RESOURCES CO	ONRR/BLM - Bonus	Oil & Gas	$20,800.00
SAMSON RESOURCES CO	ONRR/BLM - Rents	Oil & Gas	$1,149,281.50
SAMSUNG C&T AMERICA INC	ONRR - Other Revenues	Oil & Gas	$35,202.03
SAMSUNG C&T AMERICA INC	ONRR - Royalties	Gas	$1,499,839.64
SAMSUNG C&T AMERICA INC	ONRR - Royalties	Oil	$9,621,513.71
SAN MIGUEL ELECTRIC COOPERATIV                              	OSMRE - AML Fees including Audits and Late Charges 	Coal	$231,502.83
SANDLICK COAL CO LLC                                        	OSMRE - AML Fees including Audits and Late Charges 	Coal	$162,109.10
SANDRIDGE ENERGY INC	BLM - Permit Fees	Oil & Gas	$13,000.00
SANDRIDGE ENERGY INC	ONRR - Civil Penalties (ONRR)	N/A	$780,300.00
SANDRIDGE ENERGY INC	ONRR - Inspection Fees	Oil & Gas	$2,805,399.44
SANDRIDGE ENERGY INC	ONRR - Other Revenues	N/A	$9,789.47
SANDRIDGE ENERGY INC	ONRR - Other Revenues	Oil & Gas	($2,287,234.94)
SANDRIDGE ENERGY INC	ONRR - Royalties	Gas	$26,161,968.50
SANDRIDGE ENERGY INC	ONRR - Royalties	Oil	$106,835,695.17
SANDRIDGE ENERGY INC	ONRR/BLM - Bonus	Oil & Gas	$458,360.00
SANDRIDGE ENERGY INC	ONRR/BLM - Rents	Oil & Gas	$261,311.00
SARATOGA RESOURCES INC	ONRR/BLM - Bonus	Oil & Gas	$880,000.00
SARATOGA RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$138,705.00
SCHALK DEVELOPMENT CO	ONRR - Other Revenues	Oil & Gas	$351.99
SCHALK DEVELOPMENT CO	ONRR - Royalties	Gas	$283,356.27
SCHALK DEVELOPMENT CO	ONRR - Royalties	Oil	$15,604.62
SCHALLA ROBERT A	ONRR/BLM - Bonus	Oil & Gas	$152,010.00
SCHALLA ROBERT A	ONRR/BLM - Rents	Oil & Gas	$4,973.00
SCHUTZ DOUG J	ONRR/BLM - Bonus	Oil & Gas	$1,444,800.00
SCHUTZ DOUG J	ONRR/BLM - Rents	Oil & Gas	$12,218.50
SEARLES VALLEY MINERALS	ONRR - Other Revenues	N/A	$214.00
SEARLES VALLEY MINERALS	ONRR - Royalties	Other Commodities	$8,742,199.96
SEBREE MINING LLC                                           	OSMRE - AML Fees including Audits and Late Charges 	Coal	$266,648.28
SEELEY OIL CO	BLM - Permit Fees	Oil & Gas	$85.00
SEELEY OIL CO	ONRR - Other Revenues	Oil & Gas	$76.00
SEELEY OIL CO	ONRR - Royalties	Gas	$32,362.32
SEELEY OIL CO	ONRR - Royalties	Oil	$281,433.04
SEELEY OIL CO	ONRR/BLM - Rents	Oil & Gas	$135.00
SEQUEL ENERGY LLC	BLM - Permit Fees	Oil & Gas	$33,159.00
SEQUEL ENERGY LLC	ONRR - Other Revenues	Oil & Gas	($4,719.33)
SEQUEL ENERGY LLC	ONRR - Royalties	Gas	$65,264.04
SEQUEL ENERGY LLC	ONRR - Royalties	Oil	$724,542.72
SEQUEL ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$800.00
SETTLE S CRAIG	ONRR/BLM - Rents	Oil & Gas	$204,344.50
SG INTERESTS LTD	BLM - Permit Fees	Oil & Gas	$26,510.00
SG INTERESTS LTD	ONRR - Other Revenues	N/A	$214.00
SG INTERESTS LTD	ONRR - Other Revenues	Oil & Gas	$30,435.97
SG INTERESTS LTD	ONRR - Royalties	Gas	$550,933.62
SG INTERESTS LTD	ONRR - Royalties	Oil	$77,922.46
SG INTERESTS LTD	ONRR/BLM - Bonus	Oil & Gas	$160,050.00
SG INTERESTS LTD	ONRR/BLM - Rents	Oil & Gas	$102,856.50
SHAMROCK METALS LLC	BLM - Permit Fees	Locatable Minerals	$165,900.00
SHANNON LLC                                                 	OSMRE - AML Fees including Audits and Late Charges 	Coal	$125,109.73
SHD OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	$117,000.00
SHELL	BLM - Permit Fees	Mineral Materials	$1,962.68
SHELL	BLM - Permit Fees	Oil & Gas	$19,537.00
SHELL	BLM - Permit Fees	Oil Shale	$747.68
SHELL	ONRR - Inspection Fees	Oil & Gas	$3,742,000.00
SHELL	ONRR - Other Revenues	N/A	$771.99
SHELL	ONRR - Other Revenues	Oil & Gas	$608,250.77
SHELL	ONRR - Other Revenues	Sodium	$6,561.00
SHELL	ONRR - Royalties	Gas	$91,335,088.57
SHELL	ONRR - Royalties	Oil	$645,998,965.92
SHELL	ONRR/BLM - Bonus	Oil & Gas	$142,512,509.00
SHELL	ONRR/BLM - Rents	Oil & Gas	$26,654,117.79
SHELL	ONRR/BLM - Rents	Oil Shale	$932.00
SHELL	ONRR/BLM - Rents	Sodium	($6,561.00)
SHERIDAN PRODUCTION CO LLC	BLM - Permit Fees	Oil & Gas	$34,030.00
SHERIDAN PRODUCTION CO LLC	ONRR - Other Revenues	Oil & Gas	$26,382.36
SHERIDAN PRODUCTION CO LLC	ONRR - Royalties	Gas	$45,141.02
SHERIDAN PRODUCTION CO LLC	ONRR - Royalties	Oil	$3,714,303.73
SHERIDAN PRODUCTION CO LLC	ONRR/BLM - Rents	Oil & Gas	$1,446.00
SIERRA READY MIX LLC	BLM - Permit Fees	Mineral Materials	$199,411.85
SIGNAL HILL CO LLC	BLM - Permit Fees	Oil & Gas	$39,085.00
SIGNAL HILL CO LLC	ONRR - Other Revenues	Oil & Gas	$2,692.56
SIGNAL HILL CO LLC	ONRR - Royalties	Gas	$3,872.26
SIGNAL HILL CO LLC	ONRR - Royalties	Oil	$2,470,969.07
SIGNAL HILL CO LLC	ONRR/BLM - Rents	Oil & Gas	$2,222.00
SIGNAL PEAK ENERGY LLC	BLM - Permit Fees	Coal	$310.00
SIGNAL PEAK ENERGY LLC                                      	OSMRE - AML Fees including Audits and Late Charges 	Coal	$796,770.03
SILVER RESERVE CORP	BLM - Permit Fees	Locatable Minerals	$139,370.00
