Land Category	CY	St	County Name	FIPS	Revenue Type	Commodity	Product	 Royalty/Revenue
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Borax-Pentahydrate	" $100,538.21 "
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Boric Acid	" $300,944.95 "
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Boric Oxide	 $(328.08)
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Salt	" $39,989.97 "
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Salt-Waste	 $(52.69)
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Soda Ash	" $2,421,272.34 "
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Soda Ash-Granular	" $260,287.46 "
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Sodium Bi-Carbonate	" $37,810.73 "
Fed Onshore	2004	CA	San Joaquin	06077	Rents	Oil & Gas		 $140.00 
Fed Onshore	2004	CA	San Joaquin	06077	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $2,675.80 "
Fed Onshore	2004	CA	San Luis Ob.	06079	Bonus	Oil & Gas		 $240.00 
Fed Onshore	2004	CA	San Luis Ob.	06079	Other Revenues	Oil & Gas		" $7,448.35 "
Fed Onshore	2004	CA	San Luis Ob.	06079	Rents	Oil & Gas		" $37,007.32 "
Fed Onshore	2004	CA	San Luis Ob.	06079	Royalties	Oil (bbl)	Oil	" $49,085.67 "
Fed Onshore	2004	CA	Santa Barbar	06083	Rents	Oil & Gas		" $5,919.68 "
Fed Onshore	2004	CA	Santa Barbar	06083	Royalties	Gas (mcf)	Processed (Residue) Gas	" $175,231.44 "
Fed Onshore	2004	CA	Santa Barbar	06083	Royalties	NGL (gal)	Gas Plant Products	 $543.04 
Fed Onshore	2004	CA	Santa Barbar	06083	Royalties	Oil (bbl)	Oil	" $307,299.77 "
Fed Onshore	2004	CA	Siskiyou	06093	Rents	Geothermal		" $58,553.00 "
Fed Onshore	2004	CA	Solano	06095	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $2,537,068.52 "
Fed Onshore	2004	CA	Solano	06095	Royalties	Oil (bbl)	Condensate	" $8,286.97 "
Fed Onshore	2004	CA	Sonoma	06097	Royalties	Geothermal	"Geothermal - Electrical Generation, Thousands of Pounds"	" $3,366,259.11 "
Fed Onshore	2004	CA	Stanislaus	06099	Rents	Oil & Gas		 $158.00 
Fed Onshore	2004	CA	Sutter	06101	Rents	Oil & Gas		 $80.00 
Fed Onshore	2004	CA	Tulare	06107	Rents	Oil & Gas		 $484.50 
Fed Onshore	2004	CA	Ventura	06111	Bonus	Oil & Gas		 $880.00 
Fed Onshore	2004	CA	Ventura	06111	Other Revenues	Oil & Gas		 $511.37 
Fed Onshore	2004	CA	Ventura	06111	Rents	Oil & Gas		" $11,561.50 "
Fed Onshore	2004	CA	Ventura	06111	Royalties	Gas (mcf)	Gas Lost - Flared or Vented	" $2,753.81 "
Fed Onshore	2004	CA	Ventura	06111	Royalties	Gas (mcf)	Processed (Residue) Gas	" $83,660.82 "
Fed Onshore	2004	CA	Ventura	06111	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $227,364.05 "
Fed Onshore	2004	CA	Ventura	06111	Royalties	NGL (gal)	Gas Plant Products	" $21,730.54 "
Fed Onshore	2004	CA	Ventura	06111	Royalties	Oil (bbl)	Condensate	" $2,033.36 "
Fed Onshore	2004	CA	Ventura	06111	Royalties	Oil (bbl)	Oil	" $730,299.01 "
Fed Onshore	2004	CA	Yolo	06113	Rents	Oil & Gas		 $966.00 
Fed Onshore	2004	CO	Adams	08001	Rents	Oil & Gas		 $240.00 
Fed Onshore	2004	CO	Alamosa	08003	Rents	Oil & Gas		 $742.00 
Fed Onshore	2004	CO	Arapahoe	08005	Other Revenues	Oil & Gas		 $160.00 
Fed Onshore	2004	CO	Arapahoe	08005	Royalties	Oil (bbl)	Condensate	 $87.87 
Fed Onshore	2004	CO	Arapahoe	08005	Royalties	Oil (bbl)	Oil	 $435.70 
Fed Onshore	2004	CO	Archuleta	08007	Other Revenues	Oil & Gas		 $325.99 
Fed Onshore	2004	CO	Archuleta	08007	Rents	Oil & Gas		" $21,332.64 "
Fed Onshore	2004	CO	Archuleta	08007	Royalties	Gas (mcf)	Coal Bed Methane	" $9,826.87 "
Fed Onshore	2004	CO	Archuleta	08007	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $135,238.58 "
Fed Onshore	2004	CO	Baca	08009	Bonus	Oil & Gas		 $395.00 
Fed Onshore	2004	CO	Baca	08009	Other Revenues	Oil & Gas		" $14,868.53 "
Fed Onshore	2004	CO	Baca	08009	Rents	Oil & Gas		" $8,174.50 "
Fed Onshore	2004	CO	Baca	08009	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $31,746.27 "
Fed Onshore	2004	CO	Baca	08009	Royalties	Oil (bbl)	Oil	" $158,792.62 "
Fed Onshore	2004	CO	Bent	08011	Bonus	Oil & Gas		" $2,648.00 "
Fed Onshore	2004	CO	Bent	08011	Rents	Oil & Gas		" $3,972.00 "
Fed Onshore	2004	CO	Bent	08011	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $22,794.16 "
Fed Onshore	2004	CO	Bent	08011	Royalties	Oil (bbl)	Condensate	 $29.40 
Fed Onshore	2004	CO	Bent	08011	Royalties	Oil (bbl)	Oil	 $10.73 
Fed Onshore	2004	CO	Broomfield	08014	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	 $230.11 
Fed Onshore	2004	CO	Broomfield	08014	Royalties	Oil (bbl)	Oil	 $121.04 
Fed Onshore	2004	CO	Cheyenne	08017	Bonus	Oil & Gas		 $474.00 
Fed Onshore	2004	CO	Cheyenne	08017	Other Revenues	Oil & Gas		 $76.50 
Fed Onshore	2004	CO	Cheyenne	08017	Rents	Oil & Gas		" $1,328.00 "
Fed Onshore	2004	CO	Cheyenne	08017	Royalties	NGL (gal)	Gas Plant Products	" $10,292.06 "
Fed Onshore	2004	CO	Cheyenne	08017	Royalties	Oil (bbl)	Oil	" $66,462.60 "
