Company	Revenue Type	Commodity	Revenue
BHP BILLITON LTD	ONRR/BLM - Rents	Oil & Gas	11109441
BHP BILLITON LTD	OSMRE - AML Fees including Audits and Late Charges 	Coal	677741
BILL BARRETT CORP	BLM - Permit Fees	Oil & Gas	237810
BILL BARRETT CORP	ONRR - Other Revenues	N/A	6444
BILL BARRETT CORP	ONRR - Other Revenues	Oil & Gas	-299044
BILL BARRETT CORP	ONRR - Royalties	Gas	102502
BILL BARRETT CORP	ONRR - Royalties	Oil	1820877
BILL BARRETT CORP	ONRR/BLM - Bonus	Oil & Gas	-47633429
BILL BARRETT CORP	ONRR/BLM - Rents	Oil & Gas	46164
BI-PETRO INC	ONRR - Other Revenues	Oil & Gas	314507
BI-PETRO INC	ONRR - Royalties	Oil	43394
BIRMINGHAM COAL & COKE CO INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	132507
BLACK BEAR OIL CORP	BLM - Permit Fees	Oil & Gas	450
BLACK BEAR OIL CORP	ONRR - Other Revenues	Oil & Gas	2847
BLACK BEAR OIL CORP	ONRR - Royalties	Gas	33240
BLACK BEAR OIL CORP	ONRR - Royalties	Oil	580830
BLACK BEAR OIL CORP	ONRR/BLM - Rents	Oil & Gas	1312
BLACK DIAMOND MINERALS LLC	ONRR - Other Revenues	Oil & Gas	2405
BLACK DIAMOND MINERALS LLC	ONRR - Royalties	Gas	50513
BLACK DIAMOND MINERALS LLC	ONRR - Royalties	Oil	1948
BLACK DIAMOND MINERALS LLC	ONRR/BLM - Rents	Oil & Gas	70558
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC	ONRR - Civil Penalties	N/A	160000
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC	ONRR - Inspection Fees	Oil & Gas	1075500
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC	ONRR - Other Revenues	N/A	1326
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC	ONRR - Other Revenues	Oil & Gas	29362
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC	ONRR - Royalties	Gas	1592509
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC	ONRR - Royalties	Oil	1871493
BLACK HILLS CORP	BLM - Permit Fees	Oil & Gas	74615
BLACK HILLS CORP	ONRR - Other Revenues	Oil & Gas	8962
BLACK HILLS CORP	ONRR - Royalties	Coal	Withheld
BLACK HILLS CORP	ONRR - Royalties	Gas	2482851
BLACK HILLS CORP	ONRR - Royalties	Oil	603855
BLACK HILLS CORP	ONRR/BLM - Rents	Coal	10014
BLACK HILLS CORP	ONRR/BLM - Rents	Oil & Gas	78968
BLACK HILLS CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	1181829
BLACK WARRIOR MINERALS INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	111548
BLACKHAWK MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	967608
BLUE MOUNTAIN ENERGY INC	ONRR - Royalties	Coal	Withheld
BLUE MOUNTAIN ENERGY INC	ONRR/BLM - Bonus	Coal	1278000
BLUE MOUNTAIN ENERGY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	285281
BLUE TIP ENERGY LLC	ONRR - Other Revenues	Oil & Gas	16464
BLUE TIP ENERGY LLC	ONRR - Royalties	Gas	80878
BLUE TIP ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	5726
BLUEWATER WIND DELAWARE LLC	ONRR - Other Revenues	N/A	436
BLUEWATER WIND DELAWARE LLC	ONRR - Other Revenues	Wind	8765
BLUEWATER WIND DELAWARE LLC	ONRR/BLM - Rents	Wind	578366
BML INC	ONRR - Royalties	Oil	2646876
BNI COAL LTD	BLM - Permit Fees	Coal	98382
BNI COAL LTD	ONRR - Royalties	Coal	Withheld
BNI COAL LTD	ONRR/BLM - Rents	Coal	4443
BNI COAL LTD	OSMRE - AML Fees including Audits and Late Charges 	Coal	352330
BOIS D ARC EXPLORATION LLC	ONRR - Civil Penalties	N/A	80000
BOIS D ARC EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	-170436
BOIS D ARC EXPLORATION LLC	ONRR - Royalties	Gas	71157
BOIS D ARC EXPLORATION LLC	ONRR - Royalties	Oil	1175086
BOIS D ARC EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	87635
BONANZA CREEK ENERGY OPERATING CO LLC	BLM - Permit Fees	Oil & Gas	32500
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR - Other Revenues	Oil & Gas	348340
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR - Royalties	Gas	521948
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR - Royalties	Oil	2129551
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR/BLM - Rents	Oil & Gas	25909
BOPCO LP	BLM - Permit Fees	Mineral Materials	3750
BOPCO LP	BLM - Permit Fees	Oil & Gas	164000
BOPCO LP	ONRR - Other Revenues	Oil & Gas	34691
BOPCO LP	ONRR - Royalties	Gas	7682604
BOPCO LP	ONRR - Royalties	Oil	30193252
BOPCO LP	ONRR/BLM - Rents	Oil & Gas	50945
BOREALIS MINING COMPANY LLC	BLM - Permit Fees	Locatable Minerals	116560
BOULDER SAND AND GRAVEL INC	BLM - Permit Fees	Mineral Materials	321025
BOWIE RESOURCES LLC	BLM - Permit Fees	Coal	930
BOWIE RESOURCES LLC	ONRR - Other Revenues	Coal	60587
BOWIE RESOURCES LLC	ONRR - Royalties	Coal	25802527
BOWIE RESOURCES LLC	ONRR/BLM - Bonus	Coal	4017440
BOWIE RESOURCES LLC	ONRR/BLM - Rents	Coal	148842
BOWIE RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	1543499
BP AMERICA INC	BLM - Permit Fees	Oil & Gas	323090
BP AMERICA INC	ONRR - Inspection Fees	Oil & Gas	2724000
BP AMERICA INC	ONRR - Other Revenues	N/A	3499
BP AMERICA INC	ONRR - Other Revenues	Oil & Gas	2595982
BP AMERICA INC	ONRR - Royalties	Gas	39766167
BP AMERICA INC	ONRR - Royalties	Oil	442115959
BP AMERICA INC	ONRR/BLM - Bonus	Oil & Gas	9453524
BP AMERICA INC	ONRR/BLM - Rents	Oil & Gas	22247796
BRAVO ALASKA INC	BLM - Permit Fees	Locatable Minerals	104160
BRAVO ARKOMA LLC	BLM - Permit Fees	Oil & Gas	1980
BRAVO ARKOMA LLC	ONRR - Other Revenues	N/A	486
BRAVO ARKOMA LLC	ONRR - Other Revenues	Oil & Gas	6327
BRAVO ARKOMA LLC	ONRR - Royalties	Gas	193101
BRAVO ARKOMA LLC	ONRR - Royalties	Oil	1417
BRAVO ARKOMA LLC	ONRR/BLM - Rents	Oil & Gas	1745
BRAZOS LP	ONRR - Other Revenues	Oil & Gas	-306
BRAZOS LP	ONRR - Royalties	Gas	80187
BRAZOS LP	ONRR - Royalties	Oil	47390
BRAZOS LP	ONRR/BLM - Rents	Oil & Gas	800
BREITBURN ENERGY PARTNERS LP	BLM - Permit Fees	Oil & Gas	14000
BREITBURN ENERGY PARTNERS LP	ONRR - Other Revenues	Oil & Gas	-97631
BREITBURN ENERGY PARTNERS LP	ONRR - Royalties	Gas	3120870
BREITBURN ENERGY PARTNERS LP	ONRR - Royalties	Oil	4101282
BREITBURN ENERGY PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	6766
BRIDGECREEK RESOURCES	BLM - Permit Fees	Oil & Gas	110500
BRININSTOOL XL RANCH LLC	BLM - Permit Fees	Mineral Materials	323985
BRONCO CREEK EXPLORATION INC	BLM - Permit Fees	Locatable Minerals	365477
BTA OIL PRODUCERS LLC	BLM - Permit Fees	Oil & Gas	334850
BTA OIL PRODUCERS LLC	ONRR - Other Revenues	Oil & Gas	3676
BTA OIL PRODUCERS LLC	ONRR - Royalties	Gas	935531
BTA OIL PRODUCERS LLC	ONRR - Royalties	Oil	5260848
BTA OIL PRODUCERS LLC	ONRR/BLM - Bonus	Oil & Gas	26000
BTA OIL PRODUCERS LLC	ONRR/BLM - Rents	Oil & Gas	20626
BUCKINGHAM COAL CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	112752
BURNETT OIL COMPANY INC	BLM - Permit Fees	Oil & Gas	91000
BURNETT OIL COMPANY INC	ONRR - Other Revenues	Oil & Gas	1332319
BURNETT OIL COMPANY INC	ONRR - Royalties	Gas	4632583
BURNETT OIL COMPANY INC	ONRR - Royalties	Oil	12264035
BURNETT OIL COMPANY INC	ONRR/BLM - Rents	Oil & Gas	35550
BYRON ENERGY INC	ONRR - Inspection Fees	Oil & Gas	33700
BYRON ENERGY INC	ONRR/BLM - Bonus	Oil & Gas	32223
BYRON ENERGY INC	ONRR/BLM - Rents	Oil & Gas	266651
C & J GRAVEL PRODUCTS INC	BLM - Permit Fees	Mineral Materials	555104
CAERUS OIL AND GAS LLC	BLM - Permit Fees	Oil & Gas	65180
