Reporting Companies	Royalties Government	Royalties Company	Royalties Variance $	Royalties Variance %	Rents Government	Rents Company	Rents Variance $	Rents Variance %	Bonus Government	Bonus Company	Bonus Variance $	Bonus Variance %	Other Revenue Government	Other Revenue Company	Other Revenue Variance $	Other Revenue Variance %	Offshore Inspection Fee Government	Offshore Inspection Fee Company	Offshore Inspection Fee Variance $	Offshore Inspection Fee Variance %	ONRR Civil Penalties Government	ONRR Civil Penalties Company	ONRR Civil Penalties Variance $	ONRR Civil Penalties Variance %	Bonus & 1st Year Rental Government	Bonus & 1st Year Rental Company	Bonus & 1st Year Rental Variance $	Bonus & 1st Year Rental Variance %	Permit Fees Government	Permit Fees Company	Permit Fees Variance $	Permit Fees Variance %	Renewables Government	Renewables Company	Renewables Variance $	Renewables Variance %	AML Fees Government	AML Fees Company	AML Fees Variance $	AML Fees Variance %	OSMRE Civil Penalties Government	OSMRE Civil Penalties Company	OSMRE Civil Penalties Variance $	OSMRE Civil Penalties Variance %	Corporate Income Tax Company
Venari Offshore LLC	 $ - 	 $ - 	 $ - 	0.0%	 $ 633,600 	 $ 633,600 	 $ - 	0%	 $ 67,811,424 	 $ 67,811,424 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 N/A
W&T Offshore, Inc.	 $ 112,117,802 	 $ 112,117,802 	 $ - 	0.0%	 $ 2,923,574 	 $ 2,923,574 	 $ - 	0%	 $ 392,000 	 $ 392,000 	 $ - 	0.0%	 $ 1,765,934 	 $ 1,765,934 	 $ - 	0.0%	 $ 651,500 	 $ 651,500 	 $ - 	0.0%	 $ 210,000 	 $ 210,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 56,125,879
Walter Oil & Gas Corporation	 $ 84,708,541 	 DNP 	 N/A 	N/A	 $ 1,061,006 	 DNP 	 N/A 	N/A	 $ 2,822,500 	 DNP 	 N/A 	N/A	 $ (3,386,358)	 DNP 	 N/A 	N/A	 $ 581,400 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
WPX Energy, Inc.	 $ 88,077,827 	 $ 88,116,556 	 $ 38,729 	0.0%	 $ 154,045 	 $ 123,452 	 $ 30,593 	20%	 $ - 	 $ - 	 $ - 	0.0%	 $ 1,183,618 	 $ 1,214,994 	 $ 31,376 	2.7%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ 214 	 $ 214 	100.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 1,600,395 	 $ 1,599,000 	 $ 1,395 	0.1%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ (27,500,000)
Total Revenue	 $ 8,103,790,884 	 $ 6,390,282,358 			 $ 223,167,928 	 $ 206,356,029 			 $ 1,795,243,068 	 $ 1,608,085,935 			 $ 59,171,106 	 $ 46,368,065 			 $ 42,367,564 	 $ 29,040,384 			 $ 2,520,500 	 $ 970,414 			 $ 59,623,329 	 $ 26,421,370 			 $ 25,429,599 	 $ 15,259,550 			 $ - 	 $ - 			 $ 128,877,979 	 $ 129,111,788 			 $ 16,440 	 $ 16,440 			 $ 190,383,540

Key
	Revenue stream collected by ONRR
	Revenue stream collected by BLM
	Revenue stream collected by OSMRE
	Revenue stream collected by the IRS
