Year	Commodity	Product	Volume
2012	Other Products	Muriate Of Potash-Granular (ton)	492782
2012	Other Products	Muriate Of Potash-Standard (ton)	127301
2012	Other Products	Potash (ton)	257520
2012	Other Products	Sylvite-Raw Ore (ton)	158500
2012	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	123103803
2012	Gas (mcf)	Flash Gas (mcf)	28455.31
2012	Other Products	Clay (ton)	29990
2012	Other Products	Magnesium Chloride Brine (ton)	70061
2012	Other Products	Manure Salts (ton)	453
2012	Other Products	Gilsonite (ton)	32243
2012	Other Products	Limestone (ton)	137956
2012	Other Products	Purge Liquor (ton)	78213
2012	Other Products	Sodium Bisulfite (ton)	69
2012	Other Products	Sodium Sesquicarbonate (ton)	110156
2012	Other Products	Sulfide (ton)	24189
2012	Other Products	Trona Ore (ton)	101948
2013	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	929616671.4000001
2013	Oil (bbl)	Oil (bbl)	127368082.11999999
2013	Gas (mcf)	Processed (Residue) Gas (mcf)	1241285026.87
2013	NGL (gal)	Gas Plant Products (gal)	2597061606.91
2013	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	2191.38
2013	Other Products	Sulfur (lton)	393588.10000000003
2013	Oil (bbl)	Condensate (bbl)	11273348.66
2013	Coal (ton)	Coal (ton)	397613708
2013	Gas (mcf)	Coal Bed Methane (mcf)	408732594.55
2013	Gas (mcf)	Fuel Gas (mcf)	4596237.43
2013	Other Products	Quartz Crystal (lb)	84
2013	Other Products	Salt (ton)	881807
