CY	Onshore/Offshore	County Code	St	County	Revenue Type	Commodity	Product	Royalty/Revenue
2004	Onshore	05033	CO	Dolores	Royalties	Oil	Condensate	 $ 2,127.66 
2004	Onshore	05033	CO	Dolores	Royalties	Oil	Oil	 $ 231,163.35 
2004	Onshore	05033	CO	Dolores	Royalties	Other	Carbon Dioxide Gas (CO2)	 $ 952,516.85 
2004	Onshore	05045	CO	Garfield	Other Revenues	Oil & Gas		 $ 52,664.11 
2004	Onshore	05045	CO	Garfield	Other Roy Vals	Oil & Gas		 $ 2,165,160.69 
2004	Onshore	05045	CO	Garfield	Royalties	Coal	Coal-Bituminous-Raw	 $ 3,102.81 
2004	Onshore	05045	CO	Garfield	Royalties	Gas	Coal Bed Methane	 $ 225,303.75 
2004	Onshore	05045	CO	Garfield	Royalties	Gas	Gas Plant Products	 $ 2,694.15 
2004	Onshore	05045	CO	Garfield	Royalties	Gas	Processed (Residue) Gas	 $ 110,343.45 
2004	Onshore	05045	CO	Garfield	Royalties	Gas	Unprocessed (Wet) Gas	 $ 34,398,559.39 
2004	Onshore	05045	CO	Garfield	Royalties	Oil	Condensate	 $ 957,037.27 
2004	Onshore	05045	CO	Garfield	Royalties	Oil	Oil	 $ 44,134.91 
2004	Onshore	05051	CO	Gunnison	Other Revenues	Oil & Gas		 $ 11,215.97 
2004	Onshore	05051	CO	Gunnison	Royalties	Coal	Coal-Bituminous-Raw	 $ (2,173,166.12)
2004	Onshore	05051	CO	Gunnison	Royalties	Gas	Processed (Residue) Gas	 $ 3,344.36 
2004	Onshore	05051	CO	Gunnison	Royalties	Gas	Unprocessed (Wet) Gas	 $ 35,366.08 
2004	Onshore	05051	CO	Gunnison	Royalties	Oil	Condensate	 $ 696.78 
2004	Onshore	05051	CO	Gunnison	Royalties	Solids	Coal	 $ (5,557,222.32)
2004	Onshore	05055	CO	Huerfano	Other Revenues	Oil & Gas		 $ 160.00 
2004	Onshore	05055	CO	Huerfano	Royalties	Other	Carbon Dioxide Gas (CO2)	 $ 516,898.25 
2004	Onshore	05057	CO	Jackson	Other Revenues	Oil & Gas		 $ 450.67 
2004	Onshore	05057	CO	Jackson	Royalties	Oil	Oil	 $ 245,826.36 
2004	Onshore	05057	CO	Jackson	Royalties	Other	Carbon Dioxide Gas (CO2)	 $ 31,970.45 
2004	Onshore	05061	CO	Kiowa	Other Roy Vals	Oil & Gas		 $ (75.00)
2004	Onshore	05061	CO	Kiowa	Royalties	Gas	Unprocessed (Wet) Gas	 $ 16,564.45 
2004	Onshore	05061	CO	Kiowa	Royalties	Oil	Condensate	 $ 173.40 
2004	Onshore	05061	CO	Kiowa	Royalties	Oil	Oil	 $ 25,616.50 
