Land Category	Calendar Year	Ofshore Region	Planning Area	Offshore Area	Protraction	Volume Type	Commodity	Product	 Sales Volumes 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	Oil	Inlet Scrubber (bbl)	  249.96 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	Oil	Oil (bbl)	  59,433,069.78 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalty	Gas	Fuel Gas (mcf)	  418,598.29 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalty	Gas	Processed (Residue) Gas (mcf)	  23,777,444.03 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  27,275,463.95 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalty	NGL	Gas Plant Products (gal)	  22,107,500.68 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalty	Oil	Condensate (bbl)	  4,548,123.82 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  1,594.37 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalty	Oil	Inlet Scrubber (bbl)	  12.81 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalty	Oil	Oil (bbl)	  9,033,046.25 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	Gas	Flash Gas (mcf)	  7,247.99 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	Gas	Processed (Residue) Gas (mcf)	  27,397,287.73 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  22,786,866.70 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	NGL	Gas Plant Products (gal)	  39,085,680.23 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	Oil	Condensate (bbl)	  134,778.41 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  3,153.68 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	Oil	Inlet Scrubber (bbl)	  906.67 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	Oil	Oil (bbl)	  10,276,593.48 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalty	Other Products	Salt (ton)	  33,299.00 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	Gas	Flash Gas (mcf)	  423,221.63 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	Gas	Fuel Gas (mcf)	  4,752.59 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	Gas	Processed (Residue) Gas (mcf)	  384,264,119.65 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  177,846,751.08 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	NGL	Gas Plant Products (gal)	  641,465,603.16 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	Oil	Condensate (bbl)	  9,741,602.13 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  104,881.42 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	Oil	Inlet Scrubber (bbl)	  28,332.55 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalty	Oil	Oil (bbl)	  160,413,484.44 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	Gas	Fuel Gas (mcf)	  0.99 
