State	ELEC.GEN.ALL-US-99.A	ELEC.GEN.ALL	Source	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
New York	ELEC.GEN.GEO-NY-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
New York	ELEC.GEN.BIO-NY-99.A	ELEC.GEN.BIO	Biomass (total)	1795	1885	1941	1942	2068	2201	2218	2061	2148	2282
New York	ELEC.GEN.WWW-NY-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	497	528	522	492	555	536	547	442	488	608
New York	ELEC.GEN.WAS-NY-99.A	ELEC.GEN.WAS	Other biomass	1298	1358	1419	1449	1513	1665	1671	1619	1660	1674
Pennsylvania	ELEC.GEN.ALL-PA-99.A	ELEC.GEN.ALL	General
Pennsylvania	ELEC.GEN.HYC-PA-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	3155	2232	2844	2236	2549	2683	2332	3217	2242	2525
Pennsylvania	ELEC.GEN.AOR-PA-99.A	ELEC.GEN.AOR	All Other Renewables	2276	2329	2473	2546	2804	3352	4245	4099	4459	5754
Pennsylvania	ELEC.GEN.WND-PA-99.A	ELEC.GEN.WND	Wind	306	284	361	470	729	1075	1854	1794	2129	3352
Pennsylvania	ELEC.GEN.SUN-PA-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	0	4	8	23	32	63
Pennsylvania	ELEC.GEN.GEO-PA-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Pennsylvania	ELEC.GEN.BIO-PA-99.A	ELEC.GEN.BIO	Biomass (total)	1969	2045	2112	2076	2074	2274	2383	2281	2298	2339
Pennsylvania	ELEC.GEN.WWW-PA-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	680	687	683	620	658	694	675	628	534	492
Pennsylvania	ELEC.GEN.WAS-PA-99.A	ELEC.GEN.WAS	Other biomass	1289	1358	1429	1457	1416	1579	1708	1653	1765	1847
East North Central	ELEC.GEN.ALL-ENC-99.A	ELEC.GEN.ALL	General
Illinois	ELEC.GEN.ALL-IL-99.A	ELEC.GEN.ALL	General
