Year	State	Commodity	Product	Volume
2005	NE	Oil	Oil (bbl)	36282.26
2005	NE	Gas	Processed (Residue) Gas (mcf)	1360729.00
2005	NM	Gas	Processed (Residue) Gas (mcf)	318395296.94
2005	NM	Gas	Unprocessed (Wet) Gas (mcf)	328250123.34
2005	NM	NGL	Gas Plant Products (gal)	1204284858.02
2005	NM	Oil	Condensate (bbl)	3152146.91
2005	NM	Oil	Oil (bbl)	22032079.00
2005	NM	Gas	Flash Gas (mcf)	340.14
2005	NM	Oil	Drip or Scrubber Condensate (bbl)	18949.51
2005	NM	Brine Barrels	Brine Barrels (bbl)	46855.00
2005	NM	Langbeinite	Langbeinite (ton)	598689.00
2005	NM	Muriate Of Potash-Granular	Muriate Of Potash-Granular (ton)	407939.00
2005	NM	Muriate Of Potash-Standard	Muriate Of Potash-Standard (ton)	228837.00
2005	NM	Potash	Potash (ton)	417431.00
2005	NM	Salt	Salt (ton)	258846.00
2005	NM	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	8897106.77
2005	NM	Oil	Other Liquid Hydrocarbons (bbl)	8.00
2005	NM	Coal	Coal (ton)	6064240.00
2005	NM	Gas	Coal Bed Methane (mcf)	282232074.62
2005	NM	Oil	Inlet Scrubber (bbl)	79.79
2005	NV	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	90021493.00
2005	NV	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	681851144.92
2005	NV	Potash	Potash (ton)	477.00
2005	NV	Oil	Oil (bbl)	447570.58
2005	NY	Gas	Unprocessed (Wet) Gas (mcf)	15512.03
2005	OH	Gas	Unprocessed (Wet) Gas (mcf)	624549.40
2005	OH	Oil	Oil (bbl)	31195.36
2005	OH	Gas	Processed (Residue) Gas (mcf)	7822.00
2005	OK	Gas	Unprocessed (Wet) Gas (mcf)	14625946.55
2005	OK	Oil	Condensate (bbl)	36152.00
2005	OK	Oil	Oil (bbl)	105539.92
2005	OK	Gas	Processed (Residue) Gas (mcf)	1214617.27
2005	OK	NGL	Gas Plant Products (gal)	2643674.65
2005	OK	Oil	Drip or Scrubber Condensate (bbl)	0.37
2005	OK	Coal	Coal (ton)	713647.00
2005	OK	Gas	Coal Bed Methane (mcf)	75928.58
2005	OK	Oil	Inlet Scrubber (bbl)	9.56
2005	PA	Gas	Unprocessed (Wet) Gas (mcf)	66577.48
2005	PA	Gas	Processed (Residue) Gas (mcf)	19464.00
2005	SD	Oil	Oil (bbl)	188086.66
2005	SD	Gas	Unprocessed (Wet) Gas (mcf)	202685.29
2005	TX	Oil	Oil (bbl)	381366.19
2005	TX	Gas	Processed (Residue) Gas (mcf)	459434.87
2005	TX	Gas	Unprocessed (Wet) Gas (mcf)	21948107.64
2005	TX	Oil	Condensate (bbl)	37923.07
2005	TX	Gas	Flash Gas (mcf)	1.00
2005	TX	NGL	Gas Plant Products (gal)	367365.55
2005	TX	Oil	Drip or Scrubber Condensate (bbl)	570.05
2005	TX	Gas	Fuel Gas (mcf)	3285.44
2005	UT	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2290182691.15
2005	UT	Coal	Coal (ton)	19792183.01
2005	UT	Gas	Coal Bed Methane (mcf)	11628279.41
2005	UT	Gas	Fuel Gas (mcf)	25485.52
2005	UT	Gas	Processed (Residue) Gas (mcf)	38056231.49
2005	UT	Gas	Unprocessed (Wet) Gas (mcf)	128278252.21
2005	UT	Oil	Oil (bbl)	5433029.59
2005	UT	Oil	Condensate (bbl)	799083.35
2005	UT	NGL	Gas Plant Products (gal)	38609214.53
2005	UT	Clay	Clay (ton)	18094.00
2005	UT	Oil	Drip or Scrubber Condensate (bbl)	529.90
2005	UT	Magnesium Chloride Brine	Magnesium Chloride Brine (ton)	35054.00
2005	UT	Manure Salts	Manure Salts (ton)	8213.00
2005	UT	Potash	Potash (ton)	16068.00
2005	UT	Salt	Salt (ton)	8388.00
2005	UT	Gilsonite	Gilsonite (ton)	18728.00
2005	VA	Gas	Unprocessed (Wet) Gas (mcf)	674612.43
2005	VA	Limestone	Limestone (ton)	36756.00
2005	WA	Coal	Coal (ton)	5325.00
2005	WV	Gas	Unprocessed (Wet) Gas (mcf)	2328917.61
2005	WV	Gas	Processed (Residue) Gas (mcf)	2123.00
2005	WV	Oil	Oil (bbl)	288.00
2005	WY	Gas	Fuel Gas (mcf)	61374.91
2005	WY	Oil	Oil (bbl)	26793739.67
2005	WY	Gas	Processed (Residue) Gas (mcf)	287169224.73
2005	WY	Gas	Unprocessed (Wet) Gas (mcf)	688719867.50
2005	WY	NGL	Gas Plant Products (gal)	310047587.78
2005	WY	Oil	Condensate (bbl)	5477388.23
2005	WY	Coal	Coal (ton)	357132864.00
2005	WY	Gas	Coal Bed Methane (mcf)	128885333.49
2005	WY	Oil	Drip or Scrubber Condensate (bbl)	148157.68
2005	WY	Sulfur	Sulfur (lton)	2211323.13
2005	WY	Oil	Inlet Scrubber (bbl)	41719.18
2005	WY	Oil	Other Liquid Hydrocarbons (bbl)	634.08
2005	WY	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	70652957.93
2005	WY	Purge Liquor	Purge Liquor (ton)	61925.00
2005	WY	Soda Ash	Soda Ash (ton)	3469943.00
2005	WY	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	15460.00
2005	WY	Sodium Bisulfite	Sodium Bisulfite (ton)	628.00
2005	WY	Sodium Decahydrate	Sodium Decahydrate (ton)	1107.00
2005	WY	Sodium Sesquicarbonate	Sodium Sesquicarbonate (ton)	35357.00
2005	WY	Sulfide	Sulfide (ton)	4830.00
2005	WY	Trona Ore	Trona Ore (ton)	26516.00
2006	AK	Gas	Processed (Residue) Gas (mcf)	187205.53
2006	AK	Gas	Unprocessed (Wet) Gas (mcf)	29284926.71
2006	AK	NGL	Gas Plant Products (gal)	745260.89
2006	AK	Oil	Oil (bbl)	226333.36
2006	AL	Gas	Processed (Residue) Gas (mcf)	199809.56
2006	AL	Oil	Other Liquid Hydrocarbons (bbl)	18.42
2006	AL	Sulfur	Sulfur (lton)	315.10
2006	AL	Clay	Clay (ton)	66074.00
2006	AL	Oil	Oil (bbl)	77362.28
2006	AL	Coal	Coal (ton)	880.00
2006	AL	Gas	Unprocessed (Wet) Gas (mcf)	500878.34
2006	AL	Oil	Condensate (bbl)	37.32
2006	AL	NGL	Gas Plant Products (gal)	649.40
2006	AL	Gas	Coal Bed Methane (mcf)	142304.32
2006	AL	Gas	Fuel Gas (mcf)	3437.07
2006	AR	Gas	Processed (Residue) Gas (mcf)	4520.80
2006	AR	Oil	Oil (bbl)	27.76
2006	AR	Gas	Unprocessed (Wet) Gas (mcf)	10486385.84
2006	AR	Quartz Crystal	Quartz Crystal (lb)	4133.00
2006	AR	Gas	Coal Bed Methane (mcf)	1698.77
2006	AZ	Salt	Salt (ton)	520.00
2006	CA	Gas	Unprocessed (Wet) Gas (mcf)	2518424.75
2006	CA	Oil	Condensate (bbl)	118827.54
2006	CA	Gas	Processed (Residue) Gas (mcf)	2497054.93
2006	CA	NGL	Gas Plant Products (gal)	2336305.15
2006	CA	Oil	Oil (bbl)	16620202.46
2006	CA	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	1015891685.73
2006	CA	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	227562.00
2006	CA	Gas	Gas Lost - Flared or Vented (mcf)	52863.87
2006	CA	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	53343898.53
2006	CA	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	238146.66
2006	CA	Anhydrous Sodium Sulfate	Anhydrous Sodium Sulfate (ton)	163278.00
2006	CA	Borax-Decahydrate	Borax-Decahydrate (ton)	7875.00
2006	CA	Borax-Pentahydrate	Borax-Pentahydrate (ton)	8714.00
2006	CA	Boric Acid	Boric Acid (ton)	14549.00
2006	CA	Salt	Salt (ton)	93042.00
2006	CA	Soda Ash	Soda Ash (ton)	845159.00
2006	CA	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	13557.00
2006	CA	Oil	Drip or Scrubber Condensate (bbl)	119.53
2006	CO	Oil	Condensate (bbl)	429300.08
2006	CO	Oil	Oil (bbl)	5013996.90
2006	CO	Gas	Coal Bed Methane (mcf)	7668480.00
2006	CO	Gas	Unprocessed (Wet) Gas (mcf)	152717192.67
2006	CO	NGL	Gas Plant Products (gal)	48165656.02
2006	CO	Coal	Coal (ton)	23141253.00
2006	CO	Gas	Processed (Residue) Gas (mcf)	45172907.36
2006	CO	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	284822851.41
2006	CO	Gas	Fuel Gas (mcf)	32418.08
2006	CO	Oil	Drip or Scrubber Condensate (bbl)	10277.17
2006	CO	Oil	Inlet Scrubber (bbl)	0.48
2006	CO	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	94958.00
2006	ID	Phosphate Raw Ore	Phosphate Raw Ore (ton)	2420386.00
2006	ID	Gold	Gold (ton)	74.00
2006	IL	Oil	Oil (bbl)	37374.21
2006	IN	Oil	Oil (bbl)	438.62
2006	KS	Gas	Unprocessed (Wet) Gas (mcf)	6684359.46
2006	KS	Gas	Fuel Gas (mcf)	490.88
2006	KS	Gas	Processed (Residue) Gas (mcf)	1449965.78
2006	KS	NGL	Gas Plant Products (gal)	4717242.43
2006	KS	Oil	Drip or Scrubber Condensate (bbl)	27.32
2006	KS	Oil	Oil (bbl)	514314.29
2006	KS	Oil	Condensate (bbl)	263.35
2006	KS	Helium	Helium (bbl)	50.83
