Year	Region	Area	Commodity	Product	Type	Revenue	Count
2012	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	9792465.57	18
2012	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	68711346.48	16
2012	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	40627039.48	16
2012	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	338792058.88	18
2012	Gulf	Western Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	23965.43	6
2013	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	3441219.82	18
2013	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	59673805.26	16
2013	Gulf	Western Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	32762864.30	18
2013	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	30480779.05	15
2013	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	263980162.83	17
2013	Gulf	Western Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	10895.02	5
2007	Gulf	Western Gulf of Mexico	Oil & Gas		Bonus	264527896.00	17
2007	Gulf	Western Gulf of Mexico	Oil & Gas		Rents	93171924.13	23
2008	Gulf	Western Gulf of Mexico	Oil & Gas		Rents	92307173.12	23
2008	Gulf	Western Gulf of Mexico	Oil & Gas		Bonus	257788571.80	16
2009	Gulf	Western Gulf of Mexico	Oil & Gas		Bonus	358758653.20	16
2009	Gulf	Western Gulf of Mexico	Oil & Gas		Rents	88097391.50	22
2010	Gulf	Western Gulf of Mexico	Oil & Gas		Bonus	1350430.00	2
2010	Gulf	Western Gulf of Mexico	Oil & Gas		Rents	76022581.43	20
2011	Gulf	Western Gulf of Mexico	Oil & Gas		Rents	68624505.29	20
2012	Gulf	Western Gulf of Mexico	Oil & Gas		Bonus	324971001.00	10
2012	Gulf	Western Gulf of Mexico	Oil & Gas		Rents	78549380.79	17
2013	Gulf	Western Gulf of Mexico	Oil & Gas		Rents	79537910.46	16
2004	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Other Royalties	700.53	3
2004	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Other Royalties	14809.43	10
2005	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Other Royalties	-333.46	4
2005	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Other Royalties	18105.83	9
2006	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Other Royalties	71.21	4
2006	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Other Royalties	24537.88	8
2007	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Other Royalties	38.14	2
2007	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Royalties	31580.95	5
2008	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Other Royalties	53.97	3
2008	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Royalties	21750.93	6
2009	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Other Royalties	68.55	3
2009	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Royalties	20335.71	4
2010	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Other Royalties	4.95	3
