Year	Region	Area	Commodity	Product	Volume	Count
2006	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	1751061704.82	31
2006	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	29298398.40	32
2006	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	749067.83	29
2006	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	389185884.48	33
2006	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	1635520.80	23
2006	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	8737.80	17
2006	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	114982.30	4
2006	Gulf	Central Gulf of Mexico	Other	Salt (ton)	29258.00	1
2006	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	3618.85	1
2006	Gulf	Eastern Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	26827.07	1
2006	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	227874.96	1
2006	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	496375895.51	15
2006	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	291886971.80	19
2006	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	493021412.94	15
2006	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	65766334.52	12
2006	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	541107.74	17
2006	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	11297009.11	17
2006	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	200151.47	7
2006	Gulf	Western Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	7922.00	1
2006	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	4468.68	1
2006	Gulf		Gas	Unprocessed (Wet) Gas (mcf)	-0.06	1
2006	Pacific	Southern California	Gas	Fuel Gas (mcf)	49283.00	1
2006	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	23096629.50	1
2006	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	4047049.66	1
2006	Pacific	Southern California	NGL	Gas Plant Products (gal)	9399398.14	1
2006	Pacific	Southern California	Oil	Condensate (bbl)	29551.08	1
2006	Pacific	Southern California	Oil	Drip or Scrubber Condensate (bbl)	52934.84	1
2006	Pacific	Southern California	Oil	Oil (bbl)	26247777.08	1
2006	Pacific	Southern California	Other	Sulfur (lton)	4616.92	1
2007	Alaska	Beaufort Sea	Oil	Oil (bbl)	2475705.54	1
2007	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	486222220.25	34
2007	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	31135128.69	33
2007	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	402030489.19	34
2007	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	12565461.06	15
2007	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	78956.66	6
2007	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	1604055217.17	33
2007	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	2149560141.01	31
2007	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	1209322.03	28
2007	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	1840376.78	22
2007	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	37480.23	18
2007	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	12140.48	6
2007	Gulf	Central Gulf of Mexico	Other	Salt (ton)	24254.00	1
2007	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	2364.31	1
2007	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	45004139.70	4
2007	Gulf	Eastern Gulf of Mexico	Oil	Condensate (bbl)	13174.71	3
2007	Gulf	Eastern Gulf of Mexico	Oil	Oil (bbl)	1809.78	1
2007	Gulf	Eastern Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	263989.10	1
2007	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	396542004.42	14
2007	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	234870932.52	18
2007	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	449903767.54	14
2007	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	52281596.53	12
2007	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	718174.68	16
2007	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	7068921.64	16
2007	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	94092.46	6
2007	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	-535.99	1
2007	Gulf		Gas	Unprocessed (Wet) Gas (mcf)	-0.12	1
2007	Pacific	Southern California	Gas	Fuel Gas (mcf)	11401.00	1
2007	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	21080252.19	1
2007	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	5157752.54	1
2007	Pacific	Southern California	NGL	Gas Plant Products (gal)	8443535.69	1
2007	Pacific	Southern California	Oil	Condensate (bbl)	25659.30	1
2007	Pacific	Southern California	Oil	Drip or Scrubber Condensate (bbl)	38209.96	1
2007	Pacific	Southern California	Oil	Oil (bbl)	24646653.15	1
2007	Pacific	Southern California	Other	Sulfur (lton)	4429.02	1
2008	Alaska	Beaufort Sea	Oil	Oil (bbl)	2923155.90	1
2008	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	1185058464.27	33
2008	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	497393644.32	34
2008	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	1638944903.55	32
2008	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	19882359.61	34
2008	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	570309.39	30
2008	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	365515995.65	33
2008	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	11630171.19	17
2008	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	42893.21	8
2008	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	1314682.28	24
2008	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	65929.99	19
2008	Gulf	Central Gulf of Mexico	Other	Salt (ton)	27030.00	1
2008	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	6962.95	1
2008	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	1490.39	1
2008	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	136924686.63	3
2008	Gulf	Eastern Gulf of Mexico	Oil	Condensate (bbl)	36457.93	3
2008	Gulf	Eastern Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	179.47	1
2008	Gulf	Eastern Gulf of Mexico	Oil	Oil (bbl)	1890.75	1
2008	Gulf	Eastern Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	389758.74	1
2008	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	298766620.55	14
2008	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	176369120.08	18
2008	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	292379700.13	13
2008	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	40856389.18	13
2008	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	415555.36	14
2008	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	4254347.05	16
2008	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	92720.14	7
2008	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	129.27	1
2008	Gulf		Gas	Unprocessed (Wet) Gas (mcf)	-0.12	1
2008	Pacific	Southern California	Gas	Fuel Gas (mcf)	11815.00	1
2008	Pacific	Southern California	Gas	Gas Lost - Flared or Vented (mcf)	11475.00	1
2008	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	17598489.59	1
2008	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	4622950.84	1
2008	Pacific	Southern California	NGL	Gas Plant Products (gal)	7243345.70	1
2008	Pacific	Southern California	Oil	Condensate (bbl)	23812.27	1
2008	Pacific	Southern California	Oil	Drip or Scrubber Condensate (bbl)	14881.58	1
2008	Pacific	Southern California	Oil	Inlet Scrubber (bbl)	5544.77	1
2008	Pacific	Southern California	Oil	Oil (bbl)	24738668.18	1
2008	Pacific	Southern California	Other	Sulfur (lton)	3618.16	1
2009	Alaska	Beaufort Sea	Oil	Oil (bbl)	1817256.78	1
2009	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	1275861543.04	33
2009	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	482418333.74	33
2009	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	2048637886.25	32
2009	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	22274893.12	32
2009	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	1272100.39	28
2009	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	528374858.24	33
2009	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	13504836.73	15
2009	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	58968.52	7
2009	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	1951756.57	23
2009	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	61849.13	21
2009	Gulf	Central Gulf of Mexico	Other	Salt (ton)	28039.00	1
2009	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	5469.13	1
2009	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	233.40	1
2009	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	184389010.77	4
2009	Gulf	Eastern Gulf of Mexico	Oil	Condensate (bbl)	64281.87	3
2009	Gulf	Eastern Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	349111.24	1
2009	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	304815018.02	15
2009	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	155568528.34	18
2009	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	289990352.06	14
2009	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	14169420.40	18
2009	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	37428766.52	13
2009	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	265186.62	15
2009	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	304133.26	4
2009	Gulf	Western Gulf of Mexico	Gas	Fuel Gas (mcf)	9802.67	1
2009	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	5302.18	1
2009	Gulf		Gas	Unprocessed (Wet) Gas (mcf)	-0.13	1
2009	Pacific	Southern California	Gas	Fuel Gas (mcf)	5698.00	1
2009	Pacific	Southern California	Gas	Gas Lost - Flared or Vented (mcf)	10169.00	1
2009	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	17777750.94	1
2009	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	4605423.05	1
2009	Pacific	Southern California	NGL	Gas Plant Products (gal)	6961490.97	1
2009	Pacific	Southern California	Oil	Condensate (bbl)	20134.20	1
2009	Pacific	Southern California	Oil	Inlet Scrubber (bbl)	37052.82	1
2009	Pacific	Southern California	Oil	Oil (bbl)	22525578.23	1
2009	Pacific	Southern California	Other	Sulfur (lton)	3618.56	1
2010	Alaska	Beaufort Sea	Oil	Oil (bbl)	1331549.26	1
2010	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	3765127.69	26
2010	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	1122033653.67	32
2010	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	421383187.86	35
2010	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	2171431551.59	32
2010	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	36477530.87	35
2010	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	1082580.54	28
2010	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	500715291.68	33
2010	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	14238728.88	17
2010	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	115879.24	9
2010	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	149859.33	24
2010	Gulf	Central Gulf of Mexico	Oil	Fuel Oil (bbl)	5.27	1
2010	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	6298.34	3
2010	Gulf	Central Gulf of Mexico	Other	Salt (ton)	26761.00	1
2010	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	646.16	1
2010	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	129605200.61	4
2010	Gulf	Eastern Gulf of Mexico	Oil	Condensate (bbl)	36953.42	3
2010	Gulf	Eastern Gulf of Mexico	Oil	Oil (bbl)	364.57	1
2010	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	272245797.86	16
2010	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	125179823.04	18
