CY,St,Commodity,Revenue Type,Sum of Total
,,Potassium,Bonus,5559.75
,,,Other Revenues,210297.25
,,,Rents,-26942.25
,,,Royalties,9187693.91
,,Sodium,Other Revenues,23280
,,,Rents,-3160
,,,Royalties,199760.86
,NV,Geothermal,Bonus,11418509
,,,Other Revenues,131007.57
,,,Rents,877381.24
,,,Royalties,2352838.69
,,Oil,Royalties,2886796.44
,,Oil & Gas (Non-Royalty),Bonus,1103517
,,,Other Revenues,12510.24
,,,Rents,7187345
,,Potassium,Rents,1740
,,,Royalties,159
,NY,Gas,Royalties,10451.48
,,Oil & Gas (Non-Royalty),Other Revenues,521.15
,OH,Gas,Royalties,613382.07
,,Oil,Royalties,233140.13
,,Oil & Gas (Non-Royalty),Other Revenues,12645.83
,,,Rents,4980.5
,OK,Coal,Bonus,175197.75
,,,Other Revenues,-61624.34
,,,Rents,23194.5
,,,Royalties,581982.11
,,Gas,Other Revenues,191.37
,,,Royalties,10329685.83
,,NGL,Royalties,305578.3
,,Oil,Royalties,1750663.62
,,Oil & Gas (Non-Royalty),Bonus,6748765
,,,Other Revenues,544860.55
,,,Rents,274655.49
,OR,Geothermal,Other Revenues,-7680
,,,Rents,200769.09
,,Oil & Gas (Non-Royalty),Bonus,476255
,,,Rents,477239
,PA,Gas,Royalties,68185.65
,,Oil,Royalties,374.17
,,Oil & Gas (Non-Royalty),Other Revenues,8912.12
,,,Rents,153
,SD,Gas,Royalties,84898.43
,,Oil,Royalties,1374578.21
,,Oil & Gas (Non-Royalty),Bonus,485969.5
,,,Other Revenues,8478.36
,,,Rents,181435
,TN,Oil & Gas (Non-Royalty),Other Revenues,132
,TX,Gas,Royalties,20617999.97
,,NGL,Royalties,151745.84
,,Oil,Royalties,3239395.04
,,Oil & Gas (Non-Royalty),Bonus,3832771
,,,Other Revenues,375671.95
,,,Rents,602523.9
,UT,Clay,Other Revenues,462
,,,Rents,314
,,,Royalties,5306.17
,,Coal,Bonus,2012040
,,,Other Revenues,76870.09
,,,Rents,103173
,,,Royalties,22826036.5
,,Gas,Royalties,120192052.9
,,Geothermal,Other Revenues,5224.66
,,,Rents,3854
,,,Royalties,255496.78
,,Gilsonite,Other Revenues,8362.93
,,,Rents,2128
,,,Royalties,608423.5
,,Hardrock,Rents,1168
,,NGL,Royalties,2879772.72
,,Oil,Royalties,64165921.33
,,Oil & Gas (Non-Royalty),Bonus,34788390
,,,Other Revenues,5946925.27
,,,Rents,6258762.59
,,Phosphate,Other Revenues,22422
,,,Rents,840
,,Potassium,Other Revenues,221.11
,,,Rents,24504
,,,Royalties,177944
,,Sodium,Royalties,839.73
,,Tar Sands,Other Revenues,122.91
,,,Rents,24380
,VA,Gas,Royalties,361354.93
,,Hardrock,Other Revenues,650.91
,,,Rents,177.5
,,,Royalties,75816.59
,,Oil & Gas (Non-Royalty),Other Revenues,9069.13
,,,Rents,14052.5
,WA,Coal,Rents,726
,,,Royalties,-46664.18
,,Oil & Gas (Non-Royalty),Bonus,9406
,,,Rents,1025782
,WV,Gas,Royalties,848054.85
,,Oil,Royalties,606.05
,,Oil & Gas (Non-Royalty),Other Revenues,116353.36
,,,Rents,64853.24
,WY,CO2,Royalties,85873.69
,,Coal,Bonus,340091981.9
,,,Other Revenues,-4084009.41
,,,Rents,497128.75
,,,Royalties,471289966
,,Gas,Royalties,703132330.4
,,NGL,Royalties,58637672.71
,,Oil,Royalties,226192878.2
,,Oil & Gas (Non-Royalty),Bonus,38504105.5
,,,Other Revenues,-14703814.25
,,,Rents,17443214.72
,,Sodium,Other Revenues,258336.78
,,,Rents,-17317
,,,Royalties,11575138.3
,,Sulfur,Royalties,65834.88
2008,AK,Coal,Rents,5120
,,Gas,Other Revenues,35338.98
,,,Royalties,14702605.24
,,NGL,Royalties,40379.74
,,Oil,Royalties,2061165.51
,,Oil & Gas (Non-Royalty),Other Revenues,-1755917.47
,,,Rents,11919906.12
,AL,Coal,Bonus,64113.6
,,,Other Revenues,-126878.91
,,,Rents,13494
,,,Royalties,1549517.93
,,Gas,Royalties,785303.49
,,Hardrock,Other Revenues,123
,,NGL,Royalties,905.51
,,Oil,Royalties,705017.89
,,Oil & Gas (Non-Royalty),Bonus,125982
,,,Other Revenues,1271.69
,,,Rents,201749.5
,,Sulfur,Royalties,12259.8
,AR,Gas,Royalties,8920579.24
,,Hardrock,Other Revenues,2303.02
,,,Rents,-45.45
,,,Royalties,2933.87
,,Oil,Royalties,151.05
,,Oil & Gas (Non-Royalty),Bonus,20888380.5
,,,Other Revenues,158765.53
,,,Rents,1696199.88
,AZ,Geothermal,Rents,2084
,,Oil & Gas (Non-Royalty),Bonus,15560
,,,Rents,511932
,,Sodium,Other Revenues,12
,,,Rents,4
