Year	State	County	FIPS	Commodity	Product	Volume
2006	ND	Bowman County	38011		Gas (mcf)	3413540.61
2013	ND	Mountrail County	38061		Oil (bbl)	3441042.18
2009	ND	Bowman County	38011		Gas (mcf)	3448394.91
2014	ND	Mercer County	38057		Coal (tons)	3449724.73
2007	ND	Mercer County	38057		Coal (tons)	3532979.71
2007	ND	Bowman County	38011		Gas (mcf)	3872911.51
2010	ND	McKenzie County	38053		Gas (mcf)	4157317.07
2008	ND	Bowman County	38011		Gas (mcf)	4325721.7
2011	ND	McKenzie County	38053		Oil (bbl)	4505765.09
2012	ND	McKenzie County	38053		Oil (bbl)	6250010.43
2011	ND	McKenzie County	38053		Gas (mcf)	6640480.31
2013	ND	McKenzie County	38053		Oil (bbl)	8760920.19
2012	ND	McKenzie County	38053		Gas (mcf)	9428911.28
2014	ND	McKenzie County	38053		Oil (bbl)	10406474.39
2013	ND	McKenzie County	38053		Gas (mcf)	13764922.97
2014	ND	McKenzie County	38053		Gas (mcf)	16490196.47
