year	volume	commodity	region	units
2006	2458.4500900000003	All Other Renewables	VA	thousand megawatthours
2015	8980.88238	All Other Renewables	WA	thousand megawatthours
2014	9108.166879999999	All Other Renewables	WA	thousand megawatthours
2013	8821.764860000001	All Other Renewables	WA	thousand megawatthours
2012	8214.350169999998	All Other Renewables	WA	thousand megawatthours
2011	8014.342230000001	All Other Renewables	WA	thousand megawatthours
2010	6616.96328	All Other Renewables	WA	thousand megawatthours
2009	5044.67045	All Other Renewables	WA	thousand megawatthours
2008	4938.43826	All Other Renewables	WA	thousand megawatthours
2007	3730.5537100000006	All Other Renewables	WA	thousand megawatthours
2006	2502.8539800000003	All Other Renewables	WA	thousand megawatthours
2015	1380.92478	All Other Renewables	WV	thousand megawatthours
2014	1455.99804	All Other Renewables	WV	thousand megawatthours
2013	1390.515	All Other Renewables	WV	thousand megawatthours
2012	1296.56295	All Other Renewables	WV	thousand megawatthours
2011	1111.93874	All Other Renewables	WV	thousand megawatthours
2010	939.172	All Other Renewables	WV	thousand megawatthours
2009	741.6017300000001	All Other Renewables	WV	thousand megawatthours
2008	391.52032999999994	All Other Renewables	WV	thousand megawatthours
2007	167.58800000000002	All Other Renewables	WV	thousand megawatthours
2006	174.05334000000002	All Other Renewables	WV	thousand megawatthours
2015	3314.1467399999997	All Other Renewables	WI	thousand megawatthours
2014	3262.3911000000007	All Other Renewables	WI	thousand megawatthours
2013	3191.98109	All Other Renewables	WI	thousand megawatthours
2012	3223.17789	All Other Renewables	WI	thousand megawatthours
2011	2765.0109100000004	All Other Renewables	WI	thousand megawatthours
2010	2473.9555400000004	All Other Renewables	WI	thousand megawatthours
2009	2340.29518	All Other Renewables	WI	thousand megawatthours
2008	1753.93541	All Other Renewables	WI	thousand megawatthours
2007	1329.5176000000001	All Other Renewables	WI	thousand megawatthours
2006	1265.6231099999998	All Other Renewables	WI	thousand megawatthours
2015	3767.6811500000003	All Other Renewables	WY	thousand megawatthours
2014	4405.757	All Other Renewables	WY	thousand megawatthours
2013	4433.284	All Other Renewables	WY	thousand megawatthours
2012	4369.107	All Other Renewables	WY	thousand megawatthours
2011	4611.868	All Other Renewables	WY	thousand megawatthours
2010	3246.79304	All Other Renewables	WY	thousand megawatthours
2009	2226.2045799999996	All Other Renewables	WY	thousand megawatthours
2008	962.5419999999999	All Other Renewables	WY	thousand megawatthours
2007	754.881	All Other Renewables	WY	thousand megawatthours
2006	759.0609999999999	All Other Renewables	WY	thousand megawatthours
