Month,Calendar Year,Land Class,Land Category,Commodity,Volume
December,2009,Federal,Offshore,Oil Prod Vol (bbl)," 54,068,445 "
December,2009,Federal,Onshore,Coal Prod Vol (ton)," 36,374,086 "
December,2009,Federal,Onshore,Gas Prod Vol (mcf)," 335,541,160 "
December,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,648,887 "
December,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,932,698 "
December,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,295,510 "
December,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,034,155 "
January,2010,Federal,Offshore,Gas Prod Vol (mcf)," 210,355,483 "
January,2010,Federal,Offshore,Oil Prod Vol (bbl)," 53,333,353 "
January,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,385,870 "
January,2010,Federal,Onshore,Gas Prod Vol (mcf)," 335,546,770 "
January,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,664,079 "
January,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,612,890 "
January,2010,Native American,Onshore,Gas Prod Vol (mcf)," 23,515,285 "
January,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,033,788 "
February,2010,Federal,Offshore,Gas Prod Vol (mcf)," 195,164,307 "
February,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,713,901 "
February,2010,Federal,Onshore,Coal Prod Vol (ton)," 36,431,297 "
February,2010,Federal,Onshore,Gas Prod Vol (mcf)," 302,950,533 "
February,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,035,384 "
February,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,892,405 "
February,2010,Native American,Onshore,Gas Prod Vol (mcf)," 21,554,312 "
February,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,009,015 "
March,2010,Federal,Offshore,Gas Prod Vol (mcf)," 217,129,273 "
March,2010,Federal,Offshore,Oil Prod Vol (bbl)," 51,699,886 "
March,2010,Federal,Onshore,Coal Prod Vol (ton)," 39,182,648 "
March,2010,Federal,Onshore,Gas Prod Vol (mcf)," 336,267,467 "
March,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,115,261 "
March,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,743,062 "
March,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,141,864 "
March,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,215,660 "
April,2010,Federal,Offshore,Gas Prod Vol (mcf)," 200,962,353 "
April,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,376,150 "
April,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,425,071 "
April,2010,Federal,Onshore,Gas Prod Vol (mcf)," 327,644,714 "
April,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,719,283 "
April,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,795,669 "
April,2010,Native American,Onshore,Gas Prod Vol (mcf)," 23,736,250 "
April,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,221,028 "
May,2010,Federal,Offshore,Gas Prod Vol (mcf)," 199,927,130 "
May,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,626,771 "
May,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,144,604 "
May,2010,Federal,Onshore,Gas Prod Vol (mcf)," 334,631,117 "
May,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,177,057 "
May,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,742,781 "
May,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,988,233 "
May,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,268,405 "
June,2010,Federal,Offshore,Gas Prod Vol (mcf)," 185,198,425 "
June,2010,Federal,Offshore,Oil Prod Vol (bbl)," 48,242,226 "
June,2010,Federal,Onshore,Coal Prod Vol (ton)," 36,578,041 "
June,2010,Federal,Onshore,Gas Prod Vol (mcf)," 311,098,928 "
June,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,798,266 "
June,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,582,003 "
June,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,319,280 "
June,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,327,508 "
July,2010,Federal,Offshore,Gas Prod Vol (mcf)," 185,063,545 "
July,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,378,029 "
July,2010,Federal,Onshore,Coal Prod Vol (ton)," 38,135,193 "
July,2010,Federal,Onshore,Gas Prod Vol (mcf)," 328,596,297 "
July,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,194,886 "
July,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,609,279 "
July,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,884,376 "
July,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,435,458 "
August,2010,Federal,Offshore,Gas Prod Vol (mcf)," 194,060,192 "
August,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,994,159 "
August,2010,Federal,Onshore,Coal Prod Vol (ton)," 41,050,494 "
August,2010,Federal,Onshore,Gas Prod Vol (mcf)," 330,797,763 "
August,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,202,970 "
August,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,735,723 "
August,2010,Native American,Onshore,Gas Prod Vol (mcf)," 25,421,882 "
August,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,545,701 "
September,2010,Federal,Offshore,Gas Prod Vol (mcf)," 183,318,037 "
September,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,461,957 "
September,2010,Federal,Onshore,Coal Prod Vol (ton)," 40,744,704 "
September,2010,Federal,Onshore,Gas Prod Vol (mcf)," 319,686,445 "
September,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,919,866 "
September,2010,Native American,Onshore,Coal Prod Vol (ton)," 2,038,643 "
September,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,878,555 "
September,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,550,349 "
October,2010,Federal,Offshore,Gas Prod Vol (mcf)," 188,789,221 "
October,2010,Federal,Offshore,Oil Prod Vol (bbl)," 50,405,069 "
October,2010,Federal,Onshore,Coal Prod Vol (ton)," 40,725,641 "
October,2010,Federal,Onshore,Gas Prod Vol (mcf)," 328,203,366 "
October,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,321,060 "
October,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,795,394 "
October,2010,Native American,Onshore,Gas Prod Vol (mcf)," 26,008,695 "
October,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,642,614 "
November,2010,Federal,Offshore,Gas Prod Vol (mcf)," 175,276,188 "
November,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,255,610 "
November,2010,Federal,Onshore,Coal Prod Vol (ton)," 32,529,477 "
November,2010,Federal,Onshore,Gas Prod Vol (mcf)," 321,836,894 "
November,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,097,479 "
November,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,605,752 "
November,2010,Native American,Onshore,Gas Prod Vol (mcf)," 25,353,914 "
November,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,589,287 "
December,2010,Federal,Offshore,Gas Prod Vol (mcf)," 186,272,950 "
December,2010,Federal,Offshore,Oil Prod Vol (bbl)," 48,149,278 "
December,2010,Federal,Onshore,Coal Prod Vol (ton)," 39,561,231 "
December,2010,Federal,Onshore,Gas Prod Vol (mcf)," 332,455,521 "
December,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,182,320 "
December,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,832,658 "
December,2010,Native American,Onshore,Gas Prod Vol (mcf)," 26,113,166 "
December,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,627,137 "
January,2011,Federal,Offshore,Gas Prod Vol (mcf)," 185,166,665 "
January,2011,Federal,Offshore,Oil Prod Vol (bbl)," 50,130,916 "
January,2011,Federal,Onshore,Coal Prod Vol (ton)," 39,876,734 "
January,2011,Federal,Onshore,Gas Prod Vol (mcf)," 319,222,459 "
January,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,144,600 "
January,2011,Native American,Onshore,Coal Prod Vol (ton)," 2,253,425 "
January,2011,Native American,Onshore,Gas Prod Vol (mcf)," 24,918,778 "
January,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,636,555 "
February,2011,Federal,Offshore,Gas Prod Vol (mcf)," 158,410,349 "
February,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,096,304 "
February,2011,Federal,Onshore,Coal Prod Vol (ton)," 33,558,869 "
February,2011,Federal,Onshore,Gas Prod Vol (mcf)," 287,724,609 "
February,2011,Federal,Onshore,Oil Prod Vol (bbl)," 8,115,372 "
February,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,494,323 "
February,2011,Native American,Onshore,Gas Prod Vol (mcf)," 23,117,042 "
February,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,507,999 "
March,2011,Federal,Offshore,Gas Prod Vol (mcf)," 175,490,368 "
March,2011,Federal,Offshore,Oil Prod Vol (bbl)," 44,883,969 "
March,2011,Federal,Onshore,Coal Prod Vol (ton)," 40,399,121 "
March,2011,Federal,Onshore,Gas Prod Vol (mcf)," 325,390,672 "
March,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,490,838 "
March,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,772,654 "
March,2011,Native American,Onshore,Gas Prod Vol (mcf)," 26,360,219 "
