Month,Calendar Year,Land Class,Land Category,Revenue Type,Commodity, Revenue ,,
June,2008,Federal,Onshore,Rents,Coal," $34,797.00 ",,
June,2008,Federal,Onshore,Rents,Geothermal," $82,685.30 ",,
June,2008,Federal,Onshore,Rents,Gilsonite, $981.00 ,,
June,2008,Federal,Onshore,Rents,Hardrock," $9,181.50 ",,
June,2008,Federal,Onshore,Rents,Oil & Gas," $4,431,946.33 ",,
June,2008,Federal,Onshore,Rents,Phosphate," $1,511.00 ",,
June,2008,Federal,Onshore,Rents,Sodium," $(1,280.00)",,
June,2008,Federal,Onshore,Royalties,Coal," $57,878,764.16 ",,
June,2008,Federal,Onshore,Royalties,Gas," $296,523,055.94 ",,
June,2008,Federal,Onshore,Royalties,NGL," $28,790,027.63 ",,
June,2008,Federal,Onshore,Royalties,Oil," $135,567,218.33 ",,
June,2008,Federal,Onshore,Royalties,Other Products," $10,919,704.66 ",,
June,2008,Federal,,Civil Penalties,," $8,360.00 ",,
June,2008,Federal,,Other Revenues,," $2,200.04 ",,
June,2008,Native American,Onshore,Other Revenues,Gas," $9,062.67 ",,
June,2008,Native American,Onshore,Other Revenues,NGL," $3,991.60 ",,
June,2008,Native American,Onshore,Other Revenues,Oil," $(14,290.48)",,
June,2008,Native American,Onshore,Other Revenues,Oil & Gas," $951,276.16 ",,
June,2008,Native American,Onshore,Other Revenues,Phosphate," $1,200.00 ",,
June,2008,Native American,Onshore,Other Revenues,Sand & Gravel," $237,500.00 ",,
June,2008,Native American,Onshore,Rents,Coal," $40,000.00 ",,
June,2008,Native American,Onshore,Rents,Copper," $4,180.00 ",,
June,2008,Native American,Onshore,Rents,Mining-Unspecified," $7,150.00 ",,
June,2008,Native American,Onshore,Rents,Oil & Gas," $25,119.47 ",,
June,2008,Native American,Onshore,Rents,Phosphate, $200.00 ,,
June,2008,Native American,Onshore,Rents,Sand & Gravel," $1,056.80 ",,
June,2008,Native American,Onshore,Royalties,Coal," $9,524,385.22 ",,
June,2008,Native American,Onshore,Royalties,Gas," $27,494,571.78 ",,
June,2008,Native American,Onshore,Royalties,NGL," $1,494,143.51 ",,
June,2008,Native American,Onshore,Royalties,Oil," $14,333,630.49 ",,
June,2008,Native American,Onshore,Royalties,Other Products," $86,119.50 ",,
June,2008,Native American,,Other Revenues,, $8.39 ,,
July,2008,Federal,Offshore,Bonus,Oil & Gas," $747,749,665.00 ",,
July,2008,Federal,Offshore,Other Revenues,Gas, $360.41 ,,
July,2008,Federal,Offshore,Other Revenues,NGL," $2,225.70 ",,
July,2008,Federal,Offshore,Other Revenues,Oil," $243,110.63 ",,
July,2008,Federal,Offshore,Other Revenues,Oil & Gas," $20,198,659.94 ",,
July,2008,Federal,Offshore,Rents,Oil & Gas," $16,347,168.18 ",,
July,2008,Federal,Offshore,Royalties,Gas," $322,614,676.37 ",,
July,2008,Federal,Offshore,Royalties,NGL," $23,175,455.47 ",,
July,2008,Federal,Offshore,Royalties,Oil," $464,569,308.14 ",,
July,2008,Federal,Offshore,Royalties,Other Products," $47,221.13 ",,
July,2008,Federal,Onshore,Bonus,Coal," $1,048,524.00 ",,
July,2008,Federal,Onshore,Bonus,Oil & Gas," $6,320,249.50 ",,
July,2008,Federal,Onshore,Other Revenues,Coal," $133,922.59 ",,
July,2008,Federal,Onshore,Other Revenues,Gas," $3,955.56 ",,
July,2008,Federal,Onshore,Other Revenues,Gemstones, $23.57 ,,
July,2008,Federal,Onshore,Other Revenues,Geothermal," $17,021.23 ",,
July,2008,Federal,Onshore,Other Revenues,Gilsonite," $1,434.00 ",,
July,2008,Federal,Onshore,Other Revenues,Hardrock," $2,254.08 ",,
July,2008,Federal,Onshore,Other Revenues,Oil & Gas," $18,897,692.57 ",,
July,2008,Federal,Onshore,Other Revenues,Phosphate," $6,066.00 ",,
July,2008,Federal,Onshore,Other Revenues,Potassium," $3,096.02 ",,
July,2008,Federal,Onshore,Rents,Coal," $82,248.00 ",,
July,2008,Federal,Onshore,Rents,Gemstones, $240.00 ,,
July,2008,Federal,Onshore,Rents,Geothermal," $128,118.00 ",,
July,2008,Federal,Onshore,Rents,Gilsonite, $239.00 ,,
July,2008,Federal,Onshore,Rents,Hardrock, $941.05 ,,
July,2008,Federal,Onshore,Rents,Oil, $(101.25),,
July,2008,Federal,Onshore,Rents,Oil & Gas," $4,046,464.69 ",,
July,2008,Federal,Onshore,Rents,Phosphate, $152.00 ,,
July,2008,Federal,Onshore,Rents,Potassium," $(2,071.00)",,
July,2008,Federal,Onshore,Royalties,Coal," $54,233,063.86 ",,
July,2008,Federal,Onshore,Royalties,Gas," $289,093,273.43 ",,
July,2008,Federal,Onshore,Royalties,NGL," $23,313,724.93 ",,
July,2008,Federal,Onshore,Royalties,Oil," $122,820,861.95 ",,
July,2008,Federal,Onshore,Royalties,Other Products," $11,777,837.57 ",,
July,2008,Federal,,Civil Penalties,," $80,194.73 ",,
July,2008,Federal,,Other Revenues,," $(1,231.75)",,
July,2008,Native American,Onshore,Other Revenues,Coal," $1,012,298.06 ",,
July,2008,Native American,Onshore,Other Revenues,Gas," $4,295.74 ",,
July,2008,Native American,Onshore,Other Revenues,Gypsum, $(0.00),,
July,2008,Native American,Onshore,Other Revenues,NGL," $4,233.94 ",,
July,2008,Native American,Onshore,Other Revenues,Oil," $(9,009.89)",,
July,2008,Native American,Onshore,Other Revenues,Oil & Gas," $1,560,598.43 ",,
