Year	State	County	FIPS	Volume
2007	TX	Houston County	48225	2
2014	TX	Zapata County	48505	1
2013	TX	Zapata County	48505	1
2011	TX	Zapata County	48505	1
2007	TX	Johnson County	48251	1
2005	TX	Denton County	48121	1
2010	TX	Zapata County	48505	1
2010	TX	Denton County	48121	1
2008	TX	Denton County	48121	1
2007	TX	Denton County	48121	1
2009	TX	Denton County	48121	1
2005	TX	Tarrant County	48439	1
2010	TX	Johnson County	48251	1
2008	TX	Johnson County	48251	1
2014	TX	Denton County	48121	1
2009	TX	Johnson County	48251	1
2013	TX	Denton County	48121	1
2006	TX	Denton County	48121	1
2012	TX	Denton County	48121	1
2011	TX	Denton County	48121	1
2014	TX	Johnson County	48251	1
2013	TX	Johnson County	48251	1
2012	TX	Johnson County	48251	1
2011	TX	Johnson County	48251	1
2006	TX	Tarrant County	48439	1
2014	TX	Starr County	48427	1
2013	TX	Starr County	48427	1
2011	TX	Starr County	48427	1
2007	TX	Tarrant County	48439	1
2005	TX	Starr County	48427	1
