Company	Revenue Type	Commodity	Revenue		
BLUESTONE NATURAL RESOURCES II LLC	ONRR - Other Revenues	Oil & Gas	$685.05 		
BLUESTONE NATURAL RESOURCES II LLC	ONRR - Royalties	Gas	$381,163.87 		
BLUESTONE NATURAL RESOURCES II LLC	ONRR/BLM - Rents	Oil & Gas	$11,540.00 		
BML INC	ONRR - Royalties	Oil	$117,397.46 		
BNI COAL LTD	BLM - Permit Fees	Coal	$51,015.50 		
BNI COAL LTD	ONRR - Royalties	Coal	Withheld		
BNI COAL LTD	ONRR/BLM - Rents	Coal	Withheld		
BNI COAL LTD	OSMRE - AML Fees including Audits and Late Charges 	Coal	$316,782.40 		
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Other Revenues	Oil & Gas	$9,921.94 		
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Gas	$551,630.00 		
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Oil	$1,009,027.01 		
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR/BLM - Rents	Oil & Gas	$29,256.85 		
BOPCO LP	BLM - Permit Fees	Oil & Gas	$9,790.00 		
BOPCO LP	ONRR - Other Revenues	Oil & Gas	$2,426,001.82 		
BOPCO LP	ONRR - Royalties	Gas	$6,748,868.26 		
BOPCO LP	ONRR - Royalties	Oil	$18,792,794.41 		
BOPCO LP	ONRR/BLM - Rents	Oil & Gas	$45,641.00 		
BOREALIS MINING CO	BLM - Permit Fees	Locatable Minerals	$171,585.00 		
BOULDER SAND AND GRAVEL INC	BLM - Permit Fees	Mineral Materials	$109,461.60 		
BOWIE RESOURCES LLC	ONRR - Other Revenues	Coal	$658,669.31 		
BOWIE RESOURCES LLC	ONRR - Royalties	Coal	$28,806,070.68 		
BOWIE RESOURCES LLC	ONRR/BLM - Bonus	Coal	$276,521.36 		
BOWIE RESOURCES LLC	ONRR/BLM - Bonus	Coal	$8,010,000.00 		
BOWIE RESOURCES LLC	ONRR/BLM - Rents	Coal	$137,844.00 		
BOWIE RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$1,292,366.31 		
BP AMERICA INC	BLM - Permit Fees	Oil & Gas	$1,038,375.00 		
BP AMERICA INC	ONRR - Inspection Fees	Oil & Gas	$1,433,500.00 		
BP AMERICA INC	ONRR - Other Revenues	N/A	$4,594.73 		
BP AMERICA INC	ONRR - Other Revenues	Oil & Gas	$11,471,642.63 		
BP AMERICA INC	ONRR - Royalties	Gas	$65,044,568.34 		
BP AMERICA INC	ONRR - Royalties	Oil	$556,820,077.77 		
BP AMERICA INC	ONRR/BLM - Bonus	Oil & Gas	$3,004,705.00 		
BP AMERICA INC	ONRR/BLM - Rents	Oil & Gas	$7,788,966.00 		
BRANDON R JOHNSON	BLM - Permit Fees	Locatable Minerals	$140,120.00 		
BRAVO ARKOMA LLC	ONRR - Other Revenues	Oil & Gas	$1,223.62 		
BRAVO ARKOMA LLC	ONRR - Royalties	Gas	$402,315.88 		
BRAVO ARKOMA LLC	ONRR - Royalties	Oil	$408.31 		
BRAVO ARKOMA LLC	ONRR/BLM - Rents	Oil & Gas	$1,862.00 		
BRAZOS LP	ONRR - Other Revenues	Oil & Gas	$3,071.95 		
BRAZOS LP	ONRR - Royalties	Gas	$105,252.25 		
BRAZOS LP	ONRR - Royalties	Oil	$121,862.03 		
BRAZOS LP	ONRR/BLM - Rents	Oil & Gas	$800.00 		
BREITBURN ENERGY PARTNERS LP	ONRR - Other Revenues	N/A	$243.00 		
BREITBURN ENERGY PARTNERS LP	ONRR - Other Revenues	Oil & Gas	$3,800.43 		
BREITBURN ENERGY PARTNERS LP	ONRR - Royalties	Gas	$2,834,556.12 		
BREITBURN ENERGY PARTNERS LP	ONRR - Royalties	Oil	$2,802,077.80 		
BREITBURN ENERGY PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	$6,978.00 		
BRONCO CREEK EXPLORATION INC	BLM - Permit Fees	Locatable Minerals	$523,769.00 		
BRONCO UTAH RESERVES INC	ONRR - Other Revenues	Coal	$133,623.58 		
BRONCO UTAH RESERVES INC	ONRR/BLM - Rents	Coal	$2,630.00 		
BROWNSTONE VENTURES (US) INC.	BLM - Permit Fees	Locatable Minerals	$189,073.00 		
