Company	Revenue Type	Commodity	Revenue		
HOLMES WESTERN OIL CORP	ONRR - Royalties	Oil	$1,907,594.87 		
HOLMES WESTERN OIL CORP	ONRR/BLM - Rents	Oil & Gas	$550.00 		
HOOVER & STACY INC	BLM - Permit Fees	Oil & Gas	$13,120.00 		
HOOVER & STACY INC	ONRR/BLM - Bonus	Oil & Gas	$805,923.00 		
HOOVER & STACY INC	ONRR/BLM - Rents	Oil & Gas	$40,378.50 		
HOUSTON ENERGY DEEPWATER VENTURES I LLC	ONRR - Other Revenues	Oil & Gas	$143.36 		
HOUSTON ENERGY DEEPWATER VENTURES I LLC	ONRR - Royalties	Oil	$1,502,329.58 		
HOUSTON ENERGY LP	ONRR/BLM - Bonus	Oil & Gas	$1,931,067.00 		
HOUSTON ENERGY LP	ONRR/BLM - Rents	Oil & Gas	$1,107,900.00 		
HOWARD ENERGY CO INC	ONRR - Other Revenues	Oil & Gas	$112.21 		
HOWARD ENERGY CO INC	ONRR - Royalties	Gas	$17,006.52 		
HOWARD ENERGY CO INC	ONRR - Royalties	Oil	$227,649.63 		
HRM RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	$3,708.74 		
HRM RESOURCES LLC	ONRR - Royalties	Gas	$28,324.70 		
HRM RESOURCES LLC	ONRR - Royalties	Oil	$213,748.85 		
HRM RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$4,203.00 		
HUDSON OIL CO OF TEXAS	ONRR - Other Revenues	Oil & Gas	$30,441.31 		
HUDSON OIL CO OF TEXAS	ONRR - Royalties	Gas	$255,220.82 		
HUDSON OIL CO OF TEXAS	ONRR - Royalties	Oil	($5,059.30)		
HUDSON OIL CO OF TEXAS	ONRR/BLM - Rents	Oil & Gas	$1,290.00 		
HUNT OIL CO	ONRR - Other Revenues	N/A	$486.00 		
HUNT OIL CO	ONRR - Other Revenues	Oil & Gas	$303.75 		
HUNT OIL CO	ONRR - Royalties	Gas	$12,434.84 		
HUNT OIL CO	ONRR - Royalties	Oil	$7,151,380.70 		
HUNT OIL CO	ONRR/BLM - Rents	Oil & Gas	$1,019.00 		
HUNTINGTON ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$14,779.26 		
HUNTINGTON ENERGY LLC	ONRR - Royalties	Gas	$907,200.60 		
HUNTINGTON ENERGY LLC	ONRR - Royalties	Oil	$461,927.43 		
HUNTINGTON ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$3,191.00 		
HYCROFT RESOURCES & DEVELOPMENT INC	BLM - Permit Fees	Locatable Minerals	$516,615.00 		
HYPERION OIL & GAS LLC	ONRR - Royalties	Gas	$215,923.11 		
HYPERION OIL & GAS LLC	ONRR - Royalties	Oil	$398,680.91 		
IDAHO GOLD RESOURCES CO LLC	BLM - Permit Fees	Locatable Minerals	$234,050.00 		
ILX HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	($315,071.84)		
ILX HOLDINGS LLC	ONRR - Royalties	Gas	$158,853.35 		
ILX HOLDINGS LLC	ONRR - Royalties	Oil	$3,668,260.53 		
ILX PROSPECT DANTZLER LLC	ONRR - Other Revenues	Oil & Gas	($19,476.44)		
ILX PROSPECT DANTZLER LLC	ONRR - Royalties	Gas	$217,819.71 		
ILX PROSPECT DANTZLER LLC	ONRR - Royalties	Oil	$10,824,744.85 		
IMERYS	BLM - Permit Fees	Locatable Minerals	$161,820.00 		
INCREMENTAL OIL & GAS USA HOLDING INC	ONRR - Royalties	Gas	$133,875.49 		
INCREMENTAL OIL & GAS USA HOLDING INC	ONRR - Royalties	Oil	$52,529.59 		
INCREMENTAL OIL & GAS USA HOLDING INC	ONRR/BLM - Rents	Oil & Gas	$120.50 		
INTERMONT EXPLORATION LLC	BLM - Permit Fees	Locatable Minerals	$242,626.00 		
INTERMONT RESOURCES, LLC	BLM - Permit Fees	Locatable Minerals	$268,650.00 		
INTREPID POTASH INC	BLM - Permit Fees	Mineral Materials	$80,977.20 		
INTREPID POTASH INC	ONRR - Other Revenues	Potassium	($78,878.25)		
INTREPID POTASH INC	ONRR - Royalties	Other Commodities	$3,143,488.38 		
INTREPID POTASH INC	ONRR/BLM - Rents	Potassium	($96,557.90)		
J & M RAYMOND LTD	ONRR - Other Revenues	Oil & Gas	$244.14 		
J & M RAYMOND LTD	ONRR - Royalties	Gas	$120,058.61 		
J & M RAYMOND LTD	ONRR - Royalties	Oil	$519.19 		
J & S ENTERPRISES	BLM - Permit Fees	Mineral Materials	$132,560.33 		
J BAR CANE INC	ONRR/BLM - Bonus	Oil & Gas	$1,734,000.00 		
J BAR CANE INC	ONRR/BLM - Rents	Oil & Gas	$440.00 		
J.P. INCORPORATED	ONRR - Other Revenues	Oil & Gas	$359.00 		
J.P. INCORPORATED	ONRR - Royalties	Oil	$162,833.94 		
J.P. INCORPORATED	ONRR/BLM - Rents	Oil & Gas	$520.00 		
J.R. SIMPLOT CO	BLM - Permit Fees	Locatable Minerals	$19,995.00 		
J.R. SIMPLOT CO	ONRR - Other Revenues	Phosphate	$61,092.00 		
J.R. SIMPLOT CO	ONRR - Royalties	Other Commodities	$3,593,477.00 		
J.R. SIMPLOT CO	ONRR/BLM - Rents	Phosphate	$1,225.00 		
JDAV LAND SERVICES INC	BLM - Permit Fees	Oil & Gas	$800.00 		
JDAV LAND SERVICES INC	ONRR/BLM - Bonus	Oil & Gas	$105,194.00 		
JDAV LAND SERVICES INC	ONRR/BLM - Rents	Oil & Gas	$3,244.50 		
JERRITT CANYON GOLD LLC	BLM - Permit Fees	Locatable Minerals	$497,389.00 		
JETCO ENERGY SERVICES LLC	ONRR - Other Revenues	Oil & Gas	$13,211.03 		
JETCO ENERGY SERVICES LLC	ONRR - Royalties	Gas	$324,559.98 		
JETCO ENERGY SERVICES LLC	ONRR - Royalties	Oil	$341,788.03 		
JMA RESOURCES, INC.	ONRR - Other Revenues	Oil & Gas	$41,766.28 		
JMA RESOURCES, INC.	ONRR - Royalties	Gas	$478,027.05 		
JMA RESOURCES, INC.	ONRR - Royalties	Oil	$721,756.53 		
JOHN H. HENDRIX CORP	ONRR - Other Revenues	Oil & Gas	$8,945.87 		
JOHN H. HENDRIX CORP	ONRR - Royalties	Gas	$435,445.50 		
JONAH ENERGY LLC	BLM - Permit Fees	Oil & Gas	$1,096,690.00 		
JONAH ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$3,147,361.60 		
JONAH ENERGY LLC	ONRR - Royalties	Gas	$52,845,426.67 		
JONAH ENERGY LLC	ONRR - Royalties	Oil	$9,987,827.35 		
JONAH ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$79,146.00 		
JONES ENERGY LTD	ONRR - Other Revenues	Oil & Gas	$544.59 		
JONES ENERGY LTD	ONRR - Royalties	Gas	$281,427.63 		
JONES ENERGY LTD	ONRR - Royalties	Oil	$9,185.83 		
JOSHUA BLEAK	BLM - Permit Fees	Locatable Minerals	$150,970.00 		
JUNIPER RESOURCES EXPLORATION CO LLC	BLM - Permit Fees	Oil & Gas	$2,280.00 		
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR - Other Revenues	N/A	$243.00 		
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR - Other Revenues	Oil & Gas	$16,085.00 		
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR - Royalties	Gas	$33,409.06 		
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR - Royalties	Oil	$50,603.33 		
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR/BLM - Rents	Oil & Gas	$4,098.00 		
K2T2 RESOURCES LLC	BLM - Permit Fees	Oil & Gas	$795.00 		
K2T2 RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	$524,690.00 		
K2T2 RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$3,471.00 		
KAISER-FRANCIS OIL CO	ONRR - Other Revenues	N/A	$243.00 		
KAISER-FRANCIS OIL CO	ONRR - Other Revenues	Oil & Gas	$89,665.40 		
KAISER-FRANCIS OIL CO	ONRR - Royalties	Gas	$559,345.23 		
KAISER-FRANCIS OIL CO	ONRR - Royalties	Oil	$723,407.36 		
KAISER-FRANCIS OIL CO	ONRR/BLM - Rents	Oil & Gas	$4,646.00 		
KALAMAZOO MATERIALS INC	BLM - Permit Fees	Mineral Materials	$116,905.14 		
KB HOME	BLM - Permit Fees	Mineral Materials	$123,240.00 		
KEN FARMER OPERATING  LLC	ONRR/BLM - Rents	Oil & Gas	$105,923.50 		
KENAMERICAN RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$203,863.28 		
KENNECOTT	BLM - Permit Fees	Locatable Minerals	$1,666,020.00 		
KEW DRILLING	ONRR/BLM - Bonus	Oil & Gas	$3,002,000.00 		
KEW DRILLING	ONRR/BLM - Rents	Oil & Gas	$4,620.00 		
KG MINING BALD MOUNTAIN INC	BLM - Permit Fees	Locatable Minerals	$507,005.00 		
KG MINING ROUND MOUNTAIN INC	BLM - Permit Fees	Locatable Minerals	$163,575.00 		
KGH OPERATING CO	ONRR - Royalties	Gas	$107,322.75 		
KGH OPERATING CO	ONRR - Royalties	Oil	$14,966.79 		
KHODY LAND & MINERALS CO	BLM - Permit Fees	Oil & Gas	$70.00 		
KHODY LAND & MINERALS CO	ONRR - Other Revenues	Oil & Gas	$4,446.41 		
KHODY LAND & MINERALS CO	ONRR/BLM - Bonus	Oil & Gas	$139,400.00 		
KHODY LAND & MINERALS CO	ONRR/BLM - Rents	Oil & Gas	$4,096.00 		
KIEWIT MINING GROUP INC	ONRR - Royalties	Coal	$24,123,897.75 		
KIEWIT MINING GROUP INC	ONRR/BLM - Rents	Coal	$114,822.00 		
KIEWIT MINING GROUP INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$5,858,982.17 		
KILAUEA CRUSHERS INC	BLM - Permit Fees	Mineral Materials	$509,275.11 		
KILGORE COMPANIES	BLM - Permit Fees	Mineral Materials	$343,571.59 		
KIMBELL OIL CO	ONRR - Other Revenues	Oil & Gas	$23,726.97 		
KIMBELL OIL CO	ONRR - Royalties	Gas	$148,665.87 		
KIMBELL OIL CO	ONRR - Royalties	Oil	$3,046.74 		
KINDER MORGAN ENERGY PARTNERS LP	ONRR - Other Revenues	N/A	$436.00 		
KINDER MORGAN ENERGY PARTNERS LP	ONRR - Other Revenues	Oil & Gas	$384,911.87 		
KINDER MORGAN ENERGY PARTNERS LP	ONRR - Royalties	Oil	$8,332.69 		
KINDER MORGAN ENERGY PARTNERS LP	ONRR - Royalties	Other Commodities	$28,260,962.90 		
KINDER MORGAN ENERGY PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	$12,041.00 		
KINGS PEAK ENERGY LLC	BLM - Permit Fees	Oil & Gas	$140,000.00 		
KINGS PEAK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$3,290.85 		
KINGS PEAK ENERGY LLC	ONRR - Royalties	Gas	$45,917.15 		
KINGS PEAK ENERGY LLC	ONRR - Royalties	Oil	$908,002.96 		
KINGS PEAK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$22,519.50 		
KINROSS GOLD USA INC	BLM - Permit Fees	Locatable Minerals	$667,224.00 		
KIRKWOOD	ONRR - Other Revenues	N/A	$486.00 		
KIRKWOOD	ONRR - Other Revenues	Oil & Gas	$35,685.50 		
KIRKWOOD	ONRR - Royalties	Gas	$407,495.85 		
KIRKWOOD	ONRR - Royalties	Oil	$2,453,636.23 		
KIRKWOOD	ONRR/BLM - Bonus	Oil & Gas	$269,393.00 		
KIRKWOOD	ONRR/BLM - Rents	Oil & Gas	$366,012.92 		
KLONDEX MINES LTD	BLM - Permit Fees	Locatable Minerals	$598,920.00 		
KNIGHT HAWK COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$673,909.55 		
KOCH INDUSTRIES INC	ONRR - Other Revenues	Oil & Gas	$22,199.52 		
KOCH INDUSTRIES INC	ONRR - Royalties	Gas	$1,634,078.48 		
KOCH INDUSTRIES INC	ONRR - Royalties	Oil	$300,712.91 		
KOCH INDUSTRIES INC	ONRR/BLM - Rents	Oil & Gas	$93,624.00 		
KORE USA LTD. C/O KORE MINING LTD	BLM - Permit Fees	Locatable Minerals	$116,405.00 		
KRAKEN OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	$51,110.00 		
KRAKEN OIL & GAS LLC	ONRR - Other Revenues	N/A	$486.00 		
KRAKEN OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	$3,171.75 		
KRAKEN OIL & GAS LLC	ONRR - Royalties	Gas	$19,912.65 		
KRAKEN OIL & GAS LLC	ONRR - Royalties	Oil	$190,772.18 		
KRAKEN OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	$20,226.68 		
KRUGER SALLY L  TRUST	ONRR/BLM - Rents	Oil & Gas	$127,365.00 		
LANDMARK ENERGY XV LLC	ONRR - Other Revenues	Oil & Gas	$12,112.48 		
LANDMARK ENERGY XV LLC	ONRR - Royalties	Gas	$116,901.53 		
LARAMIE ENERGY LLC	BLM - Permit Fees	Oil & Gas	$349,175.00 		
LARAMIE ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$972.00 		
LARAMIE ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	$195,377.00 		
LARAMIE ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$35,976.00 		
LARRY R MOYER EXPLORATION LLC	BLM - Permit Fees	Oil & Gas	$5,685.00 		
LARRY R MOYER EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	$177,343.50 		
LAS VEGAS PAVING CORP	BLM - Permit Fees	Mineral Materials	$493,734.16 		
LE NORMAN OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$21,615.13 		
LE NORMAN OPERATING LLC	ONRR - Royalties	Gas	$413,601.34 		
LE NORMAN OPERATING LLC	ONRR - Royalties	Oil	$654,121.51 		
LEGACY RESERVES OPERATING LP	BLM - Permit Fees	Oil & Gas	$145,960.00 		
LEGACY RESERVES OPERATING LP	ONRR - Other Revenues	Oil & Gas	$653,841.29 		
LEGACY RESERVES OPERATING LP	ONRR - Royalties	Gas	$1,815,613.29 		
LEGACY RESERVES OPERATING LP	ONRR - Royalties	Oil	$11,709,411.95 		
LEGACY RESERVES OPERATING LP	ONRR/BLM - Rents	Oil & Gas	$2,969.75 		
LEONARDITE PRODUCTS LLC	ONRR - Royalties	Other Commodities	Withheld		
LEONARDITE PRODUCTS LLC	ONRR/BLM - Rents	Coal	Withheld		
LHOIST NORTH AMERICA INC	BLM - Permit Fees	Locatable Minerals	$235,755.00 		
LIBERTY PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	$3,100.00 		
LIBERTY PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	$1,454.32 		
LIBERTY PETROLEUM CORP	ONRR/BLM - Bonus	Oil & Gas	$91,741.00 		
LIBERTY PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	$225,677.00 		
LIBERTY PIONEER ENERGY SOURCE	ONRR - Other Revenues	Oil & Gas	$7,833.00 		
LIBERTY PIONEER ENERGY SOURCE	ONRR - Royalties	Gas	$24,538.14 		
LIBERTY PIONEER ENERGY SOURCE	ONRR/BLM - Rents	Oil & Gas	$81,810.00 		
LIBERTY RESOURCES LLC	BLM - Permit Fees	Oil & Gas	$230,640.00 		
LIME ROCK RESOURCES	BLM - Permit Fees	Oil & Gas	$29,675.00 		
LIME ROCK RESOURCES	ONRR - Other Revenues	Oil & Gas	$208,526.70 		
LIME ROCK RESOURCES	ONRR - Royalties	Gas	$2,427,276.83 		
LIME ROCK RESOURCES	ONRR - Royalties	Oil	$4,417,373.22 		
LIME ROCK RESOURCES	ONRR/BLM - Rents	Oil & Gas	$19,288.00 		
LINDE INC	ONRR - Royalties	Gas	$478.00 		
LINDE INC	ONRR - Royalties	Other Commodities	$513,414.00 		
LINDER OIL COMPANY, A PTNRSHIP	ONRR - Inspection Fees	Oil & Gas	$51,000.00 		
LINDER OIL COMPANY, A PTNRSHIP	ONRR - Other Revenues	Oil & Gas	$104.78 		
LINDER OIL COMPANY, A PTNRSHIP	ONRR - Royalties	Gas	$122,050.71 		
LINDER OIL COMPANY, A PTNRSHIP	ONRR - Royalties	Oil	$571,864.01 		
LINN ENERGY LLC	BLM - Permit Fees	Oil & Gas	$190.00 		
LINN ENERGY LLC	ONRR - Other Revenues	N/A	$4,617.00 		
LINN ENERGY LLC	ONRR - Other Revenues	Oil & Gas	($1,402,928.09)		
LINN ENERGY LLC	ONRR - Royalties	Gas	$28,547,572.14 		
LINN ENERGY LLC	ONRR - Royalties	Oil	$13,833,930.31 		
LINN ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$79,354.00 		
LITHION USA (NEVADA) CORP	BLM - Permit Fees	Locatable Minerals	$445,769.00 		
LITHIUM HOLDINGS NEVADA, LLC	BLM - Permit Fees	Locatable Minerals	$256,509.00 		
LLOG EXPLORATION OFFSHORE INC	ONRR - Inspection Fees	Oil & Gas	$831,500.00 		
LLOG EXPLORATION OFFSHORE INC	ONRR - Other Revenues	Oil & Gas	$1,854,691.29 		
LLOG EXPLORATION OFFSHORE INC	ONRR - Royalties	Gas	$18,488,026.59 		
LLOG EXPLORATION OFFSHORE INC	ONRR - Royalties	Oil	$185,329,627.34 		
LLOG EXPLORATION OFFSHORE INC	ONRR/BLM - Bonus	Oil & Gas	$6,877,143.00 		
LLOG EXPLORATION OFFSHORE INC	ONRR/BLM - Rents	Oil & Gas	$5,093,948.00 		
LOCIN OIL CORP	ONRR - Other Revenues	Oil & Gas	$299.20 		
LOCIN OIL CORP	ONRR - Royalties	Gas	$165,438.42 		
LOCIN OIL CORP	ONRR - Royalties	Oil	$11,878.30 		
LOCIN OIL CORP	ONRR/BLM - Rents	Oil & Gas	$2,326.00 		
LOGOS OPERATING LLC	ONRR - Other Revenues	N/A	$3,888.00 		
LOGOS OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$107,220.64 		
LOGOS OPERATING LLC	ONRR - Royalties	Gas	$1,420,886.31 		
LOGOS OPERATING LLC	ONRR - Royalties	Oil	$1,037,706.34 		
LOGOS OPERATING LLC	ONRR/BLM - Bonus	Oil & Gas	$1,838,720.00 		
LOGOS OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$30,197.00 		
LONE MOUNTAIN PRODUCTION CO	BLM - Permit Fees	Oil & Gas	$190.00 		
LONE MOUNTAIN PRODUCTION CO	ONRR - Other Revenues	Oil & Gas	$874.13 		
LONE MOUNTAIN PRODUCTION CO	ONRR - Royalties	Gas	$141,554.30 		
LPC CRUDE OIL INC	ONRR - Other Revenues	Oil & Gas	$249.80 		
LPC CRUDE OIL INC	ONRR - Royalties	Oil	$1,193,163.15 		
LUMINANT MINING CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$1,978,914.24 		
M&G DRILLING CO INC	ONRR - Other Revenues	Oil & Gas	$560.00 		
M&G DRILLING CO INC	ONRR - Royalties	Gas	$444,965.26 		
M&G DRILLING CO INC	ONRR - Royalties	Oil	$883.98 		
MACK ENERGY CORP	BLM - Permit Fees	Oil & Gas	$116,400.00 		
MACK ENERGY CORP	ONRR - Other Revenues	Oil & Gas	$12,868.37 		
MACK ENERGY CORP	ONRR - Royalties	Gas	$642,413.66 		
MACK ENERGY CORP	ONRR - Royalties	Oil	$1,519,039.38 		
MACK ENERGY CORP	ONRR/BLM - Bonus	Oil & Gas	$472,400.00 		
MACK ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$101,081.50 		
MACPHERSON ENERGY CORP	ONRR - Other Revenues	Oil & Gas	$160.00 		
MACPHERSON ENERGY CORP	ONRR - Royalties	Oil	$3,617,365.56 		
MACPHERSON ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$2,469.00 		
MAGNUM PRODUCING LP	BLM - Permit Fees	Oil & Gas	$16,765.00 		
MAGNUM PRODUCING LP	ONRR/BLM - Bonus	Oil & Gas	$560,866.00 		
MAGNUM PRODUCING LP	ONRR/BLM - Rents	Oil & Gas	$166,060.00 		
MAJOR OIL INTERNATIONAL LLC	BLM - Permit Fees	Locatable Minerals	$200,000.00 		
MAJOR OIL INTERNATIONAL LLC	BLM - Permit Fees	Oil & Gas	$28,830.00 		
MAKOIL INC	ONRR - Civil Penalties	N/A	$712.00 		
MAKOIL INC	ONRR - Other Revenues	Oil & Gas	$7,234.04 		
MAKOIL INC	ONRR - Royalties	Oil	$589,972.20 		
MAKOIL INC	ONRR/BLM - Rents	Oil & Gas	$6,405.00 		
MANHATTAN GULTCH LLC	BLM - Permit Fees	Locatable Minerals	$129,735.00 		
MAR OIL & GAS CORP	ONRR - Other Revenues	Oil & Gas	$212.83 		
MAR OIL & GAS CORP	ONRR - Royalties	Gas	$181,128.17 		
MAR OIL & GAS CORP	ONRR - Royalties	Oil	$4,515.80 		
MARALEX RESOURCES INC	BLM - Permit Fees	Oil & Gas	$7,595.00 		
MARALEX RESOURCES INC	ONRR - Other Revenues	Oil & Gas	$81,193.15 		
MARALEX RESOURCES INC	ONRR - Royalties	Gas	$114,348.76 		
MARALEX RESOURCES INC	ONRR - Royalties	Oil	$7,511.95 		
MARALEX RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$18,565.50 		
MARATHON OIL CORP	BLM - Permit Fees	Oil & Gas	$753,795.00 		
MARATHON OIL CORP	ONRR - Other Revenues	N/A	$637.00 		
MARATHON OIL CORP	ONRR - Other Revenues	Oil & Gas	($403,127.62)		
MARATHON OIL CORP	ONRR - Royalties	Gas	$735,756.23 		
MARATHON OIL CORP	ONRR - Royalties	Oil	$8,853,632.95 		
MARATHON OIL CORP	ONRR - Royalties	Other Commodities	$0.20 		
MARATHON OIL CORP	ONRR/BLM - Rents	Oil & Gas	$25,356.50 		
MARIGOLD MINING CO	BLM - Permit Fees	Locatable Minerals	$128,340.00 		
MARTIN MARIETTA MATERIALS	BLM - Permit Fees	Mineral Materials	$1,647,055.42 		
MARUBENI OIL & GAS (USA) INC	ONRR - Inspection Fees	Oil & Gas	$30,500.00 		
MARUBENI OIL & GAS (USA) INC	ONRR - Other Revenues	Oil & Gas	($1,334,833.22)		
MARUBENI OIL & GAS (USA) INC	ONRR - Royalties	Gas	$3,442,508.19 		
MARUBENI OIL & GAS (USA) INC	ONRR - Royalties	Oil	$20,946,848.51 		
MARUBENI OIL & GAS (USA) INC	ONRR/BLM - Rents	Oil & Gas	$1,050.00 		
MASON RESOURCES INC	BLM - Permit Fees	Locatable Minerals	$189,565.00 		
MATADOR RESOURCES CO	BLM - Permit Fees	Oil & Gas	$702,620.00 		
MATADOR RESOURCES CO	ONRR - Other Revenues	Oil & Gas	$1,038,080.28 		
MATADOR RESOURCES CO	ONRR - Royalties	Gas	$536,061.78 		
MATADOR RESOURCES CO	ONRR - Royalties	Oil	$6,900,889.39 		
MATADOR RESOURCES CO	ONRR/BLM - Bonus	Oil & Gas	$38,520,000.00 		
MATADOR RESOURCES CO	ONRR/BLM - Rents	Oil & Gas	$10,606.50 		
MAURICE W BROWN OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	$4,425.00 		
MAURICE W BROWN OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	$13,671.95 		
MAURICE W BROWN OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	$11,988,359.00 		
MAURICE W BROWN OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	$169,184.00 		
MAXUS EXPLORATION CO	ONRR - Other Revenues	Oil & Gas	($110,072.39)		
MAXUS EXPLORATION CO	ONRR - Royalties	Gas	$32,799.69 		
MAXUS EXPLORATION CO	ONRR - Royalties	Oil	$1,629,823.20 		
MBOGO ENERGY LLC	BLM - Permit Fees	Oil & Gas	$13,198.00 		
MBOGO ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	$1,273,713.00 		
MBOGO ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$14,811.00 		
MC OFFSHORE PETROLEUM LLC	ONRR - Inspection Fees	Oil & Gas	$63,000.00 		
MC OFFSHORE PETROLEUM LLC	ONRR - Other Revenues	Oil & Gas	$1,516.86 		
MC OFFSHORE PETROLEUM LLC	ONRR - Royalties	Gas	$52,073.77 		
MC OFFSHORE PETROLEUM LLC	ONRR - Royalties	Oil	$1,808,047.00 		
MC OFFSHORE PETROLEUM LLC	ONRR/BLM - Rents	Oil & Gas	$825.00 		
MCEWAN MINING INC	BLM - Permit Fees	Locatable Minerals	$710,535.00 		
MCL-1 OIL AND GAS WYOMING LLC	ONRR - Other Revenues	Oil & Gas	$2,689.17 		
MCL-1 OIL AND GAS WYOMING LLC	ONRR - Royalties	Gas	$631,815.94 		
MCL-1 OIL AND GAS WYOMING LLC	ONRR - Royalties	Oil	$613,643.68 		
MCL-1 OIL AND GAS WYOMING LLC	ONRR/BLM - Bonus	Oil & Gas	$2,412,970.00 		
MCL-1 OIL AND GAS WYOMING LLC	ONRR/BLM - Rents	Oil & Gas	$3,156.00 		
MCX GULF OF MEXICO LLC	ONRR - Other Revenues	Oil & Gas	$128.82 		
MCX GULF OF MEXICO LLC	ONRR - Royalties	Gas	$106,749.92 		
MCX GULF OF MEXICO LLC	ONRR - Royalties	Oil	$2,905,662.82 		
MEDCO ENERGI US LLC	ONRR - Other Revenues	N/A	$5,772.05 		
MEDCO ENERGI US LLC	ONRR - Other Revenues	Oil & Gas	$12,265.52 		
MEDCO ENERGI US LLC	ONRR - Royalties	Oil	$1,631,513.19 		
MEDCO ENERGI US LLC	ONRR/BLM - Rents	Oil & Gas	$2,955.00 		
MEL CLARK INC	BLM - Permit Fees	Mineral Materials	$667,030.98 		
MEMORIAL PRODUCTION OPERATING LLC	ONRR - Other Revenues	Oil & Gas	($15,530.43)		
MEMORIAL PRODUCTION OPERATING LLC	ONRR - Royalties	Gas	$580,912.18 		
MEMORIAL PRODUCTION OPERATING LLC	ONRR - Royalties	Oil	$4,881,928.18 		
MEMORIAL PRODUCTION OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$23,954.50 		
MERIT ENERGY CO	BLM - Permit Fees	Oil & Gas	$112,270.00 		
MERIT ENERGY CO	ONRR - Inspection Fees	Oil & Gas	$27,500.00 		
MERIT ENERGY CO	ONRR - Other Revenues	N/A	$660.24 		
MERIT ENERGY CO	ONRR - Other Revenues	Oil & Gas	$326,289.48 		
MERIT ENERGY CO	ONRR - Royalties	Gas	$2,410,529.44 		
MERIT ENERGY CO	ONRR - Royalties	Oil	$23,020,875.60 		
MERIT ENERGY CO	ONRR - Royalties	Other Commodities	$8,841.47 		
MERIT ENERGY CO	ONRR/BLM - Rents	Oil & Gas	$77,384.50 		
MERIT MANAGEMENT PARTNERS III, LP	ONRR - Other Revenues	Oil & Gas	$601.00 		
MERIT MANAGEMENT PARTNERS III, LP	ONRR/BLM - Bonus	Oil & Gas	$178,175.00 		
MERIT MANAGEMENT PARTNERS III, LP	ONRR/BLM - Rents	Oil & Gas	$1,389.00 		
MERRION OIL & GAS CORP	BLM - Permit Fees	Oil & Gas	$29,780.00 		
MERRION OIL & GAS CORP	ONRR - Civil Penalties	N/A	$631,950.00 		
MERRION OIL & GAS CORP	ONRR - Other Revenues	Oil & Gas	$36,839.69 		
MERRION OIL & GAS CORP	ONRR - Royalties	Gas	$760,384.34 		
MERRION OIL & GAS CORP	ONRR - Royalties	Oil	$112,777.83 		
MERRION OIL & GAS CORP	ONRR/BLM - Rents	Oil & Gas	$18,304.00 		
MEWBOURNE OIL CO	BLM - Permit Fees	Oil & Gas	$585,290.00 		
MEWBOURNE OIL CO	ONRR - Other Revenues	Oil & Gas	$1,895,379.47 		
MEWBOURNE OIL CO	ONRR - Royalties	Gas	$9,878,397.49 		
MEWBOURNE OIL CO	ONRR - Royalties	Oil	$35,356,860.04 		
