Company	Revenue Type	Commodity	Revenue
BILL BARRETT CORP	BLM - Permit Fees	Oil & Gas	$590
BLACK BEAR OIL CORP	ONRR - Other Revenues	Oil & Gas	$1,777
BLACK BEAR OIL CORP	ONRR - Royalties	Gas	$10,470
BLACK BEAR OIL CORP	ONRR - Royalties	Oil	$397,080
BLACK BEAR OIL CORP	ONRR/BLM - Rents	Oil & Gas	$3,994
BLACK BEAR OIL CORP	BLM - Permit Fees	Oil & Gas	$360
BLACK HILLS CORP	ONRR - Other Revenues	N/A	$436
BLACK HILLS CORP	ONRR - Other Revenues	Oil & Gas	$29,590
BLACK HILLS CORP	ONRR - Royalties	Coal	Withheld
BLACK HILLS CORP	ONRR - Royalties	Gas	$2,144,611
BLACK HILLS CORP	ONRR - Royalties	Oil	$616,617
BLACK HILLS CORP	ONRR/BLM - Rents	Coal	$10,014
BLACK HILLS CORP	ONRR/BLM - Rents	Oil & Gas	$72,334
BLACK HILLS CORP	OSMRE - AML Fees including Audits and Late Charges	Coal	$1,043,559
BLACK HILLS CORP	BLM - Permit Fees	Oil & Gas	$19,090
BLACK MOUNTAIN OIL & GAS	BLM - Permit Fees	Oil & Gas	$270
BLACK MOUNTAIN OIL & GAS	ONRR - Royalties	Gas	$24,891
BLACK MOUNTAIN OIL & GAS	ONRR - Royalties	Oil	$25,710
BLACK MOUNTAIN OIL & GAS	ONRR/BLM - Bonus	Oil & Gas	$192,000
BLACK MOUNTAIN OIL & GAS	ONRR/BLM - Rents	Oil & Gas	$60
BLACKHAWK MINING LLC	OSMRE - AML Fees including Audits and Late Charges	Coal	$2,017,742
BLUE DOLPHIN PRODUCTION LLC	ONRR - Royalties	Gas	$16,452
BLUE DOLPHIN PRODUCTION LLC	ONRR - Royalties	Oil	$117,910
BLUE MOUNTAIN ENERGY INC	ONRR - Royalties	Coal	Withheld
BLUE MOUNTAIN ENERGY INC	ONRR/BLM - Bonus	Coal	$1,278,000
BLUE MOUNTAIN ENERGY INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$144,825
BLUEWATER WIND DELAWARE LLC	ONRR - Other Revenues	Wind	$1
BLUEWATER WIND DELAWARE LLC	ONRR/BLM - Rents	Wind	$289,504
BML INC	ONRR - Royalties	Oil	$1,222,101
BNI COAL LTD	ONRR - Royalties	Coal	Withheld
BNI COAL LTD	ONRR/BLM - Rents	Coal	$4,683
BNI COAL LTD	BLM - Permit Fees	Coal	$60,080
BNI COAL LTD	OSMRE - AML Fees including Audits and Late Charges	Coal	$344,576
BOIS D ARC EXPLORATION LLC	ONRR - Inspection Fees	Oil & Gas	$34,000
BOIS D ARC EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	$557
BOIS D ARC EXPLORATION LLC	ONRR - Royalties	Gas	$27,727
BOIS D ARC EXPLORATION LLC	ONRR - Royalties	Oil	$546,931
BOIS D ARC EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	$52,635
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR - Other Revenues	Oil & Gas	$10,481
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR - Royalties	Gas	$587,437
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR - Royalties	Oil	$1,443,136
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR - Royalties	Other Commodities	$157
BONANZA CREEK ENERGY OPERATING CO LLC	ONRR/BLM - Rents	Oil & Gas	$29,817
BONANZA CREEK ENERGY OPERATING CO LLC	BLM - Permit Fees	Oil & Gas	$95
BOPCO LP	ONRR - Other Revenues	N/A	$2,180
BOPCO LP	ONRR - Other Revenues	Oil & Gas	$275,958
BOPCO LP	ONRR - Royalties	Gas	$6,008,492
BOPCO LP	ONRR - Royalties	Oil	$22,616,136
BOPCO LP	ONRR/BLM - Rents	Oil & Gas	$49,479
BOREALIS MINING CO LLC	BLM - Permit Fees	Locatable Minerals	$116,560
BOULDER SAND AND GRAVEL INC	BLM - Permit Fees	Mineral Materials	$347,242
BOWIE RESOURCES LLC	ONRR - Other Revenues	Coal	$626,250
BOWIE RESOURCES LLC	ONRR - Royalties	Coal	$25,353,402
BOWIE RESOURCES LLC	ONRR/BLM - Bonus	Coal	$2,285,120
BOWIE RESOURCES LLC	ONRR/BLM - Rents	Coal	$144,984
BOWIE RESOURCES LLC	BLM - Permit Fees	Coal	$3,500
