Company Name,Revenue Type,Commodity,Revenue,
CONTINENTAL RESOURCES INC,Rents,Oil & Gas,96130.5,
CONTINENTAL RESOURCES INC,Royalties,Gas,1126773.8,
CONTINENTAL RESOURCES INC,Royalties,Oil,24625874.61,
COUNTRYMARK REFINING AND LOGISTICS LLC,Other Revenues,Oil & Gas,13037.54,
COUNTRYMARK REFINING AND LOGISTICS LLC,Royalties,Oil,349756.78,
CRAWLEY PETROLEUM CORP,Other Revenues,Oil & Gas,2847.16,
CRAWLEY PETROLEUM CORP,Rents,Oil & Gas,1920,
CRAWLEY PETROLEUM CORP,Royalties,Gas,55617.26,
CRAWLEY PETROLEUM CORP,Royalties,Oil,67415.48,
CRESCENT POINT ENERGY CORP,Other Revenues,Oil & Gas,10826.58,
CRESCENT POINT ENERGY CORP,Rents,Oil & Gas,28696,
CRESCENT POINT ENERGY CORP,Royalties,Gas,20063.47,
CRESCENT POINT ENERGY CORP,Royalties,Oil,2434127.33,
CRIMSON RESOURCE MANAGEMENT,Other Revenues,Oil & Gas,239.99,
CRIMSON RESOURCE MANAGEMENT,Rents,Oil & Gas,0,
CRIMSON RESOURCE MANAGEMENT,Royalties,Oil,562935.61,
CROWN ENERGY PARTNERS LLC,Other Revenues,Oil & Gas,5105.2,
CROWN ENERGY PARTNERS LLC,Rents,Oil & Gas,33907,
CROWN ENERGY PARTNERS LLC,Royalties,Gas,1096360.91,
CROWN ENERGY PARTNERS LLC,Royalties,Oil,76785.93,
CROWN OIL PARTNERS,Bonus,Oil & Gas,632800,
CROWN OIL PARTNERS,Other Revenues,Oil & Gas,723,
CROWN OIL PARTNERS,Rents,Oil & Gas,5558,
D. J. SIMMONS INC,Other Revenues,Oil & Gas,-21930.1,
D. J. SIMMONS INC,Rents,Oil & Gas,26073,
D. J. SIMMONS INC,Royalties,Gas,728654.17,
D. J. SIMMONS INC,Royalties,Oil,47837.81,
DARRAH,Bonus,Oil & Gas,89290,
DARRAH,Other Revenues,Oil & Gas,212,
DARRAH,Rents,Oil & Gas,8181.5,
DARRAH,Royalties,Oil,9718.94,
DAVIS PETROLEUM CORP,Other Revenues,Oil & Gas,-2637.59,
DAVIS PETROLEUM CORP,Rents,Oil & Gas,229902,
DAVIS PETROLEUM CORP,Royalties,Gas,159347.97,
DAVIS PETROLEUM CORP,Royalties,Oil,2824694.84,
DCOR LLC,Inspection Fees,Oil & Gas,567000,
DCOR LLC,Other Revenues,N/A,1003.68,
DCOR LLC,Other Revenues,Oil & Gas,-853320.57,
DCOR LLC,Rents,Oil & Gas,615,
DCOR LLC,Royalties,Gas,458483.41,
DCOR LLC,Royalties,Oil,22011918.41,
DECKER OPERATING COMPANY LLC,Other Revenues,N/A,214,
DECKER OPERATING COMPANY LLC,Other Revenues,Oil & Gas,26708.89,
DECKER OPERATING COMPANY LLC,Rents,Oil & Gas,87160,
DECKER OPERATING COMPANY LLC,Royalties,Gas,12222.92,
DEEP GULF ENERGY LP,Other Revenues,Oil & Gas,-11738.95,
DEEP GULF ENERGY LP,Rents,Oil & Gas,251430,
DEEP GULF ENERGY LP,Royalties,Gas,508871.11,
DEEP GULF ENERGY LP,Royalties,Oil,12340398.85,
DEEPWATER WIND NEW ENGLAND LLC,Bonus,Wind,3089461,
DEEPWATER WIND NEW ENGLAND LLC,Rents,Wind,247125,
DEJOUR ENERGY CORP,Other Revenues,Oil & Gas,51519,
DEJOUR ENERGY CORP,Rents,Oil & Gas,34058,
DEJOUR ENERGY CORP,Royalties,Gas,189382.76,
DEJOUR ENERGY CORP,Royalties,Oil,15451.46,
DENBURY ONSHORE LLC,Bonus,Oil & Gas,178500,
DENBURY ONSHORE LLC,Other Revenues,Oil & Gas,277361.02,
DENBURY ONSHORE LLC,Rents,Oil & Gas,73445.5,
DENBURY ONSHORE LLC,Royalties,Gas,1549745.66,
DENBURY ONSHORE LLC,Royalties,Oil,30219217.1,
DEVON ENERGY CORP,Other Revenues,N/A,2568,
DEVON ENERGY CORP,Other Revenues,Oil & Gas,2577842.29,
DEVON ENERGY CORP,Rents,Oil & Gas,370479.05,
DEVON ENERGY CORP,Royalties,Gas,52939100.76,
DEVON ENERGY CORP,Royalties,Oil,69741499.65,
DNR OIL & GAS INC,Other Revenues,Oil & Gas,1283.63,
DNR OIL & GAS INC,Rents,Oil & Gas,80,
DNR OIL & GAS INC,Royalties,Gas,11272.13,
DNR OIL & GAS INC,Royalties,Oil,192993.99,
DOE RUN COMPANY,Other Revenues,Hardrock,16197,
DOE RUN COMPANY,Rents,Hardrock,700,
DOE RUN COMPANY,Royalties,Coal,0,
DOE RUN COMPANY,Royalties,Other Commodities,9356915.72,
"DOHENY, PATRICK A.",Royalties,Gas,500172.14,
DOMINION PRODUCTION COMPANY LLC,Other Revenues,N/A,214,
DOMINION PRODUCTION COMPANY LLC,Royalties,Oil,172269.84,
DOUBLE EAGLE PETROLEUM COMPANY,Other Revenues,Oil & Gas,1039.22,
DOUBLE EAGLE PETROLEUM COMPANY,Rents,Oil & Gas,81070.5,
DOUBLE EAGLE PETROLEUM COMPANY,Royalties,Gas,3823015.14,
DOUBLE EAGLE PETROLEUM COMPANY,Royalties,Oil,1284.87,
DROPTINE ENERGY LLC,Bonus,Oil & Gas,7246387,
DROPTINE ENERGY LLC,Rents,Oil & Gas,128271,
DRUMMOND COMPANY INC,Other Revenues,N/A,214,
DRUMMOND COMPANY INC,Rents,Coal,4830,
DRUMMOND COMPANY INC,Royalties,Coal,667346.92,
DUGAN PRODUCTION CORP,Other Revenues,N/A,642,
DUGAN PRODUCTION CORP,Other Revenues,Oil & Gas,19858.33,
DUGAN PRODUCTION CORP,Rents,Oil & Gas,6564,
DUGAN PRODUCTION CORP,Royalties,Gas,1910551.75,
DUGAN PRODUCTION CORP,Royalties,Oil,650684.12,
E&B NATURAL RESOURCES MANAGEMENT CORP,Other Revenues,Oil & Gas,11834.31,
E&B NATURAL RESOURCES MANAGEMENT CORP,Rents,Oil & Gas,2932.5,
E&B NATURAL RESOURCES MANAGEMENT CORP,Royalties,Gas,214691.34,
E&B NATURAL RESOURCES MANAGEMENT CORP,Royalties,Oil,2466634.15,
EAGLE LAND SERVICES INC,Bonus,Oil & Gas,111386,
EAGLE LAND SERVICES INC,Rents,Oil & Gas,11644.5,
EC OFFSHORE PROPERTIES INC,Inspection Fees,Oil & Gas,48500,
EC OFFSHORE PROPERTIES INC,Other Revenues,N/A,171.71,
EC OFFSHORE PROPERTIES INC,Other Revenues,Oil & Gas,3288.04,
EC OFFSHORE PROPERTIES INC,Royalties,Gas,379901.06,
EC OFFSHORE PROPERTIES INC,Royalties,Oil,71149.15,
ECHO PRODUCTION INC,Other Revenues,Oil & Gas,2032.08,
ECHO PRODUCTION INC,Rents,Oil & Gas,9524,
ECHO PRODUCTION INC,Royalties,Gas,17424.24,
ECHO PRODUCTION INC,Royalties,Oil,77048.74,
ECOPETROL AMERICA INC,Bonus,Oil & Gas,2998702,
ECOPETROL AMERICA INC,Other Revenues,Oil & Gas,1801.44,
ECOPETROL AMERICA INC,Rents,Oil & Gas,1774080,
ECOPETROL AMERICA INC,Royalties,Gas,143873.99,
ECOPETROL AMERICA INC,Royalties,Oil,3510003.51,
EGL RESOURCES INC,Other Revenues,Oil & Gas,0,
EGL RESOURCES INC,Rents,Oil & Gas,150,
EGL RESOURCES INC,Royalties,Gas,103955.64,
EGL RESOURCES INC,Royalties,Oil,12410.9,
EINAR & SONJA PRESTANGEN MINER,Bonus,Oil & Gas,500000,
EINAR & SONJA PRESTANGEN MINER,Rents,Oil & Gas,60,
ELAND ENERGY INC,Other Revenues,Oil & Gas,-5128.02,
ELAND ENERGY INC,Rents,Oil & Gas,3526.5,
ELAND ENERGY INC,Royalties,Gas,53500.59,
ELAND ENERGY INC,Royalties,Oil,658665.58,
ELM RIDGE RESOURCES INC,Other Revenues,Oil & Gas,15920.84,
ELM RIDGE RESOURCES INC,Rents,Oil & Gas,14708,
ELM RIDGE RESOURCES INC,Royalties,Gas,708345.26,
ELM RIDGE RESOURCES INC,Royalties,Oil,1018993.31,
ENCANA CORP,Other Revenues,Oil & Gas,4280943.78,
ENCANA CORP,Rents,Oil & Gas,960140,
ENCANA CORP,Royalties,Gas,126001245.32,
ENCANA CORP,Royalties,Oil,32697352.09,
ENCORE OPERATING LP,Other Revenues,Oil & Gas,248533.98,
ENCORE OPERATING LP,Rents,Oil & Gas,14824,
ENCORE OPERATING LP,Royalties,Gas,73116.37,
ENCORE OPERATING LP,Royalties,Oil,1579981.46,
ENDEAVOR ENERGY RESOURCES LP,Other Revenues,Oil & Gas,12075.93,
ENDEAVOR ENERGY RESOURCES LP,Rents,Oil & Gas,964,
ENDEAVOR ENERGY RESOURCES LP,Royalties,Gas,248317.67,
ENDEAVOR ENERGY RESOURCES LP,Royalties,Oil,458200.77,
ENDURING RESOURCES LLC,Other Revenues,Oil & Gas,7559,
ENDURING RESOURCES LLC,Rents,Oil & Gas,21195,
ENDURING RESOURCES LLC,Royalties,Gas,122123.32,
ENDURING RESOURCES LLC,Royalties,Oil,63951.25,
ENDURO OPERATING LLC,Other Revenues,Oil & Gas,-54806.38,
ENDURO OPERATING LLC,Rents,Oil & Gas,10044,
ENDURO OPERATING LLC,Royalties,Gas,76806.47,
ENDURO OPERATING LLC,Royalties,Oil,3404981.36,
ENEL GREEN POWER NORTH AMERICA INC,Other Revenues,Geothermal,5190,
ENEL GREEN POWER NORTH AMERICA INC,Rents,Geothermal,68185,
ENEL GREEN POWER NORTH AMERICA INC,Royalties,Geothermal,202170.08,
ENERGEN RESOURCES CORP,Bonus,Oil & Gas,5324968,
ENERGEN RESOURCES CORP,Other Revenues,Oil & Gas,55262.89,
ENERGEN RESOURCES CORP,Rents,Oil & Gas,13529,
ENERGEN RESOURCES CORP,Royalties,Gas,17740221.58,
ENERGEN RESOURCES CORP,Royalties,Oil,490440.15,
ENERGY TRANSFER EQUITY,Other Revenues,N/A,856,
ENERGY TRANSFER EQUITY,Other Revenues,Oil & Gas,1594.84,
ENERGY TRANSFER EQUITY,Rents,Oil & Gas,4290,
ENERGY TRANSFER EQUITY,Royalties,Gas,2399.61,
ENERGY TRANSFER EQUITY,Royalties,Oil,5762896.94,
ENERGY WEST CORP,Bonus,Oil & Gas,432810,
ENERGY WEST CORP,Rents,Oil & Gas,129362.5,
ENERGY XXI LLC,Bonus,Oil & Gas,302242,
ENERGY XXI LLC,Inspection Fees,Oil & Gas,684700,
ENERGY XXI LLC,Other Revenues,Oil & Gas,1984809.31,
ENERGY XXI LLC,Rents,Oil & Gas,195740,
ENERGY XXI LLC,Royalties,Gas,19632273.44,
ENERGY XXI LLC,Royalties,Oil,186483937.27,
ENERPLUS RESOURCES CORP,Other Revenues,N/A,1070,
ENERPLUS RESOURCES CORP,Other Revenues,Oil & Gas,-197.74,
ENERPLUS RESOURCES CORP,Rents,Oil & Gas,10063.5,
ENERPLUS RESOURCES CORP,Royalties,Gas,27433.18,
ENERPLUS RESOURCES CORP,Royalties,Oil,193407.29,
ENERQUEST OPERATING LLC,Royalties,Gas,44743.05,
ENERQUEST OPERATING LLC,Royalties,Oil,79492.6,
ENERVEST LTD,Other Revenues,Oil & Gas,42546.28,
ENERVEST LTD,Rents,Oil & Gas,15198.5,
ENERVEST LTD,Royalties,Gas,2241382.52,
ENERVEST LTD,Royalties,Oil,693267.87,
ENI USA INC,Bonus,Oil & Gas,4023000,
ENI USA INC,Inspection Fees,Oil & Gas,1185500,
ENI USA INC,Other Revenues,N/A,6106.99,
ENI USA INC,Other Revenues,Oil & Gas,-809801.86,
ENI USA INC,Rents,Oil & Gas,6765903.46,
ENI USA INC,Royalties,Gas,29986457.42,
ENI USA INC,Royalties,Oil,75762081.62,
ENTEK GRB LLC,Bonus,Oil & Gas,229232,
ENTEK GRB LLC,Other Revenues,Oil & Gas,11845.71,
ENTEK GRB LLC,Rents,Oil & Gas,249411.5,
ENTEK GRB LLC,Royalties,Gas,5690.73,
ENTEK GRB LLC,Royalties,Oil,1458.56,
ENTERPRISE PRODUCTS PARTNERS LP,Inspection Fees,Oil & Gas,131000,
ENTERPRISE PRODUCTS PARTNERS LP,Other Revenues,N/A,428,
ENTERPRISE PRODUCTS PARTNERS LP,Other Revenues,Oil & Gas,28848.86,
ENTERPRISE PRODUCTS PARTNERS LP,Rents,Oil & Gas,52605,
ENTERPRISE PRODUCTS PARTNERS LP,Royalties,Gas,215204.52,
ENTERPRISE PRODUCTS PARTNERS LP,Royalties,Oil,14616495.46,
EOG RESOURCES INC,Inspection Fees,Oil & Gas,10500,
EOG RESOURCES INC,Other Revenues,N/A,1209.31,
EOG RESOURCES INC,Other Revenues,Oil & Gas,796267.88,
EOG RESOURCES INC,Rents,Oil & Gas,500154.5,
EOG RESOURCES INC,Royalties,Gas,28318078.93,
EOG RESOURCES INC,Royalties,Oil,63983885.34,
EOG RESOURCES INC,Royalties,Other Commodities,96917.37,
EP ENERGY E&P COMPANY LP,Civil Penalties,N/A,40000,
EP ENERGY E&P COMPANY LP,Inspection Fees,Oil & Gas,81500,
EP ENERGY E&P COMPANY LP,Other Revenues,N/A,140.68,
EP ENERGY E&P COMPANY LP,Other Revenues,Oil & Gas,-40288.18,
EP ENERGY E&P COMPANY LP,Rents,Oil & Gas,220398,
EP ENERGY E&P COMPANY LP,Royalties,Gas,900399.1,
EP ENERGY E&P COMPANY LP,Royalties,Oil,196991.33,
EPL OIL & GAS INC,Bonus,Oil & Gas,2143100,
EPL OIL & GAS INC,Civil Penalties,N/A,33000,
EPL OIL & GAS INC,Inspection Fees,Oil & Gas,332400,
EPL OIL & GAS INC,Other Revenues,Oil & Gas,1979544.18,
EPL OIL & GAS INC,Rents,Oil & Gas,378688.5,
EPL OIL & GAS INC,Royalties,Gas,10355927.8,
EPL OIL & GAS INC,Royalties,Oil,98259523.37,
EXXON MOBIL CORP,Bonus,Oil & Gas,227070145,
EXXON MOBIL CORP,Inspection Fees,Oil & Gas,850000,
EXXON MOBIL CORP,Other Revenues,N/A,856,
EXXON MOBIL CORP,Other Revenues,Oil & Gas,24421485.25,
EXXON MOBIL CORP,Rents,Oil & Gas,16978503.13,
EXXON MOBIL CORP,Royalties,Gas,98400761.63,
EXXON MOBIL CORP,Royalties,Oil,355196599.27,
EXXON MOBIL CORP,Royalties,Other Commodities,20912447.29,
FAIR OIL LTD,Other Revenues,Oil & Gas,0,
FAIR OIL LTD,Rents,Oil & Gas,320,
FAIR OIL LTD,Royalties,Gas,75344.58,
FAIR OIL LTD,Royalties,Oil,271194.4,
FAIRWAYS OFFSHORE EXPLORATION INC,Inspection Fees,Oil & Gas,85000,
FAIRWAYS OFFSHORE EXPLORATION INC,Other Revenues,N/A,118.7,
FAIRWAYS OFFSHORE EXPLORATION INC,Other Revenues,Oil & Gas,-29205.8,
FAIRWAYS OFFSHORE EXPLORATION INC,Rents,Oil & Gas,60,
FAIRWAYS OFFSHORE EXPLORATION INC,Royalties,Gas,67614.03,
FAIRWAYS OFFSHORE EXPLORATION INC,Royalties,Oil,712151.81,
FARMER MINERALS LLC,Bonus,Oil & Gas,539,
FARMER MINERALS LLC,Rents,Oil & Gas,100634,
FARRELL-COOPER MINING COMPANY,Rents,Coal,16926,
FARRELL-COOPER MINING COMPANY,Royalties,Coal,690605.18,
FASKEN LAND & MINERALS LTD,Other Revenues,Oil & Gas,-3628.05,
FASKEN LAND & MINERALS LTD,Rents,Oil & Gas,348934,
FASKEN LAND & MINERALS LTD,Royalties,Gas,577350.96,
FASKEN LAND & MINERALS LTD,Royalties,Oil,592089.78,
FIELDWOOD ENERGY LLC,Bonus,Oil & Gas,39559425,
FIELDWOOD ENERGY LLC,Civil Penalties,N/A,655000,
FIELDWOOD ENERGY LLC,Inspection Fees,Oil & Gas,7694400,
FIELDWOOD ENERGY LLC,Other Revenues,N/A,1212.97,
FIELDWOOD ENERGY LLC,Other Revenues,Oil & Gas,3102040.29,
FIELDWOOD ENERGY LLC,Rents,Oil & Gas,7983872.57,
FIELDWOOD ENERGY LLC,Royalties,Gas,80949269.54,
FIELDWOOD ENERGY LLC,Royalties,Oil,405249119.21,
FINLEY RESOURCES INC,Bonus,Oil & Gas,14320,
FINLEY RESOURCES INC,Other Revenues,N/A,214,
FINLEY RESOURCES INC,Other Revenues,Oil & Gas,26875.4,
FINLEY RESOURCES INC,Rents,Oil & Gas,52726.5,
FINLEY RESOURCES INC,Royalties,Gas,501500.5,
FINLEY RESOURCES INC,Royalties,Oil,1070844.25,
FMC CORP,Other Revenues,Phosphate,2640,
FMC CORP,Other Revenues,Sodium,74862,
FMC CORP,Rents,Phosphate,0,
FMC CORP,Rents,Sodium,19194,
FMC CORP,Royalties,Other Commodities,13531423.33,
FOCUS EXPLORATION LLC,Other Revenues,N/A,436,
FOCUS EXPLORATION LLC,Other Revenues,Oil & Gas,4408.17,
FOCUS EXPLORATION LLC,Rents,Oil & Gas,148320,
FORELAND REFINING CORP,Royalties,Oil,1362431.6,
FOREST OIL CORPORATION,Bonus,Oil & Gas,6468,
FOREST OIL CORPORATION,Inspection Fees,Oil & Gas,126100,
FOREST OIL CORPORATION,Other Revenues,N/A,453.67,
FOREST OIL CORPORATION,Other Revenues,Oil & Gas,-5146.34,
FOREST OIL CORPORATION,Rents,Oil & Gas,53090,
FOREST OIL CORPORATION,Royalties,Gas,1172626.47,
FOREST OIL CORPORATION,Royalties,Oil,101071.62,
FORESTAR PETROLEUM CORP,Bonus,Oil & Gas,10802900,
FORESTAR PETROLEUM CORP,Other Revenues,N/A,214,
FORESTAR PETROLEUM CORP,Rents,Oil & Gas,2407.5,
FORESTAR PETROLEUM CORP,Royalties,Gas,19238.25,
FORT RANDALL R,Bonus,Oil & Gas,240000,
FORT RANDALL R,Rents,Oil & Gas,960,
FOSSIL CREEK RESOURCES LLC,Bonus,Oil & Gas,146690,
FOSSIL CREEK RESOURCES LLC,Rents,Oil & Gas,49681,
FOSSIL CREEK RESOURCES LLC,Royalties,Oil,336949.47,
FOUNDATION ENERGY MANAGEMENT,Other Revenues,Oil & Gas,60705.67,
FOUNDATION ENERGY MANAGEMENT,Rents,Oil & Gas,67601,
FOUNDATION ENERGY MANAGEMENT,Royalties,Gas,883976.66,
FOUNDATION ENERGY MANAGEMENT,Royalties,Oil,284609.41,
FREEPOINT RESOURCES LLC,Royalties,Gas,1475984.82,
FREEPORT-MCMORAN O&G LLC,Bonus,Oil & Gas,83880250,
FREEPORT-MCMORAN O&G LLC,Civil Penalties,N/A,84750,
FREEPORT-MCMORAN O&G LLC,Inspection Fees,Oil & Gas,2128285.38,
FREEPORT-MCMORAN O&G LLC,Other Revenues,N/A,830.49,
FREEPORT-MCMORAN O&G LLC,Other Revenues,Oil & Gas,-276568.16,
FREEPORT-MCMORAN O&G LLC,Other Revenues,Sulfur,11186,
FREEPORT-MCMORAN O&G LLC,Rents,Oil & Gas,3845068.93,
FREEPORT-MCMORAN O&G LLC,Royalties,Gas,22361179.66,
FREEPORT-MCMORAN O&G LLC,Royalties,Oil,290582348.61,
FREEPORT-MCMORAN O&G LLC,Royalties,Other Commodities,2658.9,
FRONTIER FIELD SERVICES LLC,Other Revenues,Oil & Gas,-0.02,
FRONTIER FIELD SERVICES LLC,Royalties,Gas,3687232.84,
GAS VENTURES LLC,Other Revenues,Oil & Gas,505.68,
GAS VENTURES LLC,Rents,Oil & Gas,12986,
GAS VENTURES LLC,Royalties,Oil,211074.19,
GASCO PRODUCTION COMPANY,Other Revenues,Oil & Gas,-21241.39,
GASCO PRODUCTION COMPANY,Rents,Oil & Gas,46692,
GASCO PRODUCTION COMPANY,Royalties,Gas,1956863.12,
GASCO PRODUCTION COMPANY,Royalties,Oil,493428.51,
GCC ENERGY LLC,Other Revenues,Coal,148.36,
GCC ENERGY LLC,Rents,Coal,4155,
GCC ENERGY LLC,Royalties,Coal,2471095.71,
GENESIS CRUDE OIL LP,Royalties,Oil,462349.69,
GENESIS ST OPERATING LLC,Other Revenues,Oil & Gas,-1561.88,
GENESIS ST OPERATING LLC,Rents,Oil & Gas,92403,
GENESIS ST OPERATING LLC,Royalties,Gas,16822.66,
GENESIS ST OPERATING LLC,Royalties,Oil,27740,
GILES THOMAS,Bonus,Oil & Gas,242900,
GILES THOMAS,Rents,Oil & Gas,2082,
GMT EXPLORATION COMPANY LLC,Bonus,Oil & Gas,256000,
GMT EXPLORATION COMPANY LLC,Other Revenues,Oil & Gas,29172.14,
GMT EXPLORATION COMPANY LLC,Rents,Oil & Gas,57107.5,
GMT EXPLORATION COMPANY LLC,Royalties,Gas,94275.58,
GMT EXPLORATION COMPANY LLC,Royalties,Oil,548.86,
GMX RESOURCES INC,Other Revenues,Oil & Gas,1819.98,
GMX RESOURCES INC,Rents,Oil & Gas,10281.5,
GMX RESOURCES INC,Royalties,Gas,16442.24,
GMX RESOURCES INC,Royalties,Oil,253953.94,
GOMEX ENERGY OFFSHORE LTD,Inspection Fees,Oil & Gas,34491.06,
GOMEX ENERGY OFFSHORE LTD,Other Revenues,N/A,436,
GOMEX ENERGY OFFSHORE LTD,Other Revenues,Oil & Gas,4260.7,
GOMEX ENERGY OFFSHORE LTD,Royalties,Gas,59189.47,
GOMEX ENERGY OFFSHORE LTD,Royalties,Oil,1483043.32,
GONZALES DANIEL E,Bonus,Oil & Gas,14237700,
GONZALES DANIEL E,Rents,Oil & Gas,67241.5,
GRANT CANYON OIL & GAS LLC,Bonus,Oil & Gas,130975,
GRANT CANYON OIL & GAS LLC,Rents,Oil & Gas,13845,
GRANT CANYON OIL & GAS LLC,Royalties,Oil,6957.63,
GREAT WESTERN DRILLING COMPANY,Other Revenues,Oil & Gas,4969.65,
GREAT WESTERN DRILLING COMPANY,Rents,Oil & Gas,220,
GREAT WESTERN DRILLING COMPANY,Royalties,Gas,201435.38,
GREAT WESTERN DRILLING COMPANY,Royalties,Oil,126006.74,
GRIFFIN RESOURCES,Royalties,Gas,171.16,
GRIFFIN RESOURCES,Royalties,Oil,191950.41,
GULFMARK ENERGY INC,Royalties,Oil,247725.3,
GULFSANDS PETROLEUM USA INC,Other Revenues,Oil & Gas,-118131.06,
GULFSANDS PETROLEUM USA INC,Royalties,Gas,263383.94,
GULFSANDS PETROLEUM USA INC,Royalties,Oil,699953.6,
H. L. BROWN OPERATING LLC,Other Revenues,Oil & Gas,-3476.53,
H. L. BROWN OPERATING LLC,Royalties,Gas,315002.7,
HALCON RESOURCES LLC,Other Revenues,Oil & Gas,1087.11,
HALCON RESOURCES LLC,Rents,Oil & Gas,15090,
HALCON RESOURCES LLC,Royalties,Gas,951.02,
HALCON RESOURCES LLC,Royalties,Oil,653259.4,
HALLADOR PETROLEUM COMPANY,Other Revenues,Oil & Gas,-689.62,
HALLADOR PETROLEUM COMPANY,Rents,Oil & Gas,800,
HALLADOR PETROLEUM COMPANY,Royalties,Gas,267742.93,
HALL-HOUSTON EXPLORATION PARTNERS LLC,Bonus,Oil & Gas,225000,
HALL-HOUSTON EXPLORATION PARTNERS LLC,Civil Penalties,N/A,225000,
HALL-HOUSTON EXPLORATION PARTNERS LLC,Inspection Fees,Oil & Gas,159200,
HALL-HOUSTON EXPLORATION PARTNERS LLC,Other Revenues,Oil & Gas,30540.12,
HALL-HOUSTON EXPLORATION PARTNERS LLC,Rents,Oil & Gas,111130,
HALL-HOUSTON EXPLORATION PARTNERS LLC,Royalties,Gas,5537128.05,
HALL-HOUSTON EXPLORATION PARTNERS LLC,Royalties,Oil,5170832.66,
HANNA OIL & GAS CO,Bonus,Oil & Gas,0,
HANNA OIL & GAS CO,Other Revenues,Oil & Gas,653.2,
HANNA OIL & GAS CO,Rents,Oil & Gas,-57,
HANNA OIL & GAS CO,Royalties,Gas,104492.73,
HANNON & ASSOCIATES INC,Bonus,Oil & Gas,1508000,
HANNON & ASSOCIATES INC,Rents,Oil & Gas,1740,
HARRINGTON SW ENERGY LTD,Other Revenues,Oil & Gas,213.66,
HARRINGTON SW ENERGY LTD,Royalties,Gas,160379.18,
HARRINGTON SW ENERGY LTD,Royalties,Oil,7909.23,
HARVARD PETROLEUM COMPANY LLC,Royalties,Gas,81435.9,
HARVARD PETROLEUM COMPANY LLC,Royalties,Oil,440322.13,
HARVEST ENERGY INC,Royalties,Gas,2.97,
HARVEST ENERGY INC,Royalties,Oil,444076.86,
HARVEY E. YATES COMPANY,Other Revenues,Oil & Gas,15807,
HARVEY E. YATES COMPANY,Rents,Oil & Gas,5987,
HARVEY E. YATES COMPANY,Royalties,Gas,588523.37,
HARVEY MINERAL PARTNERS LP,Bonus,Oil & Gas,134574,
HARVEY MINERAL PARTNERS LP,Other Revenues,Oil & Gas,206.16,
HARVEY MINERAL PARTNERS LP,Rents,Oil & Gas,264296.5,
HATHAWAY LLC,Royalties,Oil,167661.76,
HBIC,Other Revenues,Oil & Gas,14663.24,
HBIC,Royalties,Gas,118255.07,
HBIC,Royalties,Oil,2010327,
HEADINGTON OIL COMPANY LLC,Other Revenues,Oil & Gas,599.21,
HEADINGTON OIL COMPANY LLC,Rents,Oil & Gas,25.5,
HEADINGTON OIL COMPANY LLC,Royalties,Gas,56540.71,
HEADINGTON OIL COMPANY LLC,Royalties,Oil,870038.95,
HELIS OIL & GAS LLC,Other Revenues,Oil & Gas,-300173.46,
HELIS OIL & GAS LLC,Rents,Oil & Gas,55107,
HELIS OIL & GAS LLC,Royalties,Gas,6525503.9,
HELIS OIL & GAS LLC,Royalties,Oil,9919863.68,
HEP OIL COMPANY LTD,Other Revenues,Oil & Gas,419.26,
HEP OIL COMPANY LTD,Rents,Oil & Gas,488,
HEP OIL COMPANY LTD,Royalties,Gas,152116.96,
HEP OIL COMPANY LTD,Royalties,Oil,24422.62,
HESS CORP,Bonus,Oil & Gas,4000000,
HESS CORP,Inspection Fees,Oil & Gas,885500,
HESS CORP,Other Revenues,N/A,1380.68,
HESS CORP,Other Revenues,Oil & Gas,1009008.7,
HESS CORP,Rents,Oil & Gas,7173913.5,
HESS CORP,Royalties,Gas,21102878.18,
HESS CORP,Royalties,Oil,171750070.92,
HESS CORP,Royalties,Other Commodities,1080122.28,
HIGH PLAINS OPERATING COMPANY LLC,Other Revenues,Oil & Gas,1243.52,
HIGH PLAINS OPERATING COMPANY LLC,Royalties,Oil,191848.28,
HILCORP ENERGY COMPANY,Civil Penalties,N/A,260000,
HILCORP ENERGY COMPANY,Inspection Fees,Oil & Gas,337900,
HILCORP ENERGY COMPANY,Other Revenues,N/A,146.77,
HILCORP ENERGY COMPANY,Other Revenues,Oil & Gas,517618.86,
HILCORP ENERGY COMPANY,Rents,Oil & Gas,49110.44,
HILCORP ENERGY COMPANY,Royalties,Gas,4461389.77,
HILCORP ENERGY COMPANY,Royalties,Oil,9166322.19,
HOACTZIN PARTNERS LP,Bonus,Oil & Gas,125000,
HOACTZIN PARTNERS LP,Rents,Oil & Gas,35000,
HOGBACK EXPLORATION INC,Bonus,Oil & Gas,0,
HOGBACK EXPLORATION INC,Other Revenues,Oil & Gas,-523.38,
HOGBACK EXPLORATION INC,Rents,Oil & Gas,0,
HOGBACK EXPLORATION INC,Royalties,Gas,171424.22,
HOLLYFRONTIER CORP,Other Revenues,Oil & Gas,1302.3,
HOLLYFRONTIER CORP,Royalties,Oil,42436011.61,
HOLMES WESTERN OIL CORP,Rents,Oil & Gas,1540,
HOLMES WESTERN OIL CORP,Royalties,Gas,46944.71,
HOLMES WESTERN OIL CORP,Royalties,Oil,3212406.33,
HOOVER & STACY INC,Bonus,Oil & Gas,10401057,
HOOVER & STACY INC,Rents,Oil & Gas,10555.5,
HOUSTON ENERGY DEEPWATER VENTURES I LLC,Other Revenues,Oil & Gas,-201.04,
HOUSTON ENERGY DEEPWATER VENTURES I LLC,Royalties,Oil,13658457.45,
