YEAR	STATE	COUNTY	BATTLEFIELD	ACRES	 AMOUNT
2015	PA	Adams	Gettysburg	4.14	 $1,500,000.00
2015	VA	Frederick and Winchester	Kernstown I	35.95	 $227,154.50
2015	VA	Prince William	Manassas II	2.58	 $230,249.00
2015	KY	Pulaski	Mill Springs	15.96	 $85,919.00
2015	VA	Caroline	North Anna	6.36	 $37,295.05
2015	KY	Boyle	Perryville	1.55	 $77,510.00
2015	VA	Culpeper	Rappahannock Station II	1.76	 $118,897.50
2015	KY	Madison	Richmond	2.95	 $35,340.00
2015	WV	Jefferson	Shepherdstown	2.54	 $101,364.44
2015	VA	Louisa	Trevilian Station	70	 $251,410.75
