Year	State	County	FIPS	Commodity	Product	Volume
2013	CO	Moffat County	08081		Oil (bbl)	252585.89
2006	CO	Garfield County	08045		Coal (tons)	262976
2012	CO	Moffat County	08081		Oil (bbl)	266232.07
2013	CO	Jackson County	08057		Gas (mcf)	277576.62
2009	CO	Jackson County	08057		Gas (mcf)	281032.7
2005	CO	Garfield County	08045		Oil (bbl)	300192.33
2010	CO	San Miguel County	08113		Gas (mcf)	310540
2014	CO	Gunnison County	08051		Gas (mcf)	316740
2005	CO	Moffat County	08081		Gas (mcf)	322416
2006	CO	Garfield County	08045		Oil (bbl)	349452.42
2007	CO	Garfield County	08045		Oil (bbl)	360683.02
2009	CO	Gunnison County	08051		Gas (mcf)	381287
2012	CO	Weld County	08123		Oil (bbl)	385595.46
2008	CO	Gunnison County	08051		Gas (mcf)	390307.94
2011	CO	Jackson County	08057		Gas (mcf)	407863.12
2008	CO	Gunnison County	08051		Gas (mcf)	431682
2008	CO	Garfield County	08045		Oil (bbl)	445429.68
2011	CO	Gunnison County	08051		Gas (mcf)	462253
2010	CO	Garfield County	08045		Oil (bbl)	466859.88
2014	CO	San Miguel County	08113		Gas (mcf)	480821
2009	CO	Garfield County	08045		Oil (bbl)	481000.16
2013	CO	Garfield County	08045		Oil (bbl)	481264.88
2014	CO	Garfield County	08045		Oil (bbl)	511471.52
2009	CO	San Miguel County	08113		Gas (mcf)	512120
2009	CO	Gunnison County	08051		Gas (mcf)	513915.17
2010	CO	Gunnison County	08051		Gas (mcf)	553045
2012	CO	Jackson County	08057		Gas (mcf)	596606.02
2012	CO	Garfield County	08045		Oil (bbl)	625867.45
2013	CO	Weld County	08123		Oil (bbl)	626074.72
2011	CO	Mesa County	08077		Gas (mcf)	626784.54
2011	CO	Garfield County	08045		Oil (bbl)	643848.8
2010	CO	Jackson County	08057		Gas (mcf)	670074.29
2013	CO	San Miguel County	08113		Gas (mcf)	674414
2006	CO	Jackson County	08057		Gas (mcf)	676149.67
2007	CO	Garfield County	08045		Gas (mcf)	695910.84
2006	CO	Garfield County	08045		Gas (mcf)	697270
2005	CO	Garfield County	08045		Gas (mcf)	751219
2011	CO	Gunnison County	08051		Gas (mcf)	791059.24
2005	CO	Yuma County	08125		Gas (mcf)	801309.37
2007	CO	Jackson County	08057		Gas (mcf)	806182.64
2005	CO	Jackson County	08057		Gas (mcf)	820479.66
2008	CO	Jackson County	08057		Gas (mcf)	821960.77
2008	CO	San Miguel County	08113		Gas (mcf)	843487
2010	CO	Gunnison County	08051		Gas (mcf)	869256.77
2006	CO	Yuma County	08125		Gas (mcf)	937507.02
2014	CO	Yuma County	08125		Gas (mcf)	971973
2013	CO	Yuma County	08125		Gas (mcf)	1058515.43
2012	CO	Yuma County	08125		Gas (mcf)	1231429.43
2013	CO	Gunnison County	08051		Gas (mcf)	1289891.57
2012	CO	Gunnison County	08051		Gas (mcf)	1306737
2007	CO	San Miguel County	08113		Gas (mcf)	1327303
2011	CO	Yuma County	08125		Gas (mcf)	1369732.6
2014	CO	Weld County	08123		Oil (bbl)	1375280.37
2007	CO	Yuma County	08125		Gas (mcf)	1416011.17
2007	CO	Rio Blanco County	08103		Coal (tons)	1460127
2010	CO	Yuma County	08125		Gas (mcf)	1479056.83
2009	CO	Yuma County	08125		Gas (mcf)	1537712.77
2014	CO	Archuleta County	08007		Gas (mcf)	1607571.26
2012	CO	Mesa County	08077		Gas (mcf)	1658591.43
2006	CO	San Miguel County	08113		Gas (mcf)	1709593
2007	CO	Weld County	08123		Gas (mcf)	1716639.46
2008	CO	Garfield County	08045		Gas (mcf)	1793489.52
2013	CO	Archuleta County	08007		Gas (mcf)	1794097.64
2008	CO	Yuma County	08125		Gas (mcf)	1813489.9
2005	CO	Rio Blanco County	08103		Gas (mcf)	1861988.5
2012	CO	Archuleta County	08007		Gas (mcf)	1870823.27
2012	CO	Weld County	08123		Gas (mcf)	1969727.72
2009	CO	Weld County	08123		Gas (mcf)	2014337.45
2006	CO	Weld County	08123		Gas (mcf)	2015951.07
2011	CO	Weld County	08123		Gas (mcf)	2071560.43
2008	CO	Weld County	08123		Gas (mcf)	2140198.07
2010	CO	Weld County	08123		Gas (mcf)	2164777.71
2011	CO	Archuleta County	08007		Gas (mcf)	2204138.95
2013	CO	Weld County	08123		Gas (mcf)	2268221.35
2005	CO	Weld County	08123		Gas (mcf)	2326339.75
2014	CO	Moffat County	08081		Coal (tons)	2399673.95
2011	CO	Garfield County	08045		Gas (mcf)	2401230.53
2013	CO	Rio Blanco County	08103		Oil (bbl)	2414439.64
2014	CO	Gunnison County	08051		Gas (mcf)	2431958.67
2014	CO	Rio Blanco County	08103		Oil (bbl)	2504563.41
2010	CO	Rio Blanco County	08103		Oil (bbl)	2536813.35
2012	CO	Rio Blanco County	08103		Oil (bbl)	2560864.37
2011	CO	Rio Blanco County	08103		Oil (bbl)	2606227.38
2010	CO	Archuleta County	08007		Gas (mcf)	2617033.1
2009	CO	Rio Blanco County	08103		Oil (bbl)	2659873.71
2008	CO	Archuleta County	08007		Gas (mcf)	2681825.85
2012	CO	Rio Blanco County	08103		Coal (tons)	2743564
2007	CO	Archuleta County	08007		Gas (mcf)	2792273.71
2006	CO	Archuleta County	08007		Gas (mcf)	2843776
2005	CO	San Miguel County	08113		Gas (mcf)	2872395
2009	CO	Archuleta County	08007		Gas (mcf)	2887849.72
