Company	Revenue Type	Commodity	Revenue	
MC OFFSHORE PETROLEUM LLC	ONRR - Civil Penalties	N/A	65250	
MC OFFSHORE PETROLEUM LLC	ONRR - Inspection Fees	Oil & Gas	63000	
MC OFFSHORE PETROLEUM LLC	ONRR - Royalties	Gas	47696.14	
MC OFFSHORE PETROLEUM LLC	ONRR - Royalties	Oil	2939220.17	
MCELVAIN ENERGY INC	ONRR - Other Revenues	Oil & Gas	11932.36	
MCELVAIN ENERGY INC	ONRR - Royalties	Gas	659732.33	
MCELVAIN ENERGY INC	ONRR - Royalties	Oil	1679.55	
MCEWAN MINING INC	BLM - Permit Fees	Locatable Minerals	761950.01	
MCMURRY READY MIX	BLM - Permit Fees	Mineral Materials	240785.69	
MDU RESOURCES GROUP INC	ONRR - Other Revenues	Oil & Gas	297570.55	
MDU RESOURCES GROUP INC	ONRR - Royalties	Gas	2406.64	
MDU RESOURCES GROUP INC	ONRR/BLM - Rents	Oil & Gas	-350	
MEL CLARK INC	BLM - Permit Fees	Mineral Materials	662706.66	
MEMORIAL RESOURCE DEVELOPMENT GROUP	ONRR - Inspection Fees	Oil & Gas	90200	
MEMORIAL RESOURCE DEVELOPMENT GROUP	ONRR - Other Revenues	Oil & Gas	1681.79	
MEMORIAL RESOURCE DEVELOPMENT GROUP	ONRR - Royalties	Oil	18394480.21	
MERIT ENERGY CO	BLM - Permit Fees	Oil & Gas	22075	
MERIT ENERGY CO	ONRR - Other Revenues	Oil & Gas	744337.53	
MERIT ENERGY CO	ONRR - Royalties	Gas	2859039.94	
MERIT ENERGY CO	ONRR - Royalties	Oil	29188542.82	
MERIT ENERGY CO	ONRR - Royalties	Other Commodities	20532.38	
MERIT ENERGY CO	ONRR/BLM - Rents	Oil & Gas	61891.5	
MERRION OIL & GAS CORP	ONRR - Other Revenues	Oil & Gas	-16864.18	
MERRION OIL & GAS CORP	ONRR - Royalties	Gas	459117.16	
MERRION OIL & GAS CORP	ONRR - Royalties	Oil	129536.73	
MERRION OIL & GAS CORP	ONRR/BLM - Rents	Oil & Gas	7458	
METTIKI COAL (WV) LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	283469.14	
MEWBOURNE OIL CO	BLM - Permit Fees	Oil & Gas	1114360	
MEWBOURNE OIL CO	ONRR - Other Revenues	Oil & Gas	1976905.2	
MEWBOURNE OIL CO	ONRR - Royalties	Gas	13809342.52	
MEWBOURNE OIL CO	ONRR - Royalties	Oil	56938522.03	
MEWBOURNE OIL CO	ONRR/BLM - Rents	Oil & Gas	6667	
M-I LLC	BLM - Permit Fees	Locatable Minerals	111290	
MID VOL COAL SALES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	425684.15	
MID-CON ENERGY III LLC	ONRR - Civil Penalties	N/A	9868	
MID-CON ENERGY III LLC	ONRR - Other Revenues	Oil & Gas	9601.15	
MID-CON ENERGY III LLC	ONRR - Royalties	Gas	42937.81	
MID-CON ENERGY III LLC	ONRR - Royalties	Oil	587835.15	
MID-CON ENERGY III LLC	ONRR/BLM - Rents	Oil & Gas	2943	
MIDLAND TRAIL RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	106732.05	
MINERAL EXPLORATION LOCATION SERVICES LLC	BLM - Permit Fees	Locatable Minerals	145962	
MINERAL RIDGE GOLD LLC	BLM - Permit Fees	Locatable Minerals	105090	
MINGO LOGAN COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	185065.55	
MISSISSIPPI LIGNITE MINING CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	218431.12	
MITSU & CO LTD	ONRR - Other Revenues	Oil & Gas	2403496.51	
MITSU & CO LTD	ONRR - Royalties	Gas	746636.34	
MITSU & CO LTD	ONRR - Royalties	Oil	7177526.27	
MITSUBISHI CORP	ONRR - Other Revenues	Oil & Gas	415.4	
MITSUBISHI CORP	ONRR - Royalties	Gas	31456.44	
MITSUBISHI CORP	ONRR - Royalties	Oil	588256.41	
MMX8, INC.	BLM - Permit Fees	Locatable Minerals	111098	
MONARCH MOUNTAIN MINERALS & AGGREGATES	BLM - Permit Fees	Mineral Materials	100457.43	
MONCRIEF OIL	ONRR - Other Revenues	Oil & Gas	1394.67	
MONCRIEF OIL	ONRR - Royalties	Gas	355260.48	
MONCRIEF OIL	ONRR - Royalties	Oil	3505.47	
MONCRIEF OIL	ONRR/BLM - Rents	Oil & Gas	74038.5	
MONTANORE MINERALS CORP	BLM - Permit Fees	Locatable Minerals	138105	
MOTHER EARTH INDUSTRIES	ONRR - Royalties	Geothermal	274541.51	
MUNICIPAL LIGHT & POWER	ONRR - Royalties	Gas	2426566.29	
MURCHISON OIL & GAS INC	BLM - Permit Fees	Oil & Gas	70900	
MURCHISON OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	12745.6	
MURCHISON OIL & GAS INC	ONRR - Royalties	Gas	249715.54	
MURCHISON OIL & GAS INC	ONRR - Royalties	Oil	202198.24	
MURCHISON OIL & GAS INC	ONRR/BLM - Bonus	Oil & Gas	2280080	
MURCHISON OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	1720	
MURFIN INC	ONRR/BLM - Rents	Oil & Gas	112619	
MURPHY OIL USA INC	ONRR - Inspection Fees	Oil & Gas	429000	
MURPHY OIL USA INC	ONRR - Other Revenues	N/A	6058.64	
MURPHY OIL USA INC	ONRR - Other Revenues	Oil & Gas	340122.63	
MURPHY OIL USA INC	ONRR - Royalties	Gas	-3005692.67	
MURPHY OIL USA INC	ONRR - Royalties	Oil	29883249.31	
MURPHY OIL USA INC	ONRR/BLM - Bonus	Oil & Gas	1514213	
MURPHY OIL USA INC	ONRR/BLM - Rents	Oil & Gas	2732053	
MURRAY AMERICAN ENERGY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	4162179.15	
MURRAY ENERGY CORP	ONRR - Royalties	Coal	5689848.17	
MURRAY ENERGY CORP	ONRR/BLM - Rents	Coal	19410	
MURRAY ENERGY CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	3427346.02	
MUSTANG ENERGY RESOURCES LLC	BLM - Permit Fees	Oil & Gas	29815	
MUSTANG ENERGY RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	77287.34	
MUSTANG ENERGY RESOURCES LLC	ONRR - Royalties	Gas	308148.33	
MUSTANG ENERGY RESOURCES LLC	ONRR - Royalties	Oil	57311.76	
MUSTANG ENERGY RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	673920	
MUSTANG ENERGY RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	4084	
MXS INC	BLM - Permit Fees	Locatable Minerals	101945	
NACCO INDUSTRIES INC	ONRR - Royalties	Coal	1052999.45	
NACCO INDUSTRIES INC	ONRR/BLM - Rents	Coal	18948	
NALLY & HAMILTON ENTERPRISES I	OSMRE - AML Fees including Audits and Late Charges 	Coal	274956.16	
NATIONAL CHLORIDE CO	BLM - Permit Fees	Locatable Minerals	180110	
NATIONAL FUEL CORP	ONRR - Other Revenues	Oil & Gas	8239.08	
NATIONAL FUEL CORP	ONRR - Royalties	Gas	149066.83	
NATIONAL FUEL CORP	ONRR - Royalties	Oil	1355.07	
NATIONAL FUEL CORP	ONRR/BLM - Rents	Oil & Gas	2228.5	
NATIONAL FUEL GAS CO	BLM - Permit Fees	Oil & Gas	156865	
NATIONAL FUEL GAS CO	ONRR - Other Revenues	Oil & Gas	-125518.76	
NATIONAL FUEL GAS CO	ONRR - Royalties	Gas	122323.84	
NATIONAL FUEL GAS CO	ONRR - Royalties	Oil	1139951.33	
NATIONAL GOLD MINING CORP	BLM - Permit Fees	Locatable Minerals	106499	
NATURAL GAS PROCESSING CO	ONRR - Other Revenues	Oil & Gas	2170	
NATURAL GAS PROCESSING CO	ONRR - Royalties	Gas	38789.72	
NATURAL GAS PROCESSING CO	ONRR - Royalties	Oil	116453.49	
NATURAL GAS PROCESSING CO	ONRR/BLM - Rents	Oil & Gas	8052	
NAVIGATION POWDER RIVER LLC	BLM - Permit Fees	Oil & Gas	131020	
NAVIGATION POWDER RIVER LLC	ONRR/BLM - Rents	Oil & Gas	21502.5	
NERD GAS CO LLC	ONRR/BLM - Bonus	Oil & Gas	98840	
NERD GAS CO LLC	ONRR/BLM - Rents	Oil & Gas	17038	
NEVADA ROYALTY CORP	BLM - Permit Fees	Locatable Minerals	172510	
NEVADA SELECT ROYALTY INC	BLM - Permit Fees	Locatable Minerals	119098	
NEW CENTURY PRODUCTION CO LLC	ONRR/BLM - Bonus	Oil & Gas	326814	
NEW CENTURY PRODUCTION CO LLC	ONRR/BLM - Rents	Oil & Gas	75978	
NEW JERSEY MINING COMPANY	BLM - Permit Fees	Locatable Minerals	108171	
NEW MEXICO SALT & MINERALS INC	ONRR - Royalties	Other Commodities	203466.77	
NEWMONT MINING CORP	BLM - Permit Fees	Locatable Minerals	2536498.91	
NINE POINT ENERGY LLC	ONRR - Other Revenues	N/A	972	
NINE POINT ENERGY LLC	ONRR - Other Revenues	Oil & Gas	289.43	
NINE POINT ENERGY LLC	ONRR - Royalties	Gas	10427.41	
NINE POINT ENERGY LLC	ONRR - Royalties	Oil	168803.2	
NINE POINT ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	1040	
NIRMA	ONRR - Royalties	Other Commodities	9691375.23	
NOBLE ENERGY INC	BLM - Permit Fees	Oil & Gas	257920	
NOBLE ENERGY INC	ONRR - Inspection Fees	Oil & Gas	48500	
NOBLE ENERGY INC	ONRR - Other Revenues	N/A	872	
NOBLE ENERGY INC	ONRR - Other Revenues	Oil & Gas	-2887304.57	
NOBLE ENERGY INC	ONRR - Royalties	Gas	2993874.61	
NOBLE ENERGY INC	ONRR - Royalties	Oil	103500007.05	
NOBLE ENERGY INC	ONRR/BLM - Rents	Oil & Gas	1943014.5	
NORTH AMERICAN COBALT	BLM - Permit Fees	Locatable Minerals	281584	
NORTH AMERICAN EXPLORATION	BLM - Permit Fees	Locatable Minerals	123274	
NORTH AMERICAN HELIUM	BLM - Permit Fees	Oil & Gas	3840	
NORTH AMERICAN HELIUM	ONRR/BLM - Bonus	Oil & Gas	2841190	
NORTH AMERICAN HELIUM	ONRR/BLM - Rents	Oil & Gas	74559	
NORTH FINN LLC	ONRR - Other Revenues	Oil & Gas	-6515.28	
NORTH FINN LLC	ONRR - Royalties	Gas	9031.63	
NORTH FINN LLC	ONRR - Royalties	Oil	128901.25	
NORTHERN CA POWER AGENCY	ONRR - Royalties	Geothermal	1258336	
NORTHWESTERN ENERGY	ONRR - Other Revenues	Oil & Gas	111552	
NORTHWESTERN ENERGY	ONRR - Royalties	Gas	126393.42	
NORTHWESTERN ENERGY	ONRR/BLM - Rents	Oil & Gas	5178.5	
NORTHWOODS ENERGY LLC	ONRR - Royalties	Gas	457290.64	
NORTHWOODS ENERGY LLC	ONRR - Royalties	Oil	3901604.7	
NORTHWOODS ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	679746	
NORTHWOODS ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	123848.5	
NORTHWOODS OPERATING LLC	BLM - Permit Fees	Oil & Gas	127270	
NOVO OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	58890240	
NOVO OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	1920	
NP RESOURCES LLC	BLM - Permit Fees	Oil & Gas	42885	
NP RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	2854.2	
NP RESOURCES LLC	ONRR - Royalties	Gas	226405.9	
NP RESOURCES LLC	ONRR - Royalties	Oil	2188859.6	
NP RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	7993.5	
NUCOR ENERGY HOLDINGS INC	ONRR - Other Revenues	Oil & Gas	-47707.06	
NUCOR ENERGY HOLDINGS INC	ONRR - Royalties	Gas	1469824.18	
NUCOR ENERGY HOLDINGS INC	ONRR - Royalties	Oil	5324.24	
NUCOR ENERGY HOLDINGS INC	ONRR/BLM - Rents	Oil & Gas	10512.5	
NULEGACY GOLD CORP	BLM - Permit Fees	Locatable Minerals	233783	
NUTRIEN	ONRR - Other Revenues	Phosphate	53344.55	
NUTRIEN	ONRR - Royalties	Other Commodities	1551417.06	
NUTRIEN	ONRR/BLM - Rents	Phosphate	3243	
NV GOLD CORPORATION (USA)	BLM - Permit Fees	Locatable Minerals	116737	
OAK RIDGE NATURAL RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	255858.43	
OAK RIDGE NATURAL RESOURCES LLC	ONRR - Royalties	Gas	26625457.95	
OAK RIDGE NATURAL RESOURCES LLC	ONRR - Royalties	Oil	8370863.23	
OAK RIDGE NATURAL RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	8597.5	
OASIS PETROLEUM NORTH AMERICA LLC	BLM - Permit Fees	Oil & Gas	166950	
OASIS PETROLEUM NORTH AMERICA LLC	ONRR - Other Revenues	Oil & Gas	56525.39	
OASIS PETROLEUM NORTH AMERICA LLC	ONRR - Royalties	Gas	427735.89	
OASIS PETROLEUM NORTH AMERICA LLC	ONRR - Royalties	Oil	3831475	
OASIS PETROLEUM NORTH AMERICA LLC	ONRR/BLM - Rents	Oil & Gas	18648	
OCCIDENTAL PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	1846715	
OCCIDENTAL PETROLEUM CORP	ONRR - Other Revenues	N/A	-419.35	
OCCIDENTAL PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	659180.63	
OCCIDENTAL PETROLEUM CORP	ONRR - Royalties	Gas	25096628.77	
OCCIDENTAL PETROLEUM CORP	ONRR - Royalties	Oil	118753209.02	
OCCIDENTAL PETROLEUM CORP	ONRR - Royalties	Other Commodities	1470289.69	
OCCIDENTAL PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	44192	
OCCIDENTAL PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	15484.39	
OCCIDENTAL PETROLEUM CORP	ONRR - Royalties	Gas	6192280.51	
OCCIDENTAL PETROLEUM CORP	ONRR - Royalties	Oil	11720789.06	
OCCIDENTAL PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	102610	
OMEGA SURFACE MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	109519.45	
OMIMEX RESOURCES INC	ONRR - Other Revenues	N/A	436	
OMIMEX RESOURCES INC	ONRR - Other Revenues	Oil & Gas	74085.85	
OMIMEX RESOURCES INC	ONRR - Royalties	Gas	337095.91	
OMIMEX RESOURCES INC	ONRR - Royalties	Oil	65234.08	
OMIMEX RESOURCES INC	ONRR - Royalties	Other Commodities	10947.16	
OMIMEX RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	4078.5	
ORINOCO NATURAL RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	218292.91	
ORINOCO NATURAL RESOURCES LLC	ONRR - Royalties	Gas	2008850.76	
ORINOCO NATURAL RESOURCES LLC	ONRR - Royalties	Oil	3571845.47	
ORINOCO NATURAL RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	8076	
ORMAT NEVADA INC	BLM - Permit Fees	Geothermal   	3875.08	
ORMAT NEVADA INC	BLM - Permit Fees	Locatable Minerals	1815	
ORMAT NEVADA INC	ONRR - Other Revenues	Geothermal	45720.71	
ORMAT NEVADA INC	ONRR - Other Revenues	N/A	2857.8	
ORMAT NEVADA INC	ONRR - Royalties	Geothermal	2282369.22	
ORMAT NEVADA INC	ONRR/BLM - Rents	Geothermal	733066	
ORMAT NEVADA INC	ONRR/BLM - Rents	Oil & Gas	-10209.86	
ORSTEAD A/S	ONRR/BLM - Rents	Wind	494250	
ORSTED	ONRR/BLM - Rents	Wind	481440	
OTTO ENERGY LTD	ONRR - Other Revenues	Oil & Gas	414.29	
OTTO ENERGY LTD	ONRR - Royalties	Gas	249976.84	
OTTO ENERGY LTD	ONRR - Royalties	Oil	4708524.24	
OXBOW ENERGY CORP	ONRR - Other Revenues	Oil & Gas	76109.46	
OXBOW ENERGY CORP	ONRR - Royalties	Gas	352893.44	
OXBOW ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	89742.65	
OXFORD MINING CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	548076.9	
PACER ENERGY ACQUISITIONS LLC	BLM - Permit Fees	Oil & Gas	160	
PACER ENERGY ACQUISITIONS LLC	ONRR - Royalties	Gas	608.16	
PACER ENERGY ACQUISITIONS LLC	ONRR/BLM - Bonus	Oil & Gas	1135799	
PACER ENERGY ACQUISITIONS LLC	ONRR/BLM - Rents	Oil & Gas	11112	
PALM ENERGY PARTNERS LLC	ONRR - Civil Penalties	N/A	27250	
PALM ENERGY PARTNERS LLC	ONRR - Inspection Fees	Oil & Gas	1151400	
PALM ENERGY PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	957111.12	
PALM ENERGY PARTNERS LLC	ONRR - Royalties	Gas	9466867.79	
PALM ENERGY PARTNERS LLC	ONRR - Royalties	Oil	103704009.21	
PALM ENERGY PARTNERS LLC	ONRR/BLM - Bonus	Oil & Gas	6822153	
PALM ENERGY PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	1280667	
PALMER PETROLEUM INC	ONRR - Other Revenues	Oil & Gas	250.34	
PALMER PETROLEUM INC	ONRR - Royalties	Oil	101171.61	
PANTHER CREEK MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	666074.49	
PAR FIVE EXPLORATION LLC	BLM - Permit Fees	Oil & Gas	960	
PAR FIVE EXPLORATION LLC	ONRR/BLM - Bonus	Oil & Gas	139002	
PAR FIVE EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	7551	
PARADIGM MINERALS USA CORP	BLM - Permit Fees	Locatable Minerals	214155	
PARAMONT CONTURA LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	489612.24	
PDC ENERGY	ONRR - Other Revenues	Oil & Gas	19672.28	
PDC ENERGY	ONRR - Royalties	Gas	492722.75	
PDC ENERGY	ONRR - Royalties	Oil	514526.02	
PEABODY ENERGY CORP	ONRR - Other Revenues	Oil & Gas	318.22	
PEABODY ENERGY CORP	ONRR - Royalties	Coal	165767764.26	
PEABODY ENERGY CORP	ONRR - Royalties	Gas	1588.43	
PEABODY ENERGY CORP	ONRR - Royalties	Oil	18591.41	
PEABODY ENERGY CORP	ONRR/BLM - Bonus	Coal	479716	
PEABODY ENERGY CORP	ONRR/BLM - Rents	Coal	150471	
PEABODY ENERGY CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	39435883.14	
PEAK EXPLORATION & PRODUCTION LLC	ONRR - Other Revenues	Oil & Gas	34954.48	
PEAK EXPLORATION & PRODUCTION LLC	ONRR - Royalties	Gas	689790.54	
PEAK EXPLORATION & PRODUCTION LLC	ONRR - Royalties	Oil	4780334.79	
PEAK EXPLORATION & PRODUCTION LLC	ONRR/BLM - Bonus	Oil & Gas	360040	
PEAK EXPLORATION & PRODUCTION LLC	ONRR/BLM - Rents	Oil & Gas	3414	
PEAK MINERALS INC	BLM - Permit Fees	Mineral Materials	85000	
PEAK MINERALS INC	BLM - Permit Fees	Other Leasable Minerals	325000	
PEAK POWDER RIVER RESOURCES LLC	BLM - Permit Fees	Oil & Gas	366585	
PEAK POWDER RIVER RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	160	
PEAK POWDER RIVER RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	11972.5	
PEDIMENT GOLD LLC	BLM - Permit Fees	Locatable Minerals	301809	
PENNYRILE ENERGY LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	148667.12	
PENROC OIL CORP	BLM - Permit Fees	Oil & Gas	6270	
PENROC OIL CORP	ONRR - Other Revenues	Oil & Gas	40	
PENROC OIL CORP	ONRR - Royalties	Gas	228472.59	
PENROC OIL CORP	ONRR - Royalties	Oil	266325.22	
PENROC OIL CORP	ONRR/BLM - Rents	Oil & Gas	720	
PERCHERON ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	24056922	
PERCHERON ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	1983	
PERCUSSION PETROLEUM LLC	BLM - Permit Fees	Oil & Gas	626610	
PERCUSSION PETROLUEM LLC	ONRR - Other Revenues	Oil & Gas	660015.65	
PERCUSSION PETROLUEM LLC	ONRR - Royalties	Gas	379567.72	
PERCUSSION PETROLUEM LLC	ONRR - Royalties	Oil	2090321.35	
PERCUSSION PETROLUEM LLC	ONRR/BLM - Rents	Oil & Gas	2160	
PEREGRINE OIL & GAS LP	ONRR - Inspection Fees	Oil & Gas	82500	
PEREGRINE OIL & GAS LP	ONRR - Other Revenues	N/A	471.46	
PEREGRINE OIL & GAS LP	ONRR - Other Revenues	Oil & Gas	-464421.31	
PEREGRINE OIL & GAS LP	ONRR - Royalties	Gas	218775.24	
PEREGRINE OIL & GAS LP	ONRR - Royalties	Oil	4162695.07	
PEREGRINE OIL & GAS LP	ONRR/BLM - Bonus	Oil & Gas	254900	
PEREGRINE OIL & GAS LP	ONRR/BLM - Rents	Oil & Gas	334210	
PEREGRINE PETROLEUM PARTNERS LTD	ONRR - Royalties	Gas	91277.7	
PEREGRINE PETROLEUM PARTNERS LTD	ONRR - Royalties	Oil	179713.74	
PERRY COUNTY COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	111477.4	
PERRY LEROY A	ONRR/BLM - Rents	Wind	210294	
PERSHING GOLD CORP	BLM - Permit Fees	Locatable Minerals	131785	
PETE LIEN & SONS INC	BLM - Permit Fees	Locatable Minerals	92640	
PETE LIEN & SONS INC	BLM - Permit Fees	Mineral Materials	14127.6	
"PETER KIEWIT SON'S INC"	ONRR - Royalties	Coal	14523563.02	
"PETER KIEWIT SON'S INC"	ONRR/BLM - Rents	Coal	17541	
PETRO-HUNT LLC	BLM - Permit Fees	Oil & Gas	50210	
PETRO-HUNT LLC	ONRR - Other Revenues	Oil & Gas	528259.87	
PETRO-HUNT LLC	ONRR - Royalties	Gas	1932975.21	
PETRO-HUNT LLC	ONRR - Royalties	Oil	16972277.98	
PETRO-HUNT LLC	ONRR/BLM - Rents	Oil & Gas	205380.5	
PETROLEO BRASILEIRO SA - PETROBAS	ONRR - Inspection Fees	Oil & Gas	230500	
PETROLEO BRASILEIRO SA - PETROBAS	ONRR - Other Revenues	Oil & Gas	-27801.65	
PETROLEO BRASILEIRO SA - PETROBAS	ONRR - Royalties	Gas	370984.61	
PETROLEO BRASILEIRO SA - PETROBAS	ONRR - Royalties	Oil	5737613.24	
PETROLEO BRASILEIRO SA - PETROBAS	ONRR/BLM - Rents	Oil & Gas	32180.1	
PETROQUEST ENERGY LLC	ONRR - Inspection Fees	Oil & Gas	289000	
PETROQUEST ENERGY LLC	ONRR - Other Revenues	Oil & Gas	-591330.51	
PETROQUEST ENERGY LLC	ONRR - Royalties	Gas	608142.57	
PETROQUEST ENERGY LLC	ONRR - Royalties	Oil	320775.4	
PETROQUEST ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	45	
PETROSHALE (US) INC.	BLM - Permit Fees	Oil & Gas	146850	
PHILLIPS 66 CO	ONRR - Other Revenues	N/A	243	
PHILLIPS 66 CO	ONRR - Royalties	Oil	3426732.51	
PHOENIX HYDROCARBONS OPERATING CORP	ONRR - Other Revenues	N/A	243	
PHOENIX HYDROCARBONS OPERATING CORP	ONRR - Royalties	Gas	151205.49	
PHOENIX HYDROCARBONS OPERATING CORP	ONRR - Royalties	Oil	5228.23	
PILOT GOLDSTRIKE INC	BLM - Permit Fees	Locatable Minerals	135860	
PINE BRANCH MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	476459.4	
PINEDALE ENERGY PARTNERS OPERATING LLC	BLM - Permit Fees	Oil & Gas	611160	
PINEDALE INVESTMENT INC	ONRR - Royalties	Gas	10048.65	
PINEDALE INVESTMENT INC	ONRR - Royalties	Oil	98897.14	
PINSON MINING CO	BLM - Permit Fees	Locatable Minerals	104005	
PIONEER FUEL CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	209991.54	
PIONEER NATURAL RESOURCES USA INC	ONRR - Other Revenues	N/A	436	
PIONEER NATURAL RESOURCES USA INC	ONRR - Other Revenues	Oil & Gas	-32782.42	
PIONEER NATURAL RESOURCES USA INC	ONRR - Royalties	Gas	441213.66	
PIONEER NATURAL RESOURCES USA INC	ONRR/BLM - Rents	Oil & Gas	-7388	
PITTSTON NEVADA GOLD CO LTD	BLM - Permit Fees	Locatable Minerals	401077	
PLAINS GP HOLDINGS	ONRR - Other Revenues	N/A	243	
PLAINS GP HOLDINGS	ONRR - Other Revenues	Oil & Gas	25.45	
PLAINS GP HOLDINGS	ONRR - Royalties	Gas	28125.36	
PLAINS GP HOLDINGS	ONRR - Royalties	Oil	8473600.78	
PLATEAU VENTURES LLC	BLM - Permit Fees	Locatable Minerals	564936	
PO&G RESOURCES LP	ONRR - Royalties	Gas	26.12	
PO&G RESOURCES LP	ONRR - Royalties	Oil	104781.55	
POCAHONTAS COAL CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	130271.62	
POC-I LLC	ONRR - Other Revenues	Oil & Gas	1024	
POC-I LLC	ONRR - Royalties	Gas	1831.51	
POC-I LLC	ONRR - Royalties	Oil	419636.61	
POGO OIL AND GAS OPERATING INC	ONRR - Other Revenues	Oil & Gas	534.89	
POGO OIL AND GAS OPERATING INC	ONRR - Royalties	Gas	94591.32	
POGO OIL AND GAS OPERATING INC	ONRR - Royalties	Oil	1055968.83	
POGO OIL AND GAS OPERATING INC	ONRR/BLM - Rents	Oil & Gas	1800	
PORTABLE AGGREGATE PRODUCERS LLC	BLM - Permit Fees	Mineral Materials	378915.21	
POWER RESOURCES INC	BLM - Permit Fees	Locatable Minerals	495070	
POWERTECH (USA) INC	BLM - Permit Fees	Locatable Minerals	282565	
PRAIRIE STATE GENERATING CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	782195.64	
PRECISION AGGREGATE PRODUCTS	BLM - Permit Fees	Mineral Materials	161992.53	
PREMIER OIL AND GAS INC	ONRR - Royalties	Gas	411017.39	
PREMIER OIL AND GAS INC	ONRR/BLM - Rents	Oil & Gas	360	
PRIDE ENERGY CO	ONRR - Other Revenues	Oil & Gas	5538.85	
PRIDE ENERGY CO	ONRR - Royalties	Gas	27293.56	
PRIDE ENERGY CO	ONRR - Royalties	Oil	93706.4	
PRIDE ENERGY CO	ONRR/BLM - Rents	Oil & Gas	1680	
PRIMA EXPLORATION INC	BLM - Permit Fees	Oil & Gas	3690	
PRIMA EXPLORATION INC	ONRR - Other Revenues	Oil & Gas	1030.18	
PRIMA EXPLORATION INC	ONRR - Royalties	Gas	11079.42	
PRIMA EXPLORATION INC	ONRR - Royalties	Oil	24658.15	
PRIMA EXPLORATION INC	ONRR/BLM - Bonus	Oil & Gas	1974424	
PRIMA EXPLORATION INC	ONRR/BLM - Rents	Oil & Gas	18546	
PRIME ROCK RESOURCES LLC	BLM - Permit Fees	Oil & Gas	1330	
PRIME ROCK RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	3520160	
PRIME ROCK RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	240	
PRIMUS RESOURCES LC	BLM - Permit Fees	Locatable Minerals	113375	
PRODUCTION GATHERING CO LP	ONRR - Other Revenues	N/A	243	
PRODUCTION GATHERING CO LP	ONRR - Other Revenues	Oil & Gas	401.7	
PRODUCTION GATHERING CO LP	ONRR - Royalties	Gas	296075.89	
PT MEDCO DAYA ABADI LESTARI	ONRR - Other Revenues	Oil & Gas	184.68	
PT MEDCO DAYA ABADI LESTARI	ONRR - Royalties	Oil	1652499.98	
PT MEDCO DAYA ABADI LESTARI	ONRR/BLM - Rents	Oil & Gas	240	
PYRAMID CONSTRUCTION AND AGGREGATES INC	BLM - Permit Fees	Mineral Materials	166661.08	
