Company	Revenue Type	Commodity	Revenue	
ATLAS ENERGY	ONRR - Royalties	Gas	160874.88	
ATLAS ENERGY	ONRR/BLM - Rents	Oil & Gas	543	
ATOMIC OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	5685	
ATOMIC OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	11218.84	
ATOMIC OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	1706907	
ATOMIC OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	18533	
ATX ENERGY PARTNERS	ONRR - Royalties	Oil	93196.25	
ATX ENERGY PARTNERS	ONRR/BLM - Rents	Oil & Gas	9652.5	
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	234084.07	
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Royalties	Gas	75716.98	
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Royalties	Oil	40882.49	
AUGUSTUS ENERGY RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	398320	
AUGUSTUS ENERGY RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	59981.5	
AU-REKA GOLD CORP	BLM - Permit Fees	Locatable Minerals	243437	
AVAD ENERGY PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	1617.47	
AVAD ENERGY PARTNERS LLC	ONRR - Royalties	Gas	1071272.21	
AVANGRID RENEWABLES LLC	ONRR/BLM - Rents	Wind	500658	
AXIA ENERGY II, LLC	BLM - Permit Fees	Oil & Gas	169480	
AYERS ENERGY LLC	BLM - Permit Fees	Oil & Gas	3040	
AYERS ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	715168.1	
AYERS ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	41218.5	
B & N COAL INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	109165.71	
B & R TRUCKING	BLM - Permit Fees	Mineral Materials	199155	
B & W RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	160634.21	
BALLARD PETROLEUM HOLDINGS LLC	BLM - Permit Fees	Oil & Gas	227730	
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	8170.41	
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Gas	684259.5	
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Oil	6938853.58	
BALLARD PETROLEUM HOLDINGS LLC	ONRR/BLM - Bonus	Oil & Gas	1280	
BALLARD PETROLEUM HOLDINGS LLC	ONRR/BLM - Rents	Oil & Gas	23389.5	
BARRICK GOLD CORP	BLM - Permit Fees	Locatable Minerals	996850	
BARRICK GOLD CORP	BLM - Permit Fees	Mineral Materials	650	
BARRICK GOLD CORP	ONRR - Other Revenues	Geothermal	6789	
BARRICK GOLD CORP	ONRR/BLM - Rents	Geothermal	2263	
BASA RESOURCES, INC.	ONRR - Royalties	Oil	339483.85	
BASELINE MINERALS INC	ONRR/BLM - Bonus	Oil & Gas	7464187	
BASELINE MINERALS INC	ONRR/BLM - Rents	Oil & Gas	158620.5	
BASIN & RANGE RESOURCES LLC	BLM - Permit Fees	Locatable Minerals	251124	
BATTERY MINERAL RESOURCES	BLM - Permit Fees	Locatable Minerals	111665	
BAY STATE WIND LLC	ONRR/BLM - Rents	Wind	562569	
BAYER AG	ONRR - Other Revenues	Phosphate	33024.67	
BAYER AG	ONRR - Royalties	Other Commodities	3072451.6	
BAYER AG	ONRR/BLM - Rents	Phosphate	2458	
BEACON OFFSHORE ENERGY LLC	ONRR - Other Revenues	Oil & Gas	1691492.28	
BEACON OFFSHORE ENERGY LLC	ONRR - Royalties	Gas	252463.06	
BEACON OFFSHORE ENERGY LLC	ONRR - Royalties	Oil	3640047.81	
BEACON OFFSHORE ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	627840	
BEACON OFFSHORE ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	63360	
BEARTOOTH OIL & GAS COMPANY	BLM - Permit Fees	Oil & Gas	475	
