year	volume	product	region	series_id	units
2006	45547617	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
2014	17934416	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2013	16976724	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2012	17015919	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2011	19648020	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2010	19350951	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2009	21717588	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2008	24365168	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2007	24306581	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2006	26017697	Coal	UT	COAL.PRODUCTION.TOT-UT-TOT.A	short tons
2014	15059178	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2013	16619072	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2012	18965105	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2011	22522668	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2010	22385402	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2009	21019178	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2008	24712406	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2007	25346083	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2006	29739969	Coal	VA	COAL.PRODUCTION.TOT-VA-TOT.A	short tons
2006	2579549	Coal	WA	COAL.PRODUCTION.TOT-WA-TOT.A	short tons
2014	112187373	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
2013	112786287	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
2012	120424758	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
2011	134661745	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
2010	135219749	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
