Year	State	Commodity	Type	Revenue
2005	AR	Hardrock	Other Revenues	866.4
2005	AZ	Oil & Gas	Bonus	60725
2005	AZ	Oil & Gas	Rents	109356
2005	AZ	Sodium	Other Revenues	24
2005	AZ	Sodium	Rents	8
2005	CA	Oil & Gas	Other Royalties	24555
2005	CA	Gas	Royalties	4448752.07
2005	CA	Oil	Royalties	31919975.76
2005	CA	Oil & Gas	Other Revenues	17762.190000000002
2005	CA	Oil & Gas	Rents	400552.57
2005	CA	NGL	Royalties	76935
2005	CA	Geothermal	Rents	103077.23999999999
2005	CA	Geothermal	Royalties	7392348.58
2005	CA	Oil & Gas	Bonus	9526.25
2005	CA	Sodium	Rents	-8086.39
2005	CA	Geothermal	Other Revenues	1600
2005	CA	Sodium	Other Revenues	34456.54
2005	CA	Other Products	Royalties	3531820.76
2005	CA	Hardrock	Rents	20
2005	CO	Oil & Gas	Rents	5467067.33
2005	CO	Oil	Royalties	24746559.81
2005	CO	Oil & Gas	Other Revenues	233963.4
2005	CO	Oil & Gas	Other Royalties	6579923.499999999
2005	CO	Gas	Royalties	138511416.33999997
2005	CO	Oil & Gas	Bonus	18406150.99
2005	CO	NGL	Royalties	3221590.4599999995
2005	CO	Coal	Bonus	2289875.05
2005	CO	Coal	Rents	252661
2005	CO	Other Products	Royalties	19613274.49
2005	CO	Oil Shale	Other Revenues	30000
2005	CO	Sodium	Other Revenues	6641
2005	CO	Sodium	Rents	-8747.52
2005	CO	Coal	Royalties	37140214.77
2005	FL	Phosphate	Rents	122
2005	FL	Oil & Gas	Rents	5053.5
2005	ID	Phosphate	Other Revenues	108069
2005	ID	Oil & Gas	Rents	1730.5
2005	ID	Geothermal	Rents	2467
2005	ID	Phosphate	Rents	-19691
2005	ID	Gemstones	Rents	80
2005	ID	Hardrock	Rents	159
2005	IL	Oil	Royalties	188607.69
2005	IL	Oil & Gas	Other Revenues	175
2005	IL	Hardrock	Rents	-1147
2005	KS	Oil & Gas	Rents	25350.5
2005	KS	Oil & Gas	Other Royalties	-98285.53
2005	KS	Gas	Royalties	6712741.9399999995
2005	KS	Oil & Gas	Bonus	11520
2005	KS	Oil & Gas	Other Revenues	33360.34
2005	KS	Gas	Other Royalties	-106.91000000000001
2005	KS	NGL	Royalties	374696.61999999994
2005	KS	Oil	Royalties	1170808.3
2005	KY	Oil & Gas	Rents	8516.099999999999
2005	KY	Gas	Royalties	208655.05000000002
2005	KY	Coal	Other Revenues	16000
2005	KY	Oil	Royalties	5921.14
2005	KY	Oil & Gas	Other Revenues	7869.01
2005	KY	Coal	Rents	489
2005	KY	Oil	Other Royalties	286.06
2005	LA	Oil & Gas	Other Royalties	1729895.5099999998
2005	LA	Oil & Gas	Rents	16868
2005	LA	Gas	Royalties	37684857.63999997
2005	LA	NGL	Royalties	653959.4800000001
2005	LA	Oil	Royalties	2856614.8400000003
2005	LA	Oil & Gas	Other Revenues	4377.88
2005	LA	Oil & Gas	Bonus	30286.000000000007
2005	MD	Oil & Gas	Other Revenues	10055.21
2005	MD	Oil & Gas	Rents	496
2005	MI	Oil & Gas	Rents	38540.46
2005	MI	Gas	Royalties	2230514.08
