Calendar Year	Product	State/Offshore Region	FIPS Code	CPS/Planning Area	Production Volume	Onshore/Offshore	Category	
2009	Gas (mcf)	MT	30025	Fallon County	13,821,601	Onshore	Federal	
2009	Gas (mcf)	MT	30027	Fergus County	21,415	Onshore	Federal	
2009	Gas (mcf)	MT	30035	Glacier County	9,849	Onshore	Federal	
2009	Gas (mcf)	MT	30041	Hill County	680,930	Onshore	Federal	
2009	Gas (mcf)	MT	30051	Liberty County	91,480	Onshore	Federal	
2009	Gas (mcf)	MT	30071	Phillips County	4,191	Onshore	Mixed Exploratory	
2009	Gas (mcf)	MT	30071	Phillips County	9,624,684	Onshore	Federal	
2009	Gas (mcf)	MT	30073	Pondera County	5,002	Onshore	Federal	
2009	Gas (mcf)	MT	30075	Powder River County	7,621	Onshore	Federal	
2009	Gas (mcf)	MT	30079	Prairie County	40,639	Onshore	Federal	
2009	Gas (mcf)	MT	30083	Richland County	264,478	Onshore	Federal	
2009	Gas (mcf)	MT	30085	Roosevelt County	4,832	Onshore	Federal	
2009	Gas (mcf)	MT	30087	Rosebud County	912	Onshore	Federal	
2009	Gas (mcf)	MT	30091	Sheridan County	33,512	Onshore	Federal	
2009	Gas (mcf)	MT	30101	Toole County	252,124	Onshore	Federal	
2009	Gas (mcf)	MT	30105	Valley County	1,990,399	Onshore	Federal	
2009	Gas (mcf)	MT	30109	Wibaux County	144,413	Onshore	Federal	
2009	Oil (bbl)	MT	30005	Blaine County	38,632	Onshore	Federal	
2009	Oil (bbl)	MT	30009	Carbon County	469,428	Onshore	Federal	
2009	Oil (bbl)	MT	30011	Carter County	107,296	Onshore	Federal	
2009	Oil (bbl)	MT	30021	Dawson County	230,060	Onshore	Federal	
2009	Oil (bbl)	MT	30025	Fallon County	226	Onshore	Mixed Exploratory	
2009	Oil (bbl)	MT	30025	Fallon County	2,122,421	Onshore	Federal	
2009	Oil (bbl)	MT	30033	Garfield County	2,430	Onshore	Federal	
2009	Oil (bbl)	MT	30035	Glacier County	4,657	Onshore	Federal	
2009	Oil (bbl)	MT	30051	Liberty County	5,353	Onshore	Federal	
2009	Oil (bbl)	MT	30065	Musselshell County	5,395	Onshore	Federal	
2009	Oil (bbl)	MT	30069	Petroleum County	10,727	Onshore	Federal	
2009	Oil (bbl)	MT	30075	Powder River County	68,597	Onshore	Federal	
2009	Oil (bbl)	MT	30079	Prairie County	133,372	Onshore	Federal	
2009	Oil (bbl)	MT	30083	Richland County	334,226	Onshore	Federal	
2009	Oil (bbl)	MT	30085	Roosevelt County	5,648	Onshore	Federal	
2009	Oil (bbl)	MT	30087	Rosebud County	25,550	Onshore	Federal	
2009	Oil (bbl)	MT	30091	Sheridan County	34,886	Onshore	Federal	
2009	Oil (bbl)	MT	30101	Toole County	44,978	Onshore	Federal	
2009	Oil (bbl)	MT	30109	Wibaux County	114,688	Onshore	Federal	
2009	Oil (bbl)	MT	30111	Yellowstone County	37	Onshore	Federal	
2009	Coal (tons)	ND	38057	Mercer County	W	Onshore	Federal	
2009	Coal (tons)	ND	38065	Oliver County	W	Onshore	Federal	
2009	Gas (mcf)	ND	38007	Billings County	1,347,119	Onshore	Federal	
2009	Gas (mcf)	ND	38009	Bottineau County	2,320	Onshore	Federal	
2009	Gas (mcf)	ND	38011	Bowman County	132	Onshore	Mixed Exploratory	
2009	Gas (mcf)	ND	38011	Bowman County	3,448,392	Onshore	Federal	
2009	Gas (mcf)	ND	38013	Burke County	30,437	Onshore	Federal	
2009	Gas (mcf)	ND	38023	Divide County	2,115	Onshore	Federal	
2009	Gas (mcf)	ND	38025	Dunn County	500,954	Onshore	Federal	
2009	Gas (mcf)	ND	38033	Golden Valley County	322,946	Onshore	Federal	
2009	Gas (mcf)	ND	38053	McKenzie County	2,746,233	Onshore	Federal	
2009	Gas (mcf)	ND	38061	Mountrail County	295,310	Onshore	Federal	
2009	Gas (mcf)	ND	38075	Renville County	9,394	Onshore	Federal	
2009	Gas (mcf)	ND	38087	Slope County	1,084,694	Onshore	Federal	
2009	Gas (mcf)	ND	38089	Stark County	13,052	Onshore	Federal	
2009	Gas (mcf)	ND	38105	Williams County	201,984	Onshore	Federal	
2009	Leonardite (tons)	ND	38105	Williams County	W	Onshore	Federal	
2009	Oil (bbl)	ND	38007	Billings County	1,798,349	Onshore	Federal	
