Shore	Region	Product	Year	Sum of Production Volume
Onshore	MS	Gas (mcf)	2014	379238.63
Onshore	MS	Oil (bbl)	2005	381044.52
Onshore	MS	Oil (bbl)	2006	299920.24
Onshore	MS	Oil (bbl)	2007	292825.73
Onshore	MS	Oil (bbl)	2008	239319.92
Onshore	MS	Oil (bbl)	2009	235696.17
Onshore	MS	Oil (bbl)	2010	239546.28
Onshore	MS	Oil (bbl)	2011	267677.59
Onshore	MS	Oil (bbl)	2012	322497.1
Onshore	MS	Oil (bbl)	2013	424327.11
Onshore	MS	Oil (bbl)	2014	398706.47
Onshore	MT	Coal (tons)	2005	16886195
Onshore	MT	Coal (tons)	2006	18072165
Onshore	MT	Coal (tons)	2007	18777497
Onshore	MT	Coal (tons)	2008	19316074
Onshore	MT	Coal (tons)	2009	17319320
Onshore	MT	Coal (tons)	2010	17741873
Onshore	MT	Coal (tons)	2011	17214337
Onshore	MT	Coal (tons)	2012	16004122
Onshore	MT	Coal (tons)	2013	16480119
Onshore	MT	Coal (tons)	2014	15703781
Onshore	MT	Gas (mcf)	2005	32959060.83
Onshore	MT	Gas (mcf)	2006	36339636.38
Onshore	MT	Gas (mcf)	2007	38644628.83
Onshore	MT	Gas (mcf)	2008	39425890.54
Onshore	MT	Gas (mcf)	2009	36968722.77
Onshore	MT	Gas (mcf)	2010	31081702.95
Onshore	MT	Gas (mcf)	2011	25088380.62
Onshore	MT	Gas (mcf)	2012	18262091.28
Onshore	MT	Gas (mcf)	2013	15951288.25
Onshore	MT	Gas (mcf)	2014	15284709.25
Onshore	MT	Oil (bbl)	2005	4319044.33
Onshore	MT	Oil (bbl)	2006	4619212.72
Onshore	MT	Oil (bbl)	2007	4648539.99
Onshore	MT	Oil (bbl)	2008	4249380.69
Onshore	MT	Oil (bbl)	2009	3892916.27
Onshore	MT	Oil (bbl)	2010	3618482.47
Onshore	MT	Oil (bbl)	2011	3348465
Onshore	MT	Oil (bbl)	2012	3451514.14
Onshore	MT	Oil (bbl)	2013	3829119.34
Onshore	MT	Oil (bbl)	2014	3895056.31
Onshore	ND	Coal (tons)	2005	2169980.45
Onshore	ND	Coal (tons)	2006	3196317.49
Onshore	ND	Coal (tons)	2007	3532979.71
Onshore	ND	Coal (tons)	2008	0
Onshore	ND	Coal (tons)	2009	0
Onshore	ND	Coal (tons)	2010	338404.89
Onshore	ND	Coal (tons)	2011	2923257
Onshore	ND	Coal (tons)	2012	3859278
Onshore	ND	Coal (tons)	2013	4489551
Onshore	ND	Coal (tons)	2014	5051711
Onshore	ND	Gas (mcf)	2005	7292825.18
Onshore	ND	Gas (mcf)	2006	8245891.53
Onshore	ND	Gas (mcf)	2007	10083370.33
Onshore	ND	Gas (mcf)	2008	10856785.36
Onshore	ND	Gas (mcf)	2009	9982672.53
Onshore	ND	Gas (mcf)	2010	11158131.64
Onshore	ND	Gas (mcf)	2011	13996029.15
Onshore	ND	Gas (mcf)	2012	18154691.19
Onshore	ND	Gas (mcf)	2013	23241494.49
Onshore	ND	Gas (mcf)	2014	28604214.21
Onshore	ND	Leonardite (tons)	2006	0
Onshore	ND	Leonardite (tons)	2008	0
Onshore	ND	Leonardite (tons)	2009	0
Onshore	ND	Leonardite (tons)	2010	0
Onshore	ND	Leonardite (tons)	2011	0
Onshore	ND	Leonardite (tons)	2012	0
Onshore	ND	Leonardite (tons)	2013	0
Onshore	ND	Leonardite (tons)	2014	0
Onshore	ND	Oil (bbl)	2005	5802113.76
Onshore	ND	Oil (bbl)	2006	6690482.81
Onshore	ND	Oil (bbl)	2007	7118096.46
Onshore	ND	Oil (bbl)	2008	7345393.89
Onshore	ND	Oil (bbl)	2009	7494449.62
Onshore	ND	Oil (bbl)	2010	9832346.61
Onshore	ND	Oil (bbl)	2011	12534765.65
Onshore	ND	Oil (bbl)	2012	16281618.36
Onshore	ND	Oil (bbl)	2013	19185120.47
Onshore	ND	Oil (bbl)	2014	22211699.82
Onshore	NE	Gas (mcf)	2005	2913.17
Onshore	NE	Gas (mcf)	2006	3732.75
Onshore	NE	Gas (mcf)	2007	5970.75
Onshore	NE	Gas (mcf)	2008	5351.8
Onshore	NE	Gas (mcf)	2009	2206.52
Onshore	NE	Gas (mcf)	2010	2432.28
Onshore	NE	Gas (mcf)	2011	1162.74
Onshore	NE	Gas (mcf)	2012	1125.4
Onshore	NE	Gas (mcf)	2013	958.24
Onshore	NE	Gas (mcf)	2014	993.6
Onshore	NE	Oil (bbl)	2005	40772.81
Onshore	NE	Oil (bbl)	2006	50528.17
Onshore	NE	Oil (bbl)	2007	67711.77
Onshore	NE	Oil (bbl)	2008	54505.62
Onshore	NE	Oil (bbl)	2009	40912.37
Onshore	NE	Oil (bbl)	2010	39478.23
Onshore	NE	Oil (bbl)	2011	33074.09
Onshore	NE	Oil (bbl)	2012	27324.93
Onshore	NE	Oil (bbl)	2013	29249.33
Onshore	NE	Oil (bbl)	2014	27270.36
Onshore	NM	Brine Barrels (barrels)	2005	0
Onshore	NM	Brine Barrels (barrels)	2006	66862
Onshore	NM	Brine Barrels (barrels)	2007	0
Onshore	NM	Brine Barrels (barrels)	2008	0
Onshore	NM	Brine Barrels (barrels)	2010	0
Onshore	NM	Coal (tons)	2005	0
Onshore	NM	Coal (tons)	2006	0
Onshore	NM	Coal (tons)	2007	0
Onshore	NM	Coal (tons)	2008	0
Onshore	NM	Coal (tons)	2009	0
Onshore	NM	Coal (tons)	2010	0
Onshore	NM	Coal (tons)	2011	0
Onshore	NM	Coal (tons)	2012	0
Onshore	NM	Coal (tons)	2013	0
Onshore	NM	Coal (tons)	2014	0
Onshore	NM	Gas (mcf)	2005	1028343137
Onshore	NM	Gas (mcf)	2006	1022053891
Onshore	NM	Gas (mcf)	2007	975632728.2
Onshore	NM	Gas (mcf)	2008	926364691.4
Onshore	NM	Gas (mcf)	2009	894821783.9
Onshore	NM	Gas (mcf)	2010	840725100.2
Onshore	NM	Gas (mcf)	2011	819458627.3
Onshore	NM	Gas (mcf)	2012	803628863.7
Onshore	NM	Gas (mcf)	2013	779441300.9
Onshore	NM	Gas (mcf)	2014	776068532
Onshore	NM	Geothermal - Direct Use, Millions of Gallons	2011	71606330
Onshore	NM	Geothermal - Direct Use, Millions of Gallons	2012	113448300
Onshore	NM	Geothermal - Direct Use, Millions of Gallons	2013	69920724.5
Onshore	NM	Geothermal - Direct Use, Millions of Gallons	2014	63624483
Onshore	NM	Geothermal - Electrical Generation, Kilowatt Hours	2013	69407
Onshore	NM	Geothermal - Electrical Generation, Kilowatt Hours	2014	8736455
Onshore	NM	Langbeinite (tons)	2005	551675
Onshore	NM	Langbeinite (tons)	2006	734349
Onshore	NM	Langbeinite (tons)	2007	966101
Onshore	NM	Langbeinite (tons)	2008	974982
Onshore	NM	Langbeinite (tons)	2009	648073
Onshore	NM	Langbeinite (tons)	2010	830346
Onshore	NM	Langbeinite (tons)	2011	745606
Onshore	NM	Langbeinite (tons)	2012	859349
Onshore	NM	Langbeinite (tons)	2013	707765
Onshore	NM	Langbeinite (tons)	2014	363289
Onshore	NM	Muriate Of Potash-Granular (tons)	2005	424981
Onshore	NM	Muriate Of Potash-Granular (tons)	2006	327424
Onshore	NM	Muriate Of Potash-Granular (tons)	2007	429446
Onshore	NM	Muriate Of Potash-Granular (tons)	2008	398253
Onshore	NM	Muriate Of Potash-Granular (tons)	2009	233928
Onshore	NM	Muriate Of Potash-Granular (tons)	2010	364751
Onshore	NM	Muriate Of Potash-Granular (tons)	2011	454506
Onshore	NM	Muriate Of Potash-Granular (tons)	2012	424920
Onshore	NM	Muriate Of Potash-Granular (tons)	2013	342439
Onshore	NM	Muriate Of Potash-Granular (tons)	2014	467320
Onshore	NM	Muriate Of Potash-Standard (tons)	2005	476837
Onshore	NM	Muriate Of Potash-Standard (tons)	2006	469892
Onshore	NM	Muriate Of Potash-Standard (tons)	2007	251708
Onshore	NM	Muriate Of Potash-Standard (tons)	2008	177001
Onshore	NM	Muriate Of Potash-Standard (tons)	2009	112839
Onshore	NM	Muriate Of Potash-Standard (tons)	2010	155054
Onshore	NM	Muriate Of Potash-Standard (tons)	2011	170449
Onshore	NM	Muriate Of Potash-Standard (tons)	2012	146453
Onshore	NM	Muriate Of Potash-Standard (tons)	2013	132492
Onshore	NM	Muriate Of Potash-Standard (tons)	2014	127433
Onshore	NM	Oil (bbl)	2005	25723177.71
Onshore	NM	Oil (bbl)	2006	24547285.65
Onshore	NM	Oil (bbl)	2007	25308750.26
Onshore	NM	Oil (bbl)	2008	25756010.39
Onshore	NM	Oil (bbl)	2009	28545971.78
Onshore	NM	Oil (bbl)	2010	31575274.29
Onshore	NM	Oil (bbl)	2011	35643027.27
Onshore	NM	Oil (bbl)	2012	44528783.07
Onshore	NM	Oil (bbl)	2013	52650332.97
Onshore	NM	Oil (bbl)	2014	64993325.68
Onshore	NM	Potash (tons)	2005	0
Onshore	NM	Potash (tons)	2006	492294
Onshore	NM	Potash (tons)	2007	0
Onshore	NM	Potash (tons)	2008	0
Onshore	NM	Potash (tons)	2009	0
Onshore	NM	Potash (tons)	2010	0
Onshore	NM	Potash (tons)	2011	0
Onshore	NM	Potash (tons)	2012	0
Onshore	NM	Potash (tons)	2013	0
Onshore	NM	Potash (tons)	2014	0
Onshore	NM	Salt (tons)	2005	0
Onshore	NM	Salt (tons)	2006	0
Onshore	NM	Salt (tons)	2007	0
Onshore	NM	Salt (tons)	2008	314483
Onshore	NM	Salt (tons)	2009	372956
Onshore	NM	Salt (tons)	2010	434018
Onshore	NM	Salt (tons)	2011	439367
Onshore	NM	Salt (tons)	2012	409345
Onshore	NM	Salt (tons)	2013	425125
Onshore	NM	Salt (tons)	2014	457529
Onshore	NM	Sylvite-Raw Ore (tons)	2006	0
Onshore	NM	Sylvite-Raw Ore (tons)	2007	0
Onshore	NM	Sylvite-Raw Ore (tons)	2008	0
Onshore	NM	Sylvite-Raw Ore (tons)	2009	0
Onshore	NM	Sylvite-Raw Ore (tons)	2010	0
Onshore	NM	Sylvite-Raw Ore (tons)	2011	0
Onshore	NM	Sylvite-Raw Ore (tons)	2012	0
Onshore	NM	Sylvite-Raw Ore (tons)	2013	0
Onshore	NM	Sylvite-Raw Ore (tons)	2014	0
Onshore	NV	Gas (mcf)	2005	5281
Onshore	NV	Gas (mcf)	2006	4999
Onshore	NV	Gas (mcf)	2007	4573
Onshore	NV	Gas (mcf)	2008	4227
Onshore	NV	Gas (mcf)	2009	4440
Onshore	NV	Gas (mcf)	2010	4010
Onshore	NV	Gas (mcf)	2011	3836
Onshore	NV	Gas (mcf)	2012	3631
Onshore	NV	Gas (mcf)	2013	3422
Onshore	NV	Gas (mcf)	2014	3341
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2005	90021493
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2006	85859889
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2007	106272414
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2008	123838519
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2009	198988743
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2010	163346106
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2011	131014604
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2012	123103803
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2013	57238368
Onshore	NV	Geothermal - Direct Utilization, Hundreds of Gallons	2014	46536534.78
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2005	681851144.9
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2006	637929760.8
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2007	586069014.5
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2008	569422744.5
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2009	726844239.1
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2010	1011705802
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2011	1023492237
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2012	1213241911
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2013	1440832542
Onshore	NV	Geothermal - Electrical Generation, Kilowatt Hours	2014	1541014028
Onshore	NV	Oil (bbl)	2005	444146
Onshore	NV	Oil (bbl)	2006	422869
Onshore	NV	Oil (bbl)	2007	405154
Onshore	NV	Oil (bbl)	2008	435454
Onshore	NV	Oil (bbl)	2009	454522
Onshore	NV	Oil (bbl)	2010	427527
Onshore	NV	Oil (bbl)	2011	405174
Onshore	NV	Oil (bbl)	2012	356297
Onshore	NV	Oil (bbl)	2013	330809
Onshore	NV	Oil (bbl)	2014	311307
Onshore	NV	Potash (tons)	2013	0
Onshore	NY	Gas (mcf)	2005	18178.28
Onshore	NY	Gas (mcf)	2006	13507.54
Onshore	NY	Gas (mcf)	2007	12690.64
Onshore	NY	Gas (mcf)	2008	11162.61
Onshore	NY	Gas (mcf)	2009	13790.28
Onshore	NY	Gas (mcf)	2010	12542.22
Onshore	NY	Gas (mcf)	2011	13067.1
Onshore	NY	Gas (mcf)	2012	15642.35
Onshore	NY	Gas (mcf)	2013	13881.94
Onshore	NY	Gas (mcf)	2014	10959.02
Onshore	OH	Coal (tons)	2009	0
Onshore	OH	Gas (mcf)	2005	544842.08
Onshore	OH	Gas (mcf)	2006	548407.77
Onshore	OH	Gas (mcf)	2007	544501.21
Onshore	OH	Gas (mcf)	2008	505371.23
Onshore	OH	Gas (mcf)	2009	455499.14
Onshore	OH	Gas (mcf)	2010	471799.86
Onshore	OH	Gas (mcf)	2011	442443.19
Onshore	OH	Gas (mcf)	2012	392755.09
Onshore	OH	Gas (mcf)	2013	394151.8
Onshore	OH	Gas (mcf)	2014	362881.04
Onshore	OH	Oil (bbl)	2005	21075.21
Onshore	OH	Oil (bbl)	2006	20346.29
Onshore	OH	Oil (bbl)	2007	19406.97
Onshore	OH	Oil (bbl)	2008	21026.07
Onshore	OH	Oil (bbl)	2009	18826.17
Onshore	OH	Oil (bbl)	2010	17730.3
Onshore	OH	Oil (bbl)	2011	16926.75
Onshore	OH	Oil (bbl)	2012	15758.96
Onshore	OH	Oil (bbl)	2013	15038.06
Onshore	OH	Oil (bbl)	2014	13783.16
Onshore	OK	Coal (tons)	2005	714616
Onshore	OK	Coal (tons)	2006	725099
Onshore	OK	Coal (tons)	2007	890762
Onshore	OK	Coal (tons)	2008	664925
Onshore	OK	Coal (tons)	2009	566793.39
Onshore	OK	Coal (tons)	2010	516449.88
Onshore	OK	Coal (tons)	2011	544641.29
Onshore	OK	Coal (tons)	2012	266370.09
Onshore	OK	Coal (tons)	2013	598960.68
Onshore	OK	Coal (tons)	2014	495798.61
Onshore	OK	Gas (mcf)	2005	14609535.17
Onshore	OK	Gas (mcf)	2006	14191890.48
Onshore	OK	Gas (mcf)	2007	14225420.78
Onshore	OK	Gas (mcf)	2008	15077373.8
Onshore	OK	Gas (mcf)	2009	15757784.1
Onshore	OK	Gas (mcf)	2010	15230391.63
Onshore	OK	Gas (mcf)	2011	12725033.58
Onshore	OK	Gas (mcf)	2012	15808059.71
Onshore	OK	Gas (mcf)	2013	14492680.49
Onshore	OK	Gas (mcf)	2014	15102202.87
Onshore	OK	Oil (bbl)	2005	197804.97
Onshore	OK	Oil (bbl)	2006	165194.16
Onshore	OK	Oil (bbl)	2007	176962.59
Onshore	OK	Oil (bbl)	2008	184513.08
Onshore	OK	Oil (bbl)	2009	211489.98
Onshore	OK	Oil (bbl)	2010	209722.81
Onshore	OK	Oil (bbl)	2011	359177.28
Onshore	OK	Oil (bbl)	2012	561332.67
Onshore	OK	Oil (bbl)	2013	539800.49
Onshore	OK	Oil (bbl)	2014	548687.22
Onshore	PA	Gas (mcf)	2005	11223.83
Onshore	PA	Gas (mcf)	2006	15449.27
Onshore	PA	Gas (mcf)	2007	19912.28
Onshore	PA	Gas (mcf)	2008	17144
Onshore	PA	Gas (mcf)	2009	59564.08
Onshore	PA	Gas (mcf)	2010	64629.34
Onshore	PA	Gas (mcf)	2011	37307.05
Onshore	PA	Gas (mcf)	2012	24786.41
Onshore	PA	Gas (mcf)	2013	27159.83
Onshore	PA	Gas (mcf)	2014	18673.97
Onshore	PA	Oil (bbl)	2009	6310
Onshore	PA	Oil (bbl)	2010	5986
Onshore	PA	Oil (bbl)	2011	2551
Onshore	PA	Oil (bbl)	2012	1769
Onshore	PA	Oil (bbl)	2013	1498
Onshore	PA	Oil (bbl)	2014	1158
Onshore	SC	Gold Ore (tons)	2009	0
Onshore	SC	Gold Ore (tons)	2011	0
Onshore	SC	Gold Placer	2009	0
Onshore	SC	Gold Placer	2010	0
Onshore	SC	Gold Placer	2011	0
Onshore	SD	Gas (mcf)	2005	1497966.02
Onshore	SD	Gas (mcf)	2006	1529465.52
Onshore	SD	Gas (mcf)	2007	1669758.7
Onshore	SD	Gas (mcf)	2008	1718266.43
Onshore	SD	Gas (mcf)	2009	1882514.9
Onshore	SD	Gas (mcf)	2010	1737523.98
Onshore	SD	Gas (mcf)	2011	1879133.59
Onshore	SD	Gas (mcf)	2012	2527277.7
Onshore	SD	Gas (mcf)	2013	2707941.41
Onshore	SD	Gas (mcf)	2014	2500311.27
Onshore	SD	Oil (bbl)	2005	173641.22
Onshore	SD	Oil (bbl)	2006	178907.43
Onshore	SD	Oil (bbl)	2007	188628.74
Onshore	SD	Oil (bbl)	2008	179653.96
Onshore	SD	Oil (bbl)	2009	166706.91
Onshore	SD	Oil (bbl)	2010	149640.14
Onshore	SD	Oil (bbl)	2011	159344.03
Onshore	SD	Oil (bbl)	2012	214458.47
Onshore	SD	Oil (bbl)	2013	202589.16
Onshore	SD	Oil (bbl)	2014	188895.74
Onshore	TX	Gas (mcf)	2005	25333624.45
Onshore	TX	Gas (mcf)	2006	25387514.52
Onshore	TX	Gas (mcf)	2007	27473535.9
Onshore	TX	Gas (mcf)	2008	25139618.39
Onshore	TX	Gas (mcf)	2009	23532176.31
Onshore	TX	Gas (mcf)	2010	21233776.12
Onshore	TX	Gas (mcf)	2011	35099258.64
Onshore	TX	Gas (mcf)	2012	54217765.94
Onshore	TX	Gas (mcf)	2013	45631802.81
Onshore	TX	Gas (mcf)	2014	35831688.42
Onshore	TX	Oil (bbl)	2005	413938.24
Onshore	TX	Oil (bbl)	2006	335041.01
Onshore	TX	Oil (bbl)	2007	318488.47
Onshore	TX	Oil (bbl)	2008	308418.95
Onshore	TX	Oil (bbl)	2009	318508.15
Onshore	TX	Oil (bbl)	2010	274136.25
Onshore	TX	Oil (bbl)	2011	292551.01
Onshore	TX	Oil (bbl)	2012	289953.08
Onshore	TX	Oil (bbl)	2013	228941.37
Onshore	TX	Oil (bbl)	2014	147501.11
Onshore	UT	Clay (tons)	2005	0
Onshore	UT	Clay (tons)	2006	0
Onshore	UT	Clay (tons)	2007	0
Onshore	UT	Clay (tons)	2008	0
Onshore	UT	Clay (tons)	2009	0
Onshore	UT	Clay (tons)	2010	0
Onshore	UT	Clay (tons)	2011	0
Onshore	UT	Clay (tons)	2012	0
Onshore	UT	Clay (tons)	2013	0
Onshore	UT	Clay (tons)	2014	33520
Onshore	UT	Coal (tons)	2005	12469840.55
Onshore	UT	Coal (tons)	2006	10097980.47
Onshore	UT	Coal (tons)	2007	6659941.25
Onshore	UT	Coal (tons)	2008	8580347
Onshore	UT	Coal (tons)	2009	6683745
Onshore	UT	Coal (tons)	2010	6219884
Onshore	UT	Coal (tons)	2011	7213622
Onshore	UT	Coal (tons)	2012	8792809
Onshore	UT	Coal (tons)	2013	8108509
Onshore	UT	Coal (tons)	2014	8084545
Onshore	UT	Coal Waste (Sub-Econ) (tons)	2014	0
Onshore	UT	Gas (mcf)	2005	167700675.1
Onshore	UT	Gas (mcf)	2006	209502233.2
Onshore	UT	Gas (mcf)	2007	240998482.5
Onshore	UT	Gas (mcf)	2008	296532890.2
Onshore	UT	Gas (mcf)	2009	304908019.3
Onshore	UT	Gas (mcf)	2010	288585048.7
Onshore	UT	Gas (mcf)	2011	300698256.7
Onshore	UT	Gas (mcf)	2012	327420789
Onshore	UT	Gas (mcf)	2013	297166939.4
Onshore	UT	Gas (mcf)	2014	278297384.1
Onshore	UT	Geothermal - Electrical Generation, Kilowatt Hours	2013	12986766.4
Onshore	UT	Geothermal - Electrical Generation, Kilowatt Hours	2014	132080000
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2005	2290182691
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2006	2350934233
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2007	2046718554
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2008	2468886992
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2009	2827213958
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2010	2670508903
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2011	2554615747
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2012	2453647854
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2013	2316266258
Onshore	UT	Geothermal - Electrical Generation, Thousands of Pounds	2014	2463584337
Onshore	UT	Gilsonite (tons)	2005	8041
Onshore	UT	Gilsonite (tons)	2006	8776
Onshore	UT	Gilsonite (tons)	2007	10879
Onshore	UT	Gilsonite (tons)	2008	16957
Onshore	UT	Gilsonite (tons)	2009	13016
Onshore	UT	Gilsonite (tons)	2010	28082
Onshore	UT	Gilsonite (tons)	2011	0
Onshore	UT	Gilsonite (tons)	2012	35927
Onshore	UT	Gilsonite (tons)	2013	0
Onshore	UT	Gilsonite (tons)	2014	0
Onshore	UT	Magnesium Chloride Brine (tons)	2005	0
Onshore	UT	Magnesium Chloride Brine (tons)	2006	0
Onshore	UT	Magnesium Chloride Brine (tons)	2007	0
Onshore	UT	Magnesium Chloride Brine (tons)	2008	0
Onshore	UT	Magnesium Chloride Brine (tons)	2009	0
Onshore	UT	Magnesium Chloride Brine (tons)	2010	0
Onshore	UT	Magnesium Chloride Brine (tons)	2011	0
Onshore	UT	Magnesium Chloride Brine (tons)	2012	0
Onshore	UT	Magnesium Chloride Brine (tons)	2013	0
Onshore	UT	Magnesium Chloride Brine (tons)	2014	0
Onshore	UT	Manure Salts (tons)	2005	0
Onshore	UT	Manure Salts (tons)	2006	0
Onshore	UT	Manure Salts (tons)	2007	0
Onshore	UT	Manure Salts (tons)	2008	0
Onshore	UT	Manure Salts (tons)	2009	0
Onshore	UT	Manure Salts (tons)	2010	0
Onshore	UT	Manure Salts (tons)	2011	0
Onshore	UT	Manure Salts (tons)	2012	0
Onshore	UT	Oil (bbl)	2005	5905424.74
Onshore	UT	Oil (bbl)	2006	7150405.74
Onshore	UT	Oil (bbl)	2007	8345662.59
Onshore	UT	Oil (bbl)	2008	10157218.66
Onshore	UT	Oil (bbl)	2009	10973361.42
Onshore	UT	Oil (bbl)	2010	10835315.57
Onshore	UT	Oil (bbl)	2011	10661297.62
Onshore	UT	Oil (bbl)	2012	11192959.82
Onshore	UT	Oil (bbl)	2013	11807887.61
Onshore	UT	Oil (bbl)	2014	12256150.74
Onshore	UT	Potash (tons)	2005	0
Onshore	UT	Potash (tons)	2006	0
Onshore	UT	Potash (tons)	2007	0
Onshore	UT	Potash (tons)	2008	0
Onshore	UT	Potash (tons)	2009	0
Onshore	UT	Potash (tons)	2010	0
Onshore	UT	Potash (tons)	2011	0
Onshore	UT	Potash (tons)	2012	0
Onshore	UT	Potash (tons)	2013	0
Onshore	UT	Potash (tons)	2014	0
Onshore	UT	Salt (tons)	2005	0
Onshore	UT	Salt (tons)	2006	0
Onshore	UT	Salt (tons)	2007	0
Onshore	UT	Salt (tons)	2008	0
Onshore	UT	Salt (tons)	2009	0
Onshore	UT	Salt (tons)	2010	0
Onshore	UT	Salt (tons)	2011	0
Onshore	UT	Salt (tons)	2012	0
Onshore	UT	Salt (tons)	2013	0
Onshore	UT	Salt (tons)	2014	0
Onshore	VA	Gas (mcf)	2005	258463.4
Onshore	VA	Gas (mcf)	2006	245906.56
Onshore	VA	Gas (mcf)	2007	208357.15
Onshore	VA	Gas (mcf)	2008	211000.9
Onshore	VA	Gas (mcf)	2009	198314.64
Onshore	VA	Gas (mcf)	2010	189294.27
Onshore	VA	Gas (mcf)	2011	181631.77
Onshore	VA	Gas (mcf)	2012	173948.77
Onshore	VA	Gas (mcf)	2013	162733.04
Onshore	VA	Gas (mcf)	2014	149378.8
Onshore	VA	Limestone (tons)	2005	0
Onshore	VA	Limestone (tons)	2006	0
Onshore	VA	Limestone (tons)	2007	0
Onshore	VA	Limestone (tons)	2008	0
Onshore	VA	Limestone (tons)	2009	0
Onshore	VA	Limestone (tons)	2010	0
Onshore	VA	Limestone (tons)	2011	0
Onshore	VA	Limestone (tons)	2012	0
Onshore	VA	Limestone (tons)	2013	0
Onshore	VA	Limestone (tons)	2014	0
Onshore	VA	Oil (bbl)	2005	20.73
Onshore	WA	Coal (tons)	2005	0
Onshore	Withheld	Borate Products (ton)	2005	33706
Onshore	Withheld	Borate Products (ton)	2006	33106
Onshore	Withheld	Borate Products (ton)	2007	32736
Onshore	Withheld	Borate Products (ton)	2008	33520
Onshore	Withheld	Borate Products (ton)	2009	31284
Onshore	Withheld	Borate Products (ton)	2010	130833
Onshore	Withheld	Borate Products (ton)	2011	157392
Onshore	Withheld	Borate Products (ton)	2012	146943
Onshore	Withheld	Borate Products (ton)	2013	156530
Onshore	Withheld	Borate Products (ton)	2014	162731
Onshore	Withheld	Brine Products (tons)	2005	52765.21
Onshore	Withheld	Brine Products (tons)	2006	84052.34
Onshore	Withheld	Brine Products (tons)	2007	46600.09
Onshore	Withheld	Brine Products (tons)	2008	77591.21
Onshore	Withheld	Brine Products (tons)	2009	55478
Onshore	Withheld	Brine Products (tons)	2010	68327.81
Onshore	Withheld	Brine Products (tons)	2011	73522
Onshore	Withheld	Brine Products (tons)	2012	70061
Onshore	Withheld	Brine Products (tons)	2013	61077
Onshore	Withheld	Brine Products (tons)	2014	51291
Onshore	Withheld	Clay (tons)	2005	62138
Onshore	Withheld	Clay (tons)	2006	84876
Onshore	Withheld	Clay (tons)	2007	67014
Onshore	Withheld	Clay (tons)	2008	25139
Onshore	Withheld	Clay (tons)	2009	7021
Onshore	Withheld	Clay (tons)	2010	15627
Onshore	Withheld	Clay (tons)	2011	21891
Onshore	Withheld	Clay (tons)	2012	29990
Onshore	Withheld	Clay (tons)	2013	28333
Onshore	Withheld	Coal (tons)	2005	24919890.01
Onshore	Withheld	Coal (tons)	2006	22435709.04
Onshore	Withheld	Coal (tons)	2007	18961860.04
Onshore	Withheld	Coal (tons)	2008	20465633
Onshore	Withheld	Coal (tons)	2009	19167321.61
Onshore	Withheld	Coal (tons)	2010	18396804.24
Onshore	Withheld	Coal (tons)	2011	15843973.71
Onshore	Withheld	Coal (tons)	2012	19320740.91
Onshore	Withheld	Coal (tons)	2013	21318188.32
Onshore	Withheld	Coal (tons)	2014	34078422.39
Onshore	Withheld	Copper Concentrate (tons)	2005	749
Onshore	Withheld	Copper Concentrate (tons)	2006	519
Onshore	Withheld	Copper Concentrate (tons)	2007	1702
Onshore	Withheld	Copper Concentrate (tons)	2008	222
Onshore	Withheld	Copper Concentrate (tons)	2009	977
Onshore	Withheld	Copper Concentrate (tons)	2010	1176
Onshore	Withheld	Copper Concentrate (tons)	2011	729
Onshore	Withheld	Copper Concentrate (tons)	2012	1509.67
Onshore	Withheld	Copper Concentrate (tons)	2013	129
Onshore	Withheld	Copper Concentrate (tons)	2014	278
Onshore	Withheld	Gilsonite (tons)	2011	22568
Onshore	Withheld	Gilsonite (tons)	2013	24919
Onshore	Withheld	Gilsonite (tons)	2014	28936
