Year	Region	Resource	Revenue
2004	SOC	oilgas	163907069.05
2004	SOC	other	14209.63
2005	BFT	oilgas	82860053.46
2005	GUL	oilgas	-19340329.42
2005	SOC	oilgas	210021711.49
2005	SOC	other	14340.49
2006	BFT	oilgas	42457967.41
2006	GUL	oilgas	-10622983.51
2006	SOC	oilgas	250063048.90
2006	SOC	other	6303.03
2007	BFT	oilgas	70435102.67
2007	GUL	oilgas	-15241002.97
2007	SOC	oilgas	261756844.49
2007	SOC	other	32787.47
2008	BFT	oilgas	82496001.25
2008	CHU	oilgas	2664850188.00
2008	GUL	oilgas	-15053958.12
2008	SOC	oilgas	405380677.78
2008	SOC	other	209945.99
2009	BFT	oilgas	20222970.53
2009	CHU	oilgas	4186057.50
2009	NOA	renewables	68319.68
2009	GUL	oilgas	-6292220.39
2009	SOC	oilgas	199339392.74
2009	SOC	other	9717.06
2010	BFT	oilgas	23629563.11
2010	CHU	oilgas	5569890.00
2010	NOA	renewables	139517.76
2010	GUL	oilgas	-10014906.14
2010	SOC	oilgas	266474084.57
2010	SOC	other	17522.74
2011	BFT	oilgas	19564437.49
2011	CHU	oilgas	57600.00
2011	NOA	renewables	135247.84
2011	SOC	oilgas	318052511.23
2011	SOC	other	63584.56
2012	BFT	oilgas	16722892.94
2012	CHU	oilgas	5056476.05
2012	NOA	renewables	128842.84
2012	GUL	oilgas	-56804.14
2012	SOC	oilgas	299715620.49
2012	SOC	other	49553.05
2013	BFT	oilgas	15694434.74
2013	CHU	oilgas	7551790.59
2013	MDA	renewables	1769198.00
2013	NOA	renewables	4051036.42
2013	SOC	oilgas	295793374.87
2013	SOC	other	20444.25
