Month,Calendar Year,Land Class,Land Category,Commodity, Volume 
August,2010,Federal,Onshore,Coal Prod Vol (ton)," 41,050,494 "
August,2010,Federal,Onshore,Gas Prod Vol (mcf)," 330,415,043 "
August,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,204,660 "
August,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,735,723 "
August,2010,Native American,Onshore,Gas Prod Vol (mcf)," 25,421,924 "
August,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,545,701 "
September,2010,Federal,Offshore,Gas Prod Vol (mcf)," 183,417,239 "
September,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,465,132 "
September,2010,Federal,Onshore,Coal Prod Vol (ton)," 40,744,704 "
September,2010,Federal,Onshore,Gas Prod Vol (mcf)," 319,265,720 "
September,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,921,397 "
September,2010,Native American,Onshore,Coal Prod Vol (ton)," 2,038,643 "
September,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,878,594 "
September,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,550,349 "
October,2010,Federal,Offshore,Gas Prod Vol (mcf)," 188,896,511 "
October,2010,Federal,Offshore,Oil Prod Vol (bbl)," 50,408,367 "
October,2010,Federal,Onshore,Coal Prod Vol (ton)," 40,725,641 "
October,2010,Federal,Onshore,Gas Prod Vol (mcf)," 327,800,331 "
October,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,322,637 "
October,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,795,394 "
October,2010,Native American,Onshore,Gas Prod Vol (mcf)," 26,008,734 "
October,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,642,614 "
November,2010,Federal,Offshore,Gas Prod Vol (mcf)," 175,361,859 "
November,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,258,416 "
November,2010,Federal,Onshore,Coal Prod Vol (ton)," 32,529,477 "
November,2010,Federal,Onshore,Gas Prod Vol (mcf)," 321,450,180 "
November,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,098,984 "
November,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,605,752 "
November,2010,Native American,Onshore,Gas Prod Vol (mcf)," 25,354,037 "
November,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,589,382 "
December,2010,Federal,Offshore,Gas Prod Vol (mcf)," 186,383,234 "
December,2010,Federal,Offshore,Oil Prod Vol (bbl)," 48,152,607 "
