Month,Calendar Year,Land Class,Land Category,Commodity, Volume ,
February,2010,Native American,Onshore,Gas Prod Vol (mcf)," 21,554,312 "," 21,554,312 "
February,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,009,015 "," 1,009,015 "
March,2010,Federal,Offshore,Gas Prod Vol (mcf)," 217,129,273 "," 217,129,273 "
March,2010,Federal,Offshore,Oil Prod Vol (bbl)," 51,699,886 "," 51,699,886 "
March,2010,Federal,Onshore,Coal Prod Vol (ton)," 39,182,648 "," 39,182,648 "
March,2010,Federal,Onshore,Gas Prod Vol (mcf)," 335,927,467 "," 335,927,467 "
March,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,117,187 "," 9,117,187 "
March,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,743,062 "," 1,743,062 "
March,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,141,864 "," 24,141,864 "
March,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,215,660 "," 1,215,660 "
April,2010,Federal,Offshore,Gas Prod Vol (mcf)," 200,962,353 "," 200,962,353 "
April,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,376,150 "," 46,376,150 "
April,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,425,071 "," 37,425,071 "
April,2010,Federal,Onshore,Gas Prod Vol (mcf)," 327,327,807 "," 327,327,807 "
April,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,721,054 "," 8,721,054 "
April,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,795,669 "," 1,795,669 "
April,2010,Native American,Onshore,Gas Prod Vol (mcf)," 23,736,250 "," 23,736,250 "
April,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,221,028 "," 1,221,028 "
May,2010,Federal,Offshore,Gas Prod Vol (mcf)," 199,927,130 "," 199,927,130 "
May,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,626,771 "," 49,626,771 "
May,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,144,604 "," 37,144,604 "
May,2010,Federal,Onshore,Gas Prod Vol (mcf)," 334,311,802 "," 334,311,802 "
May,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,178,829 "," 9,178,829 "
May,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,742,781 "," 1,742,781 "
May,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,988,233 "," 24,988,233 "
May,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,268,405 "," 1,268,405 "
June,2010,Federal,Offshore,Gas Prod Vol (mcf)," 185,198,425 "," 185,198,425 "
June,2010,Federal,Offshore,Oil Prod Vol (bbl)," 48,242,226 "," 48,242,226 "
June,2010,Federal,Onshore,Coal Prod Vol (ton)," 36,578,041 "," 36,578,041 "
June,2010,Federal,Onshore,Gas Prod Vol (mcf)," 310,798,582 "," 310,798,582 "
June,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,799,769 "," 8,799,769 "
June,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,582,003 "," 1,582,003 "
June,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,319,280 "," 24,319,280 "
June,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,327,508 "," 1,327,508 "
July,2010,Federal,Offshore,Gas Prod Vol (mcf)," 185,063,545 "," 185,063,545 "
July,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,378,029 "," 46,378,029 "
July,2010,Federal,Onshore,Coal Prod Vol (ton)," 38,135,193 "," 38,135,193 "
July,2010,Federal,Onshore,Gas Prod Vol (mcf)," 328,201,784 "," 328,201,784 "
July,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,196,635 "," 9,196,635 "
July,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,609,279 "," 1,609,279 "
July,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,884,572 "," 24,884,572 "
July,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,435,458 "," 1,435,458 "
August,2010,Federal,Offshore,Gas Prod Vol (mcf)," 194,060,192 "," 194,060,192 "
August,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,994,159 "," 49,994,159 "
August,2010,Federal,Onshore,Coal Prod Vol (ton)," 41,050,494 "," 41,050,494 "
August,2010,Federal,Onshore,Gas Prod Vol (mcf)," 330,407,469 "," 330,407,469 "
August,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,204,631 "," 9,204,631 "
August,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,735,723 "," 1,735,723 "
August,2010,Native American,Onshore,Gas Prod Vol (mcf)," 25,421,924 "," 25,421,924 "
August,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,545,701 "," 1,545,701 "
September,2010,Federal,Offshore,Gas Prod Vol (mcf)," 183,318,037 "," 183,318,037 "
September,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,461,957 "," 49,461,957 "
September,2010,Federal,Onshore,Coal Prod Vol (ton)," 40,744,704 "," 40,744,704 "
September,2010,Federal,Onshore,Gas Prod Vol (mcf)," 319,272,558 "," 319,272,558 "
September,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,921,421 "," 8,921,421 "
September,2010,Native American,Onshore,Coal Prod Vol (ton)," 2,038,643 "," 2,038,643 "
September,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,878,594 "," 24,878,594 "
September,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,550,349 "," 1,550,349 "
October,2010,Federal,Offshore,Gas Prod Vol (mcf)," 188,789,221 "," 188,789,221 "
October,2010,Federal,Offshore,Oil Prod Vol (bbl)," 50,405,069 "," 50,405,069 "
October,2010,Federal,Onshore,Coal Prod Vol (ton)," 40,725,641 "," 40,725,641 "
October,2010,Federal,Onshore,Gas Prod Vol (mcf)," 327,806,871 "," 327,806,871 "
October,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,322,656 "," 9,322,656 "
October,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,795,394 "," 1,795,394 "
October,2010,Native American,Onshore,Gas Prod Vol (mcf)," 26,008,734 "," 26,008,734 "
October,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,642,614 "," 1,642,614 "
November,2010,Federal,Offshore,Gas Prod Vol (mcf)," 175,276,188 "," 175,276,188 "
November,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,255,610 "," 46,255,610 "
November,2010,Federal,Onshore,Coal Prod Vol (ton)," 32,529,477 "," 32,529,477 "
November,2010,Federal,Onshore,Gas Prod Vol (mcf)," 321,456,499 "," 321,456,499 "
November,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,099,012 "," 9,099,012 "
November,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,605,752 "," 1,605,752 "
November,2010,Native American,Onshore,Gas Prod Vol (mcf)," 25,354,037 "," 25,354,037 "
November,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,589,382 "," 1,589,382 "
December,2010,Federal,Offshore,Gas Prod Vol (mcf)," 186,272,950 "," 186,272,950 "
December,2010,Federal,Offshore,Oil Prod Vol (bbl)," 48,149,278 "," 48,149,278 "
December,2010,Federal,Onshore,Coal Prod Vol (ton)," 39,561,231 "," 39,561,231 "
December,2010,Federal,Onshore,Gas Prod Vol (mcf)," 332,064,290 "," 332,064,290 "
December,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,183,867 "," 9,183,867 "
December,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,832,658 "," 1,832,658 "
December,2010,Native American,Onshore,Gas Prod Vol (mcf)," 26,113,209 "," 26,113,209 "
December,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,627,137 "," 1,627,137 "
January,2011,Federal,Offshore,Gas Prod Vol (mcf)," 185,166,665 "," 185,166,665 "
January,2011,Federal,Offshore,Oil Prod Vol (bbl)," 50,130,916 "," 50,130,916 "
January,2011,Federal,Onshore,Coal Prod Vol (ton)," 39,876,734 "," 39,876,734 "
January,2011,Federal,Onshore,Gas Prod Vol (mcf)," 318,855,305 "," 318,855,305 "
January,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,146,057 "," 9,146,057 "
January,2011,Native American,Onshore,Coal Prod Vol (ton)," 2,253,425 "," 2,253,425 "
January,2011,Native American,Onshore,Gas Prod Vol (mcf)," 24,918,816 "," 24,918,816 "
