Company	Revenue Type	Commodity	Revenue
CANTIUM LLC	ONRR/BLM - Rents	Oil & Gas	9411
CANYON FUEL CO LLC	BLM - Permit Fees	Coal	148529
CARBON CREEK ENERGY LLC	BLM - Permit Fees	Oil & Gas	659
CARBON CREEK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	62460.6
CARBON CREEK ENERGY LLC	ONRR - Royalties	Gas	19876152.12
CARBON CREEK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	18612
CARLA PETROLEUM INC	BLM - Permit Fees	Oil & Gas	5440
CARLA PETROLEUM INC	ONRR/BLM - Bonus	Oil & Gas	9119742
CARLA PETROLEUM INC	ONRR/BLM - Rents	Oil & Gas	31747.5
CARLIN TREND MINING SUPPLIES AND SERVICES	BLM - Permit Fees	Locatable Minerals	199705
CARLOW EXCHANGE PROPERTIES LLC	ONRR/BLM - Bonus	Oil & Gas	10678500
CARLOW EXCHANGE PROPERTIES LLC	ONRR/BLM - Rents	Oil & Gas	1186.5
CARRIZO OIL & GAS INC	BLM - Permit Fees	Oil & Gas	134540
CARRIZO OIL & GAS INC	ONRR - Other Revenues	N/A	436
CARRIZO OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	10828.52
CARRIZO OIL & GAS INC	ONRR - Royalties	Gas	15386.91
CARRIZO OIL & GAS INC	ONRR - Royalties	Oil	200898.99
CARRIZO OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	10333
CASILLAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	102.01
CASILLAS PETROLEUM CORP	ONRR - Royalties	Gas	406282.75
CASILLAS PETROLEUM CORP	ONRR - Royalties	Oil	312277.02
CASILLAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	281
CASTEX OFFSHORE INC	ONRR - Inspection Fees	Oil & Gas	298900
CASTEX OFFSHORE INC	ONRR - Other Revenues	N/A	751.55
CASTEX OFFSHORE INC	ONRR - Other Revenues	Oil & Gas	340258.4
CASTEX OFFSHORE INC	ONRR - Royalties	Gas	3253147.05
CASTEX OFFSHORE INC	ONRR - Royalties	Oil	3864065.86
CASTEX OFFSHORE INC	ONRR/BLM - Rents	Oil & Gas	503468
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Other Revenues	Oil & Gas	53548.75
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Royalties	Gas	531690.21
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Royalties	Oil	204064
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR/BLM - Rents	Oil & Gas	10973.5
CATAMOUNT ENERGY PARTNERS LLC	BLM - Permit Fees	Oil & Gas	12175
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Other Revenues	N/A	1458
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	55029.12
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Royalties	Gas	588273.84
CATAMOUNT ENERGY PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	3500
CAZA	ONRR - Other Revenues	Oil & Gas	3743.99
CAZA	ONRR - Royalties	Gas	119569.47
CAZA	ONRR - Royalties	Oil	6406.97
CAZA	ONRR/BLM - Rents	Oil & Gas	2844.5
CEDAR LAKE MINING INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	302192.56
CEMEX	BLM - Permit Fees	Locatable Minerals	100285
CEMEX	BLM - Permit Fees	Mineral Materials	502900.64
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Other Revenues	Oil & Gas	458.86
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Royalties	Gas	40293.14
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Royalties	Oil	327458.47
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR/BLM - Rents	Oil & Gas	320
CHABAUD MANAGEMENT COMPANY	ONRR/BLM - Bonus	Oil & Gas	102400
CHABAUD MANAGEMENT COMPANY	ONRR/BLM - Rents	Oil & Gas	3840
CHACO ENERGY CO	BLM - Permit Fees	Oil & Gas	285
CHACO ENERGY CO	ONRR - Other Revenues	Oil & Gas	840.67
CHACO ENERGY CO	ONRR - Royalties	Gas	71626.02
CHACO ENERGY CO	ONRR - Royalties	Oil	96188.65
CHACO ENERGY CO	ONRR/BLM - Rents	Oil & Gas	1510
CHARTER ENERGY PARTNERS LLC	BLM - Permit Fees	Oil & Gas	3330
